county,candidate,votes,district,party,office
Adams,Michael Badnarik,35,,Non-Partisan,President
Allen,Michael Badnarik,134,,Non-Partisan,President
Ashland,Michael Badnarik,70,,Non-Partisan,President
Ashtabula,Michael Badnarik,145,,Non-Partisan,President
Athens,Michael Badnarik,104,,Non-Partisan,President
Auglaize,Michael Badnarik,66,,Non-Partisan,President
Belmont,Michael Badnarik,88,,Non-Partisan,President
Brown,Michael Badnarik,52,,Non-Partisan,President
Butler,Michael Badnarik,412,,Non-Partisan,President
Carroll,Michael Badnarik,59,,Non-Partisan,President
Champaign,Michael Badnarik,47,,Non-Partisan,President
Clark,Michael Badnarik,185,,Non-Partisan,President
Clermont,Michael Badnarik,149,,Non-Partisan,President
Clinton,Michael Badnarik,31,,Non-Partisan,President
Columbiana,Michael Badnarik,125,,Non-Partisan,President
Coshocton,Michael Badnarik,15,,Non-Partisan,President
Crawford,Michael Badnarik,71,,Non-Partisan,President
Cuyahoga,Michael Badnarik,1885,,Non-Partisan,President
Darke,Michael Badnarik,82,,Non-Partisan,President
Defiance,Michael Badnarik,67,,Non-Partisan,President
Delaware,Michael Badnarik,171,,Non-Partisan,President
Erie,Michael Badnarik,49,,Non-Partisan,President
Fairfield,Michael Badnarik,190,,Non-Partisan,President
Fayette,Michael Badnarik,28,,Non-Partisan,President
Franklin,Michael Badnarik,1615,,Non-Partisan,President
Fulton,Michael Badnarik,45,,Non-Partisan,President
Gallia,Michael Badnarik,30,,Non-Partisan,President
Geauga,Michael Badnarik,104,,Non-Partisan,President
Greene,Michael Badnarik,215,,Non-Partisan,President
Guernsey,Michael Badnarik,45,,Non-Partisan,President
Hamilton,Michael Badnarik,1021,,Non-Partisan,President
Hancock,Michael Badnarik,66,,Non-Partisan,President
Hardin,Michael Badnarik,32,,Non-Partisan,President
Harrison,Michael Badnarik,24,,Non-Partisan,President
Henry,Michael Badnarik,40,,Non-Partisan,President
Highland,Michael Badnarik,41,,Non-Partisan,President
Hocking,Michael Badnarik,44,,Non-Partisan,President
Holmes,Michael Badnarik,22,,Non-Partisan,President
Huron,Michael Badnarik,86,,Non-Partisan,President
Jackson,Michael Badnarik,32,,Non-Partisan,President
Jefferson,Michael Badnarik,85,,Non-Partisan,President
Knox,Michael Badnarik,73,,Non-Partisan,President
Lake,Michael Badnarik,319,,Non-Partisan,President
Lawrence,Michael Badnarik,81,,Non-Partisan,President
Licking,Michael Badnarik,173,,Non-Partisan,President
Logan,Michael Badnarik,41,,Non-Partisan,President
Lorain,Michael Badnarik,325,,Non-Partisan,President
Lucas,Michael Badnarik,295,,Non-Partisan,President
Madison,Michael Badnarik,41,,Non-Partisan,President
Mahoning,Michael Badnarik,524,,Non-Partisan,President
Marion,Michael Badnarik,89,,Non-Partisan,President
Medina,Michael Badnarik,227,,Non-Partisan,President
Meigs,Michael Badnarik,30,,Non-Partisan,President
Mercer,Michael Badnarik,74,,Non-Partisan,President
Miami,Michael Badnarik,103,,Non-Partisan,President
Monroe,Michael Badnarik,29,,Non-Partisan,President
Montgomery,Michael Badnarik,666,,Non-Partisan,President
Morgan,Michael Badnarik,32,,Non-Partisan,President
Morrow,Michael Badnarik,39,,Non-Partisan,President
Muskingum,Michael Badnarik,84,,Non-Partisan,President
Noble,Michael Badnarik,24,,Non-Partisan,President
Ottawa,Michael Badnarik,47,,Non-Partisan,President
Paulding,Michael Badnarik,31,,Non-Partisan,President
Perry,Michael Badnarik,29,,Non-Partisan,President
Pickaway,Michael Badnarik,72,,Non-Partisan,President
Pike,Michael Badnarik,34,,Non-Partisan,President
Portage,Michael Badnarik,219,,Non-Partisan,President
Preble,Michael Badnarik,69,,Non-Partisan,President
Putnam,Michael Badnarik,46,,Non-Partisan,President
Richland,Michael Badnarik,131,,Non-Partisan,President
Ross,Michael Badnarik,384,,Non-Partisan,President
Sandusky,Michael Badnarik,53,,Non-Partisan,President
Scioto,Michael Badnarik,67,,Non-Partisan,President
Seneca,Michael Badnarik,76,,Non-Partisan,President
Shelby,Michael Badnarik,56,,Non-Partisan,President
Stark,Michael Badnarik,484,,Non-Partisan,President
Summit,Michael Badnarik,663,,Non-Partisan,President
Trumbull,Michael Badnarik,269,,Non-Partisan,President
Tuscarawas,Michael Badnarik,116,,Non-Partisan,President
Union,Michael Badnarik,58,,Non-Partisan,President
Van Wert,Michael Badnarik,26,,Non-Partisan,President
Vinton,Michael Badnarik,19,,Non-Partisan,President
Warren,Michael Badnarik,193,,Non-Partisan,President
Washington,Michael Badnarik,77,,Non-Partisan,President
Wayne,Michael Badnarik,91,,Non-Partisan,President
Williams,Michael Badnarik,58,,Non-Partisan,President
Wood,Michael Badnarik,178,,Non-Partisan,President
Wyandot,Michael Badnarik,54,,Non-Partisan,President
Adams,George W. Bush,7653,,Republican,President
Allen,George W. Bush,32580,,Republican,President
Ashland,George W. Bush,16209,,Republican,President
Ashtabula,George W. Bush,21038,,Republican,President
Athens,George W. Bush,10847,,Republican,President
Auglaize,George W. Bush,17016,,Republican,President
Belmont,George W. Bush,15589,,Republican,President
Brown,George W. Bush,12647,,Republican,President
Butler,George W. Bush,109872,,Republican,President
Carroll,George W. Bush,7695,,Republican,President
Champaign,George W. Bush,11718,,Republican,President
Clark,George W. Bush,34941,,Republican,President
Clermont,George W. Bush,62949,,Republican,President
Clinton,George W. Bush,12938,,Republican,President
Columbiana,George W. Bush,25753,,Republican,President
Coshocton,George W. Bush,9839,,Republican,President
Crawford,George W. Bush,13885,,Republican,President
Cuyahoga,George W. Bush,221600,,Republican,President
Darke,George W. Bush,18306,,Republican,President
Defiance,George W. Bush,11397,,Republican,President
Delaware,George W. Bush,53143,,Republican,President
Erie,George W. Bush,18597,,Republican,President
Fairfield,George W. Bush,42715,,Republican,President
Fayette,George W. Bush,7376,,Republican,President
Franklin,George W. Bush,237253,,Republican,President
Fulton,George W. Bush,13640,,Republican,President
Gallia,George W. Bush,8576,,Republican,President
Geauga,George W. Bush,30370,,Republican,President
Greene,George W. Bush,48388,,Republican,President
Guernsey,George W. Bush,9962,,Republican,President
Hamilton,George W. Bush,222616,,Republican,President
Hancock,George W. Bush,25105,,Republican,President
Hardin,George W. Bush,8441,,Republican,President
Harrison,George W. Bush,4274,,Republican,President
Henry,George W. Bush,9902,,Republican,President
Highland,George W. Bush,12211,,Republican,President
Hocking,George W. Bush,6936,,Republican,President
Holmes,George W. Bush,8468,,Republican,President
Huron,George W. Bush,14817,,Republican,President
Jackson,George W. Bush,8585,,Republican,President
Jefferson,George W. Bush,17185,,Republican,President
Knox,George W. Bush,17068,,Republican,President
Lake,George W. Bush,62193,,Republican,President
Lawrence,George W. Bush,15455,,Republican,President
Licking,George W. Bush,49016,,Republican,President
Logan,George W. Bush,14471,,Republican,President
Lorain,George W. Bush,61203,,Republican,President
Lucas,George W. Bush,87160,,Republican,President
Madison,George W. Bush,11117,,Republican,President
Mahoning,George W. Bush,48761,,Republican,President
Marion,George W. Bush,17171,,Republican,President
Medina,George W. Bush,48196,,Republican,President
Meigs,George W. Bush,6272,,Republican,President
Mercer,George W. Bush,15650,,Republican,President
Miami,George W. Bush,33992,,Republican,President
Monroe,George W. Bush,3424,,Republican,President
Montgomery,George W. Bush,138371,,Republican,President
Morgan,George W. Bush,3758,,Republican,President
Morrow,George W. Bush,10474,,Republican,President
Muskingum,George W. Bush,22254,,Republican,President
Noble,George W. Bush,3841,,Republican,President
Ottawa,George W. Bush,12073,,Republican,President
Paulding,George W. Bush,6206,,Republican,President
Perry,George W. Bush,7856,,Republican,President
Pickaway,George W. Bush,14161,,Republican,President
Pike,George W. Bush,6520,,Republican,President
Portage,George W. Bush,35583,,Republican,President
Preble,George W. Bush,13734,,Republican,President
Putnam,George W. Bush,14370,,Republican,President
Richland,George W. Bush,36872,,Republican,President
Ross,George W. Bush,17231,,Republican,President
Sandusky,George W. Bush,16224,,Republican,President
Scioto,George W. Bush,18259,,Republican,President
Seneca,George W. Bush,15886,,Republican,President
Shelby,George W. Bush,16204,,Republican,President
Stark,George W. Bush,92215,,Republican,President
Summit,George W. Bush,118558,,Republican,President
Trumbull,George W. Bush,40977,,Republican,President
Tuscarawas,George W. Bush,23829,,Republican,President
Union,George W. Bush,15870,,Republican,President
Van Wert,George W. Bush,10678,,Republican,President
Vinton,George W. Bush,3249,,Republican,President
Warren,George W. Bush,68037,,Republican,President
Washington,George W. Bush,17532,,Republican,President
Wayne,George W. Bush,31879,,Republican,President
Williams,George W. Bush,12040,,Republican,President
Wood,George W. Bush,33592,,Republican,President
Wyandot,George W. Bush,7254,,Republican,President
