county,candidate,party,office,district,votes
Clinton,David Esrati,D,U.S. House,3,28
Clinton,Guy Fogle,D,U.S. House,3,82
Clinton,Joe Roberts,D,U.S. House,3,59
Highland,David Esrati,D,U.S. House,3,27
Highland,Guy Fogle,D,U.S. House,3,71
Highland,Joe Roberts,D,U.S. House,3,114
Montgomery,David Esrati,D,U.S. House,3,972
Montgomery,Guy Fogle,D,U.S. House,3,1889
Montgomery,Joe Roberts,D,U.S. House,3,2325
Warren,David Esrati,D,U.S. House,3,50
Warren,Guy Fogle,D,U.S. House,3,81
Warren,Joe Roberts,D,U.S. House,3,63
