county,office,district,party,candidate,votes,region,media_market
Brown,State Senate,14,R,Terry A. Johnson,15976,Southwest,Cincinnati
Brown,State Senate,14,D,Ryan Ottney,4357,Southwest,Cincinnati
Brown,State House,66,R,Adam C. Bird,17734,Southwest,Cincinnati
Brown,State House,66,,Alicia Gee,383,Southwest,Cincinnati
Butler,U.S. House,8,R,Warren Davidson,115747,Southwest,Cincinnati
Butler,U.S. House,8,D,Vanessa Enoch,64380,Southwest,Cincinnati
Butler,U.S. House,8,,Isaac Reed,64,Southwest,Cincinnati
Butler,State Senate,4,,Kent Keller,1126,Southwest,Cincinnati
Butler,State Senate,4,R,George F. Lang,106021,Southwest,Cincinnati
Butler,State Senate,4,D,Kathy Wyenandt,68000,Southwest,Cincinnati
Butler,State House,51,R,Sara P. Carruthers,35533,Southwest,Cincinnati
Butler,State House,51,,Johnny H. Hamilton,2514,Southwest,Cincinnati
Butler,State House,52,R,Jennifer L. Gross,44953,Southwest,Cincinnati
Butler,State House,52,D,Chuck Horn,26019,Southwest,Cincinnati
Butler,State House,53,R,Thomas Hall,36768,Southwest,Cincinnati
Butler,State House,53,D,Michelle E. Novak,17106,Southwest,Cincinnati
Butler,State House,54,D,Morgan Showen,2290,Southwest,Cincinnati
Butler,State House,54,R,Paul Zeltwanger,3364,Southwest,Cincinnati
Carroll,U.S. House,6,R,Bill Johnson,10506,Northeast,Cleveland
Carroll,U.S. House,6,D,Shawna Roberts,3107,Northeast,Cleveland
Carroll,State Senate,30,D,Michael Fletcher,3342,Northeast,Cleveland
Carroll,State Senate,30,R,Frank Hoagland,10371,Northeast,Cleveland
Carroll,State House,95,R,Don Jones,11424,Northeast,Cleveland
Champaign,U.S. House,4,D,Shannon M. Freshour,4569,West,Dayton
Champaign,U.S. House,4,R,Jim Jordan,14766,West,Dayton
Champaign,U.S. House,4,I,Steve Perkins,480,West,Dayton
Champaign,State Senate,12,R,Matt Huffman,14632,West,Dayton
Champaign,State Senate,12,D,Ken Poling,4567,West,Dayton
Champaign,State House,85,,Ted Greek,2158,West,Dayton
Champaign,State House,85,R,Nino Vitale,13924,West,Dayton
Clark,U.S. House,8,R,Warren Davidson,39767,West,Dayton
Clark,U.S. House,8,D,Vanessa Enoch,22759,West,Dayton
Clark,U.S. House,8,,Isaac Reed,33,West,Dayton
Clark,State Senate,10,D,Charles Ballard,22045,West,Dayton
Clark,State Senate,10,R,Robert D. Hackett,40079,West,Dayton
