county,office,district,party,candidate,votes,region,media_market
Logan,State House,83,,Mary E. Harshfield,99,West,Dayton
Logan,State House,85,,Ted Greek,1318,West,Dayton
Logan,State House,85,R,Nino Vitale,15464,West,Dayton
Lorain,U.S. House,4,D,Shannon M. Freshour,26237,Northeast,Cleveland
Lorain,U.S. House,4,R,Jim Jordan,25245,Northeast,Cleveland
Lorain,U.S. House,4,I,Steve Perkins,1747,Northeast,Cleveland
Lorain,U.S. House,7,R,Bob Gibbs,31245,Northeast,Cleveland
Lorain,U.S. House,7,I,Brandon Lape,1540,Northeast,Cleveland
Lorain,U.S. House,7,D,Quentin Potter,18258,Northeast,Cleveland
Lorain,U.S. House,9,D,Marcy Kaptur,27263,Northeast,Cleveland
Lorain,U.S. House,9,,McKenzie Levindofske,4,Northeast,Cleveland
Lorain,U.S. House,9,R,Rob Weber,21185,Northeast,Cleveland
Lorain,State House,55,R,Gayle L. Manning,34200,Northeast,Cleveland
