County,District
Butler,1
Hamilton,1
Adams,2
Brown,2
Clermont,2
Hamilton,2
Pike,2
Scioto,2
Warren,2
Clinton,3
Highland,3
Montgomery,3
Warren,3
Allen,4
Auglaize,4
Champaign,4
Hancock,4
Hardin,4
Logan,4
Marion,4
Morrow,4
Richland,4
Shelby,4
Wyandot,4
Ashland,5
Crawford,5
Defiance,5
Fulton,5
Henry,5
Huron,5
Lucas,5
Mercer,5
Paulding,5
Putnam,5
Sandusky,5
Seneca,5
Van Wert,5
Williams,5
Wood,5
Wyandot,5
Athens,6
Belmont,6
Columbiana,6
Gallia,6
Jefferson,6
Lawrence,6
Mahoning,6
Meigs,6
Monroe,6
Noble,6
Scioto,6
Washington,6
Clark,7
Fairfield,7
Fayette,7
Franklin,7
Greene,7
Perry,7
Pickaway,7
Ross,7
Butler,8
Darke,8
Mercer,8
Miami,8
Montgomery,8
Preble,8
Erie,9
Lorain,9
Lucas,9
Ottawa,9
Cuyahoga,10
Cuyahoga,11
Delaware,12
Franklin,12
Licking,12
Cuyahoga,13
Lorain,13
Medina,13
Summit,13
Ashtabula,14
Cuyahoga,14
Geauga,14
Lake,14
Portage,14
Summit,14
Trumbull,14
Franklin,15
Madison,15
Union,15
Ashland,16
Medina,16
Stark,16
Wayne,16
Mahoning,17
Portage,17
Summit,17
Trumbull,17
Athens,18
Belmont,18
Carroll,18
Coshocton,18
Guernsey,18
Harrison,18
Hocking,18
Holmes,18
Jackson,18
Knox,18
Licking,18
Morgan,18
Muskingum,18
Ross,18
Tuscarawas,18
Vinton,18
