county,office,district
Adams,State House,90
Allen,State House,4
Ashland,State House,70
Ashtabula,State House,64
Ashtabula,State House,99
Athens,State House,78
Athens,State House,94
Auglaize,State House,82
Auglaize,State House,84
Belmont,State House,95
Belmont,State House,96
Brown,State House,66
Butler,State House,51
Butler,State House,52
Butler,State House,53
Butler,State House,54
Carroll,State House,95
Champaign,State House,85
Clark,State House,74
Clark,State House,79
Clermont,State House,65
Clermont,State House,66
Clinton,State House,91
Columbiana,State House,5
Coshocton,State House,72
Crawford,State House,87
Cuyahoga,State House,6
Cuyahoga,State House,7
Cuyahoga,State House,8
Cuyahoga,State House,9
Cuyahoga,State House,10
Cuyahoga,State House,11
Cuyahoga,State House,12
Cuyahoga,State House,13
Cuyahoga,State House,14
Cuyahoga,State House,15
Cuyahoga,State House,16
Darke,State House,80
Darke,State House,84
Defiance,State House,82
Delaware,State House,67
Delaware,State House,68
Erie,State House,89
Fairfield,State House,77
Fairfield,State House,78
Fayette,State House,92
Franklin,State House,17
Franklin,State House,17
Franklin,State House,18
Franklin,State House,19
Franklin,State House,20
Franklin,State House,21
Franklin,State House,22
Franklin,State House,23
Franklin,State House,24
Franklin,State House,25
Franklin,State House,26
Fulton,State House,47
Fulton,State House,81
Gallia,State House,93
Geauga,State House,76
Geauga,State House,99
Greene,State House,73
Greene,State House,74
Guernsey,State House,97
Hamilton,State House,27
Hamilton,State House,28
Hamilton,State House,29
Hamilton,State House,30
Hamilton,State House,31
Hamilton,State House,32
Hamilton,State House,33
Hancock,State House,83
Hardin,State House,83
Harrison,State House,95
Henry,State House,81
Highland,State House,91
Hocking,State House,78
Holmes,State House,70
Holmes,State House,98
Huron,State House,57
Jackson,State House,93
Jefferson,State House,96
Knox,State House,68
Lake,State House,60
Lake,State House,61
Lawrence,State House,90
Lawrence,State House,93
Licking,State House,71
Licking,State House,72
Logan,State House,83
Logan,State House,85
Lorain,State House,55
Lorain,State House,56
Lorain,State House,57
Lucas,State House,44
Lucas,State House,45
Lucas,State House,46
Lucas,State House,47
Madison,State House,74
Mahoning,State House,58
Mahoning,State House,59
Marion,State House,86
Marion,State House,87
Medina,State House,69
Medina,State House,70
Meigs,State House,94
Mercer,State House,84
Miami,State House,80
Monroe,State House,96
Montgomery,State House,39
Montgomery,State House,40
Montgomery,State House,41
Montgomery,State House,42
Montgomery,State House,43
Morgan,State House,78
Morrow,State House,87
Muskingum,State House,78
Muskingum,State House,97
Noble,State House,95
Ottawa,State House,89
Paulding,State House,82
Perry,State House,72
Pickaway,State House,78
Pickaway,State House,92
Pike,State House,91
Portage,State House,75
Portage,State House,76
Preble,State House,43
Putnam,State House,81
Richland,State House,2
Ross,State House,91
Ross,State House,92
Sandusky,State House,88
Scioto,State House,90
Seneca,State House,87
Seneca,State House,88
Shelby,State House,84
Shelby,State House,85
Stark,State House,38
Stark,State House,48
Stark,State House,49
Stark,State House,50
Summit,State House,34
Summit,State House,35
Summit,State House,36
Summit,State House,37
Summit,State House,38
Trumbull,State House,63
Trumbull,State House,64
Tuscarawas,State House,98
Union,State House,86
Van Wert,State House,82
Vinton,State House,93
Vinton,State House,94
Warren,State House,54
Warren,State House,62
Washington,State House,94
Washington,State House,95
Wayne,State House,1
Williams,State House,81
Wood,State House,3
Wyandot,State House,87
Adams,State Senate,14
Allen,State Senate,12
Ashland,State Senate,22
Ashtabula,State Senate,32
Athens,State Senate,20
Auglaize,State Senate,1
Belmont,State Senate,30
Brown,State Senate,14
Butler,State Senate,4
Carroll,State Senate,30
Champaign,State Senate,12
Clark,State Senate,10
Clermont,State Senate,14
Clinton,State Senate,17
Columbiana,State Senate,33
Coshocton,State Senate,31
Crawford,State Senate,26
Cuyahoga,State Senate,8
Darke,State Senate,5
Defiance,State Senate,1
Delaware,State Senate,19
Erie,State Senate,2
Fairfield,State Senate,20
Fayette,State Senate,17
Franklin,State Senate,3
Fulton,State Senate,1
Gallia,State Senate,17
Geauga,State Senate,18
Greene,State Senate,10
Guernsey,State Senate,20
Hamilton,State Senate,7
Hancock,State Senate,1
Hardin,State Senate,1
Harrison,State Senate,30
Henry,State Senate,1
Highland,State Senate,17
Hocking,State Senate,20
Holmes,State Senate,22
Huron,State Senate,13
Jackson,State Senate,17
Jefferson,State Senate,30
Knox,State Senate,19
Lake,State Senate,18
Lawrence,State Senate,14
Licking,State Senate,31
Logan,State Senate,1
Lorain,State Senate,13
Lucas,State Senate,2
Madison,State Senate,10
Mahoning,State Senate,33
Marion,State Senate,26
Medina,State Senate,22
Meigs,State Senate,30
Mercer,State Senate,12
Miami,State Senate,5
Monroe,State Senate,30
Montgomery,State Senate,5
Morgan,State Senate,20
Morrow,State Senate,26
Muskingum,State Senate,20
Noble,State Senate,30
Ottawa,State Senate,2
Paulding,State Senate,1
Perry,State Senate,31
Pickaway,State Senate,17
Pike,State Senate,17
Portage,State Senate,18
Preble,State Senate,5
Putnam,State Senate,1
Richland,State Senate,22
Ross,State Senate,17
Sandusky,State Senate,26
Scioto,State Senate,14
Seneca,State Senate,26
Shelby,State Senate,12
Stark,State Senate,27
Summit,State Senate,27
Trumbull,State Senate,32
Tuscarawas,State Senate,31
Union,State Senate,26
Van Wert,State Senate,1
Vinton,State Senate,17
Warren,State Senate,7
Washington,State Senate,30
Wayne,State Senate,27
Williams,State Senate,1
Wood,State Senate,2
Wyandot,State Senate,26
Vinton,State Senate,30
Summit,State Senate,28
Stark,State Senate,29
Pickaway,State Senate,20
Montgomery,State Senate,6
Lucas,State Senate,11
Logan,State Senate,12
Lawrence,State Senate,17
Lake,State Senate,25
Holmes,State Senate,31
Hamilton,State Senate,8
Hamilton,State Senate,9
Geauga,State Senate,32
Fulton,State Senate,2
Franklin,State Senate,15
Franklin,State Senate,16
Franklin,State Senate,19
Darke,State Senate,12
Cuyahoga,State Senate,21
Cuyahoga,State Senate,23
Cuyahoga,State Senate,24
Cuyahoga,State Senate,25
Butler,State Senate,7
Auglaize,State Senate,12
Athens,State Senate,30
Adams,U.S. House,2
Allen,U.S. House,4
Ashland,U.S. House,7
Ashtabula,U.S. House,14
Athens,U.S. House,15
Auglaize,U.S. House,4
Belmont,U.S. House,6
Brown,U.S. House,2
Butler,U.S. House,8
Carroll,U.S. House,6
Champaign,U.S. House,4
Clark,U.S. House,8
Clermont,U.S. House,2
Clinton,U.S. House,15
Columbiana,U.S. House,6
Coshocton,U.S. House,7
Crawford,U.S. House,4
Cuyahoga,U.S. House,14
Darke,U.S. House,8
Defiance,U.S. House,5
Delaware,U.S. House,12
Erie,U.S. House,4
Fairfield,U.S. House,15
Fayette,U.S. House,15
Franklin,U.S. House,3
Fulton,U.S. House,5
Gallia,U.S. House,6
Geauga,U.S. House,14
Greene,U.S. House,10
Guernsey,U.S. House,6
Hamilton,U.S. House,1
Hancock,U.S. House,5
Hardin,U.S. House,5
Harrison,U.S. House,6
Henry,U.S. House,5
Highland,U.S. House,2
Hocking,U.S. House,15
Holmes,U.S. House,7
Huron,U.S. House,4
Jackson,U.S. House,6
Jefferson,U.S. House,6
Knox,U.S. House,7
Lake,U.S. House,14
Lawrence,U.S. House,6
Licking,U.S. House,12
Logan,U.S. House,4
Lorain,U.S. House,4
Lucas,U.S. House,5
Madison,U.S. House,15
Mahoning,U.S. House,6
Marion,U.S. House,4
Medina,U.S. House,7
Meigs,U.S. House,6
Mercer,U.S. House,4
Miami,U.S. House,8
Monroe,U.S. House,6
Montgomery,U.S. House,10
Morgan,U.S. House,15
Morrow,U.S. House,12
Muskingum,U.S. House,6
Noble,U.S. House,6
Ottawa,U.S. House,5
Paulding,U.S. House,5
Perry,U.S. House,15
Pickaway,U.S. House,15
Pike,U.S. House,2
Portage,U.S. House,14
Preble,U.S. House,8
Putnam,U.S. House,5
Richland,U.S. House,7
Ross,U.S. House,2
Sandusky,U.S. House,4
Scioto,U.S. House,2
Seneca,U.S. House,4
Shelby,U.S. House,4
Stark,U.S. House,7
Summit,U.S. House,14
Trumbull,U.S. House,14
Tuscarawas,U.S. House,6
Union,U.S. House,4
Van Wert,U.S. House,5
Vinton,U.S. House,15
Warren,U.S. House,1
Washington,U.S. House,6
Wayne,U.S. House,16
Williams,U.S. House,5
Wood,U.S. House,5
Wyandot,U.S. House,5
Hamilton,U.S. House,2
