County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Guernsey,ABA,PRECINCT ADAMS A,Southeast,Wheeling,811,164,Governor/Lieutenant Governor,,D,"Ealy, Larry",9
Guernsey,ABA,PRECINCT ADAMS A,Southeast,Wheeling,811,164,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",38
Guernsey,ABA,PRECINCT ADAMS A,Southeast,Wheeling,811,164,Attorney General,,D,"Pepper, David",43
Guernsey,ABA,PRECINCT ADAMS A,Southeast,Wheeling,811,164,Auditor of State,,D,"Carney, John Patrick",41
Guernsey,ABA,PRECINCT ADAMS A,Southeast,Wheeling,811,164,Secretary of State,,D,"Turner, Nina",45
Guernsey,ABA,PRECINCT ADAMS A,Southeast,Wheeling,811,164,Treasurer of State,,D,"Pillich, Connie",40
Guernsey,ABA,PRECINCT ADAMS A,Southeast,Wheeling,811,164,U.S. House of Representatives,06,D,"Garrison, Jennifer",42
Guernsey,ABA,PRECINCT ADAMS A,Southeast,Wheeling,811,164,U.S. House of Representatives,06,D,"Howard, Gregory D.",12
Guernsey,ABB,PRECINCT ADAMS B,Southeast,Wheeling,415,77,Governor/Lieutenant Governor,,D,"Ealy, Larry",8
Guernsey,ABB,PRECINCT ADAMS B,Southeast,Wheeling,415,77,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",15
Guernsey,ABB,PRECINCT ADAMS B,Southeast,Wheeling,415,77,Attorney General,,D,"Pepper, David",19
Guernsey,ABB,PRECINCT ADAMS B,Southeast,Wheeling,415,77,Auditor of State,,D,"Carney, John Patrick",20
Guernsey,ABB,PRECINCT ADAMS B,Southeast,Wheeling,415,77,Secretary of State,,D,"Turner, Nina",20
Guernsey,ABB,PRECINCT ADAMS B,Southeast,Wheeling,415,77,Treasurer of State,,D,"Pillich, Connie",17
Guernsey,ABB,PRECINCT ADAMS B,Southeast,Wheeling,415,77,U.S. House of Representatives,06,D,"Garrison, Jennifer",17
Guernsey,ABB,PRECINCT ADAMS B,Southeast,Wheeling,415,77,U.S. House of Representatives,06,D,"Howard, Gregory D.",5
Guernsey,ABM,PRECINCT BYESVILLE A,Southeast,Wheeling,539,79,Governor/Lieutenant Governor,,D,"Ealy, Larry",5
Guernsey,ABM,PRECINCT BYESVILLE A,Southeast,Wheeling,539,79,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",29
Guernsey,ABM,PRECINCT BYESVILLE A,Southeast,Wheeling,539,79,Attorney General,,D,"Pepper, David",30
Guernsey,ABM,PRECINCT BYESVILLE A,Southeast,Wheeling,539,79,Auditor of State,,D,"Carney, John Patrick",25
