County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Tuscarawas,Northeast,Cleveland,"58,825","24,156",Governor,,D,Edward FitzGerald,"7,618"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",Governor,,R,John Kasich,"15,361"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",Governor,,G,Anita Rios,642
Tuscarawas,Northeast,Cleveland,"58,825","24,156",Attorney General,,R,Mike DeWine,"15,283"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",Attorney General,,D,David Pepper,"8,289"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",Auditor of State,,L,Bob Bridges,"1,312"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",Auditor of State,,D,John Patrick Carney,"8,306"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",Auditor of State,,R,Dave Yost,"13,505"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",Secretary of State,,R,Jon Husted,"14,510"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",Secretary of State,,L,Kevin Knedler,"1,209"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",Secretary of State,,D,Nina Turner,"7,414"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",Treasurer of State,,R,Josh Mandel,"15,059"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",Treasurer of State,,D,Connie Pillich,"8,424"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",U.S. House of Representatives,06,D,Jennifer Garrison,"2,389"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",U.S. House of Representatives,06,R,Bill Johnson,"2,982"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",U.S. House of Representatives,06,G,Dennis Lambert,218
Tuscarawas,Northeast,Cleveland,"58,825","24,156",U.S. House of Representatives,07,R,Bob Gibbs,"14,140"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",State Senate,31,D,John Carlisle,"10,490"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",State Senate,31,R,Jay Hottinger,"12,389"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",State House of Representatives,98,D,Jeremiah M. Johnson,"8,135"
Tuscarawas,Northeast,Cleveland,"58,825","24,156",State House of Representatives,98,R,Al Landis,"15,289"
