County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Sandusky,Northwest,Toledo,"39,563","17,029",Governor,,D,Edward FitzGerald,"4,933"
Sandusky,Northwest,Toledo,"39,563","17,029",Governor,,R,John Kasich,"11,027"
Sandusky,Northwest,Toledo,"39,563","17,029",Governor,,G,Anita Rios,560
Sandusky,Northwest,Toledo,"39,563","17,029",Attorney General,,R,Mike DeWine,"10,589"
Sandusky,Northwest,Toledo,"39,563","17,029",Attorney General,,D,David Pepper,"5,981"
Sandusky,Northwest,Toledo,"39,563","17,029",Auditor of State,,L,Bob Bridges,"1,122"
Sandusky,Northwest,Toledo,"39,563","17,029",Auditor of State,,D,John Patrick Carney,"5,483"
Sandusky,Northwest,Toledo,"39,563","17,029",Auditor of State,,R,Dave Yost,"9,517"
Sandusky,Northwest,Toledo,"39,563","17,029",Secretary of State,,R,Jon Husted,"11,071"
Sandusky,Northwest,Toledo,"39,563","17,029",Secretary of State,,L,Kevin Knedler,957
Sandusky,Northwest,Toledo,"39,563","17,029",Secretary of State,,D,Nina Turner,"4,427"
Sandusky,Northwest,Toledo,"39,563","17,029",Treasurer of State,,R,Josh Mandel,"9,559"
Sandusky,Northwest,Toledo,"39,563","17,029",Treasurer of State,,D,Connie Pillich,"6,970"
Sandusky,Northwest,Toledo,"39,563","17,029",U.S. House of Representatives,04,D,Janet Garrett,"6,144"
Sandusky,Northwest,Toledo,"39,563","17,029",U.S. House of Representatives,04,R,Jim Jordan,"9,844"
Sandusky,Northwest,Toledo,"39,563","17,029",State House of Representatives,88,R,Bill Reineke,"8,871"
Sandusky,Northwest,Toledo,"39,563","17,029",State House of Representatives,88,D,Bill Young,"7,607"
