county,candidate,party,office,district,votes
Wayne,Ron Amstutz,Republican,State House,1,21440
Richland,Don Bryant,Democratic,State House,2,9741
Richland,Mark J. Romanchuk,Republican,State House,2,22615
Wood,Tim W. Brown,Republican,State House,3,21630
Wood,Nathan Eberly,Libertarian,State House,3,2038
Wood,Steve Long,Democratic,State House,3,10797
Allen,Bob Cupp,Republican,State House,4,20009
Allen,Bo Huenke,Democratic,State House,4,7082
Columbiana,Nick Barborak,Democratic,State House,5,10935
Columbiana,Tim Ginter,Republican,State House,5,16091
Cuyahoga,Marlene Anielski,Republican,State House,6,24939
Cuyahoga,Anthony Fossaceca,Democratic,State House,6,17639
Cuyahoga,Mike Dovilla,Republican,State House,7,24831
Cuyahoga,Mikhail Alterman,Republican,State House,8,5472
Cuyahoga,Jocelyn Conwell,Independent,State House,8,3027
Cuyahoga,Kent Smith,Democratic,State House,8,21420
Cuyahoga,Janine Boyd,Democratic,State House,9,29226
Cuyahoga,Charles T. Hopson,Republican,State House,9,5246
Cuyahoga,Robert M. Kilo,Independent,State House,10,1142
Cuyahoga,Bill Patmon,Democratic,State House,10,15802
Cuyahoga,Danielle Shepherd,Independent,State House,10,1293
Cuyahoga,Miesha Strickland,Independent,State House,10,1035
Cuyahoga,Stephanie Howse,Democratic,State House,11,17204
Cuyahoga,John E. Barnes Jr.,Democratic,State House,12,25405
Cuyahoga,Maria Anderson,Republican,State House,13,5794
Cuyahoga,Nickie J. Antonio,Democratic,State House,13,14866
Cuyahoga,Anna E. Melendez,Republican,State House,14,10130
Cuyahoga,Martin J. Sweeney,Democratic,State House,14,16831
Cuyahoga,Nicholas J. Celebrezze,Democratic,State House,15,13462
Cuyahoga,Patty Gascoyne-Telischak,Republican,State House,15,10252
Cuyahoga,Nan A. Baker,Republican,State House,16,24791
Cuyahoga,Todd LeVeck,Democratic,State House,16,15061
Franklin,Mike Curtin,Democratic,State House,17,9282
Franklin,Mike Newbern,Republican,State House,17,7476
Franklin,Robert Sharrah,Republican,State House,18,5784
Franklin,Michael Stinziano,Democratic,State House,18,16859
Franklin,Anne Gonzales,Republican,State House,19,23124
Franklin,Michael Johnston,Democratic,State House,19,12746
Franklin,Chad Monnin,Libertarian,State House,19,3253
Franklin,Heather Bishoff,Democratic,State House,20,16436
Franklin,Dan Mefford,Republican,State House,20,12319
Franklin,Mike Duffey,Republican,State House,21,22148
Franklin,Will Johnsen,Green,State House,21,1018
Franklin,Dawn Valasco,Democratic,State House,21,12344
Franklin,Andrew C. Hall,Republican,State House,22,10333
Franklin,David Leland,Democratic,State House,22,16903
Franklin,Cheryl L. Grossman,Republican,State House,23,17217
Franklin,Rick Redfern,Democratic,State House,23,9765
Franklin,Kathy Hoff,Democratic,State House,24,15058
Franklin,Stephanie Kunze,Republican,State House,24,22874
Franklin,Mark Noble,Libertarian,State House,24,2032
Franklin,Kevin L. Boyce,Democratic,State House,25,18986
Franklin,Seth Golding,Republican,State House,25,4231
Franklin,Hearcel F. Craig,Democratic,State House,26,19513
Franklin,Dustin Pyles,Republican,State House,26,6230
Hamilton,Tom Brinkman Jr.,Republican,State House,27,28089
Hamilton,Joe Otis,Democratic,State House,27,13417
Hamilton,Jonathan Dever,Republican,State House,28,22445
Hamilton,Micah Kamrass,Democratic,State House,28,17868
Hamilton,Louis W. Blessing III,Republican,State House,29,20746
Hamilton,Nathan D. Lane,Green,State House,29,1209
Hamilton,Tammy Simendinger,Democratic,State House,29,8852
Hamilton,Mark A. Childers,Democratic,State House,30,8932
Hamilton,Lou Tehar,Republican,State House,30,25519
Hamilton,Denise Driehaus,Democratic,State House,31,17798
Hamilton,Queen Noble,Libertarian,State House,31,887
Hamilton,Mary E. Yeager,Republican,State House,31,8426
Hamilton,Christie Bryant,Democratic,State House,32,17573
Hamilton,A. Brian McIntosh,Republican,State House,32,7240
Hamilton,Alicia Reece,Democratic,State House,33,23593
Summit,Cynthia D. Blake,Republican,State House,34,6758
Summit,Emilia Sykes,Democratic,State House,34,17299
Summit,Greta Johnson,Democratic,State House,35,11010
Summit,Linda Robinson,Republican,State House,35,6731
Summit,Anthony DeVitis,Republican,State House,36,18822
Summit,Paula Prentice,Democratic,State House,36,12699
Summit,Kristina Daley Roegner,Republican,State House,37,20049
Summit,David Worhatch,Democratic,State House,37,14234
