County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Lorain,AAA,PRECINCT AMHERST CITY 1-A,Northeast,Cleveland,1200,160,Governor/Lieutenant Governor,,R,"Kasich, John",71
Lorain,AAA,PRECINCT AMHERST CITY 1-A,Northeast,Cleveland,1200,160,Attorney General,,R,"DeWine, Mike",69
Lorain,AAA,PRECINCT AMHERST CITY 1-A,Northeast,Cleveland,1200,160,Auditor of State,,R,"Yost, Dave",67
Lorain,AAA,PRECINCT AMHERST CITY 1-A,Northeast,Cleveland,1200,160,Secretary of State,,R,"Husted, Jon",68
Lorain,AAA,PRECINCT AMHERST CITY 1-A,Northeast,Cleveland,1200,160,Treasurer of State,,R,"Mandel, Josh",71
Lorain,AAA,PRECINCT AMHERST CITY 1-A,Northeast,Cleveland,1200,160,U.S. House of Representatives,04,R,"Jordan, Jim",68
Lorain,AAA,PRECINCT AMHERST CITY 1-A,Northeast,Cleveland,1200,160,U.S. House of Representatives,07,R,"Gibbs, Bob",0
Lorain,AAA,PRECINCT AMHERST CITY 1-A,Northeast,Cleveland,1200,160,U.S. House of Representatives,09,R,"Horrocks Jr., Robert C.",0
Lorain,AAA,PRECINCT AMHERST CITY 1-A,Northeast,Cleveland,1200,160,U.S. House of Representatives,09,R,"May, Richard",0
Lorain,AAA,PRECINCT AMHERST CITY 1-A,Northeast,Cleveland,1200,160,State Senate,13,R,"Manning, Gayle",68
Lorain,AAA,PRECINCT AMHERST CITY 1-A,Northeast,Cleveland,1200,160,State House of Representatives,55,R,"Manning, Nathan H.",0
Lorain,AAA,PRECINCT AMHERST CITY 1-A,Northeast,Cleveland,1200,160,State House of Representatives,57,R,"Boose, Terry",0
Lorain,AAB,PRECINCT AMHERST CITY 1-B,Northeast,Cleveland,1171,134,Governor/Lieutenant Governor,,R,"Kasich, John",43
Lorain,AAB,PRECINCT AMHERST CITY 1-B,Northeast,Cleveland,1171,134,Attorney General,,R,"DeWine, Mike",43
Lorain,AAB,PRECINCT AMHERST CITY 1-B,Northeast,Cleveland,1171,134,Auditor of State,,R,"Yost, Dave",38
Lorain,AAB,PRECINCT AMHERST CITY 1-B,Northeast,Cleveland,1171,134,Secretary of State,,R,"Husted, Jon",40
Lorain,AAB,PRECINCT AMHERST CITY 1-B,Northeast,Cleveland,1171,134,Treasurer of State,,R,"Mandel, Josh",40
Lorain,AAB,PRECINCT AMHERST CITY 1-B,Northeast,Cleveland,1171,134,U.S. House of Representatives,04,R,"Jordan, Jim",39
Lorain,AAB,PRECINCT AMHERST CITY 1-B,Northeast,Cleveland,1171,134,U.S. House of Representatives,07,R,"Gibbs, Bob",0
Lorain,AAB,PRECINCT AMHERST CITY 1-B,Northeast,Cleveland,1171,134,U.S. House of Representatives,09,R,"Horrocks Jr., Robert C.",0
Lorain,AAB,PRECINCT AMHERST CITY 1-B,Northeast,Cleveland,1171,134,U.S. House of Representatives,09,R,"May, Richard",0
Lorain,AAB,PRECINCT AMHERST CITY 1-B,Northeast,Cleveland,1171,134,State Senate,13,R,"Manning, Gayle",44
Lorain,AAB,PRECINCT AMHERST CITY 1-B,Northeast,Cleveland,1171,134,State House of Representatives,55,R,"Manning, Nathan H.",0
Lorain,AAB,PRECINCT AMHERST CITY 1-B,Northeast,Cleveland,1171,134,State House of Representatives,57,R,"Boose, Terry",0
Lorain,AAE,PRECINCT AMHERST CITY 2-A,Northeast,Cleveland,948,124,Governor/Lieutenant Governor,,R,"Kasich, John",49
Lorain,AAE,PRECINCT AMHERST CITY 2-A,Northeast,Cleveland,948,124,Attorney General,,R,"DeWine, Mike",49
Lorain,AAE,PRECINCT AMHERST CITY 2-A,Northeast,Cleveland,948,124,Auditor of State,,R,"Yost, Dave",46
Lorain,AAE,PRECINCT AMHERST CITY 2-A,Northeast,Cleveland,948,124,Secretary of State,,R,"Husted, Jon",48
Lorain,AAE,PRECINCT AMHERST CITY 2-A,Northeast,Cleveland,948,124,Treasurer of State,,R,"Mandel, Josh",44
Lorain,AAE,PRECINCT AMHERST CITY 2-A,Northeast,Cleveland,948,124,U.S. House of Representatives,04,R,"Jordan, Jim",42
Lorain,AAE,PRECINCT AMHERST CITY 2-A,Northeast,Cleveland,948,124,U.S. House of Representatives,07,R,"Gibbs, Bob",0
Lorain,AAE,PRECINCT AMHERST CITY 2-A,Northeast,Cleveland,948,124,U.S. House of Representatives,09,R,"Horrocks Jr., Robert C.",0
Lorain,AAE,PRECINCT AMHERST CITY 2-A,Northeast,Cleveland,948,124,U.S. House of Representatives,09,R,"May, Richard",0
Lorain,AAE,PRECINCT AMHERST CITY 2-A,Northeast,Cleveland,948,124,State Senate,13,R,"Manning, Gayle",39
Lorain,AAE,PRECINCT AMHERST CITY 2-A,Northeast,Cleveland,948,124,State House of Representatives,55,R,"Manning, Nathan H.",0
Lorain,AAE,PRECINCT AMHERST CITY 2-A,Northeast,Cleveland,948,124,State House of Representatives,57,R,"Boose, Terry",0
Lorain,AAF,PRECINCT AMHERST CITY 2-B,Northeast,Cleveland,758,95,Governor/Lieutenant Governor,,R,"Kasich, John",37
Lorain,AAF,PRECINCT AMHERST CITY 2-B,Northeast,Cleveland,758,95,Attorney General,,R,"DeWine, Mike",34
Lorain,AAF,PRECINCT AMHERST CITY 2-B,Northeast,Cleveland,758,95,Auditor of State,,R,"Yost, Dave",30
Lorain,AAF,PRECINCT AMHERST CITY 2-B,Northeast,Cleveland,758,95,Secretary of State,,R,"Husted, Jon",32
Lorain,AAF,PRECINCT AMHERST CITY 2-B,Northeast,Cleveland,758,95,Treasurer of State,,R,"Mandel, Josh",31
Lorain,AAF,PRECINCT AMHERST CITY 2-B,Northeast,Cleveland,758,95,U.S. House of Representatives,04,R,"Jordan, Jim",32
Lorain,AAF,PRECINCT AMHERST CITY 2-B,Northeast,Cleveland,758,95,U.S. House of Representatives,07,R,"Gibbs, Bob",0
Lorain,AAF,PRECINCT AMHERST CITY 2-B,Northeast,Cleveland,758,95,U.S. House of Representatives,09,R,"Horrocks Jr., Robert C.",0
Lorain,AAF,PRECINCT AMHERST CITY 2-B,Northeast,Cleveland,758,95,U.S. House of Representatives,09,R,"May, Richard",0
Lorain,AAF,PRECINCT AMHERST CITY 2-B,Northeast,Cleveland,758,95,State Senate,13,R,"Manning, Gayle",33
Lorain,AAF,PRECINCT AMHERST CITY 2-B,Northeast,Cleveland,758,95,State House of Representatives,55,R,"Manning, Nathan H.",0
Lorain,AAF,PRECINCT AMHERST CITY 2-B,Northeast,Cleveland,758,95,State House of Representatives,57,R,"Boose, Terry",0
Lorain,AAG,PRECINCT AMHERST CITY 2-C,Northeast,Cleveland,793,87,Governor/Lieutenant Governor,,R,"Kasich, John",41
Lorain,AAG,PRECINCT AMHERST CITY 2-C,Northeast,Cleveland,793,87,Attorney General,,R,"DeWine, Mike",40
Lorain,AAG,PRECINCT AMHERST CITY 2-C,Northeast,Cleveland,793,87,Auditor of State,,R,"Yost, Dave",38
