County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Delaware,Central,Columbus,"118,687","15,727",Governor,,R,John Kasich,"10,144"
Delaware,Central,Columbus,"118,687","15,727",Attorney General,,R,Mike DeWine,"9,758"
Delaware,Central,Columbus,"118,687","15,727",Auditor of State,,R,Dave Yost,"9,589"
Delaware,Central,Columbus,"118,687","15,727",Secretary of State,,R,Jon Husted,"9,415"
Delaware,Central,Columbus,"118,687","15,727",Treasurer of State,,R,Josh Mandel,"8,845"
Delaware,Central,Columbus,"118,687","15,727",U.S. House of Representatives,12,R,Pat Tiberi,"9,505"
Delaware,Central,Columbus,"118,687","15,727",State Senate,19,R,Kris Jordan,"8,273"
Delaware,Central,Columbus,"118,687","15,727",State House of Representatives,67,R,Andrew O. Brenner,"5,514"
Delaware,Central,Columbus,"118,687","15,727",State House of Representatives,68,R,Jason Rogers,986
Delaware,Central,Columbus,"118,687","15,727",State House of Representatives,68,R,Margaret Ann Ruhl,"1,794"
