County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Richland,ABL,BLMG,Northeast,Cleveland,653,61,Governor/Lieutenant Governor,,R,"Kasich, John",38
Richland,ABL,BLMG,Northeast,Cleveland,653,61,Attorney General,,R,"DeWine, Mike",38
Richland,ABL,BLMG,Northeast,Cleveland,653,61,Auditor of State,,R,"Yost, Dave",34
Richland,ABL,BLMG,Northeast,Cleveland,653,61,Secretary of State,,R,"Husted, Jon",34
Richland,ABL,BLMG,Northeast,Cleveland,653,61,Treasurer of State,,R,"Mandel, Josh",38
Richland,ABL,BLMG,Northeast,Cleveland,653,61,U.S. House of Representatives,07,R,"Gibbs, Bob",35
Richland,ABL,BLMG,Northeast,Cleveland,653,61,U.S. House of Representatives,12,R,"Tiberi, Pat",0
Richland,ABL,BLMG,Northeast,Cleveland,653,61,State House of Representatives,02,R,"Romanchuk, Mark J.",40
Richland,ABM,BUTLER,Northeast,Cleveland,501,44,Governor/Lieutenant Governor,,R,"Kasich, John",29
Richland,ABM,BUTLER,Northeast,Cleveland,501,44,Attorney General,,R,"DeWine, Mike",26
Richland,ABM,BUTLER,Northeast,Cleveland,501,44,Auditor of State,,R,"Yost, Dave",28
Richland,ABM,BUTLER,Northeast,Cleveland,501,44,Secretary of State,,R,"Husted, Jon",23
Richland,ABM,BUTLER,Northeast,Cleveland,501,44,Treasurer of State,,R,"Mandel, Josh",26
Richland,ABM,BUTLER,Northeast,Cleveland,501,44,U.S. House of Representatives,07,R,"Gibbs, Bob",28
Richland,ABM,BUTLER,Northeast,Cleveland,501,44,U.S. House of Representatives,12,R,"Tiberi, Pat",0
Richland,ABM,BUTLER,Northeast,Cleveland,501,44,State House of Representatives,02,R,"Romanchuk, Mark J.",27
Richland,ABN,CASS A,Northeast,Cleveland,886,108,Governor/Lieutenant Governor,,R,"Kasich, John",63
Richland,ABN,CASS A,Northeast,Cleveland,886,108,Attorney General,,R,"DeWine, Mike",63
Richland,ABN,CASS A,Northeast,Cleveland,886,108,Auditor of State,,R,"Yost, Dave",49
Richland,ABN,CASS A,Northeast,Cleveland,886,108,Secretary of State,,R,"Husted, Jon",50
Richland,ABN,CASS A,Northeast,Cleveland,886,108,Treasurer of State,,R,"Mandel, Josh",56
Richland,ABN,CASS A,Northeast,Cleveland,886,108,U.S. House of Representatives,07,R,"Gibbs, Bob",59
Richland,ABN,CASS A,Northeast,Cleveland,886,108,U.S. House of Representatives,12,R,"Tiberi, Pat",0
Richland,ABN,CASS A,Northeast,Cleveland,886,108,State House of Representatives,02,R,"Romanchuk, Mark J.",60
Richland,ABO,FRANK A,Northeast,Cleveland,1245,176,Governor/Lieutenant Governor,,R,"Kasich, John",108
Richland,ABO,FRANK A,Northeast,Cleveland,1245,176,Attorney General,,R,"DeWine, Mike",104
