County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,Governor/Lieutenant Governor,,D,Edward FitzGerald,39
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,Governor/Lieutenant Governor,,R,John Kasich,251
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,Governor/Lieutenant Governor,,G,Anita Rios,10
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,Attorney General,,R,Mike DeWine,252
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,Attorney General,,D,David Pepper,49
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,Auditor of State,,L,Bob Bridges,10
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,Auditor of State,,D,John Patrick Carney,45
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,Auditor of State,,R,Dave Yost,246
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,Secretary of State,,R,Jon Husted,243
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,Secretary of State,,L,Kevin Knedler,11
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,Secretary of State,,D,Nina Turner,44
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,Treasurer of State,,R,Josh Mandel,231
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,Treasurer of State,,D,Connie Pillich,73
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,U.S. House of Representatives,07,R,Bob Gibbs,249
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,State Senate,19,R,Kris Jordan,234
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,State Senate,19,D,Neil Patel,61
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,State House of Representatives,68,I,Randy Miller,36
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,State House of Representatives,68,R,Margaret Ann Ruhl,227
Knox,AAO,PRECINCT BERLIN A,Central,Columbus,610,308,State House of Representatives,68,D,R. Joyce Skocic,42
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,Governor/Lieutenant Governor,,D,Edward FitzGerald,49
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,Governor/Lieutenant Governor,,R,John Kasich,204
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,Governor/Lieutenant Governor,,G,Anita Rios,11
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,Attorney General,,R,Mike DeWine,190
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,Attorney General,,D,David Pepper,71
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,Auditor of State,,L,Bob Bridges,14
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,Auditor of State,,D,John Patrick Carney,50
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,Auditor of State,,R,Dave Yost,191
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,Secretary of State,,R,Jon Husted,196
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,Secretary of State,,L,Kevin Knedler,16
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,Secretary of State,,D,Nina Turner,47
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,Treasurer of State,,R,Josh Mandel,189
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,Treasurer of State,,D,Connie Pillich,72
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,U.S. House of Representatives,07,R,Bob Gibbs,217
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,State Senate,19,R,Kris Jordan,193
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,State Senate,19,D,Neil Patel,61
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,State House of Representatives,68,I,Randy Miller,28
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,State House of Representatives,68,R,Margaret Ann Ruhl,197
Knox,AAP,PRECINCT BERLIN B,Central,Columbus,558,265,State House of Representatives,68,D,R. Joyce Skocic,39
Knox,AAQ,PRECINCT BROWN,Central,Columbus,979,492,Governor/Lieutenant Governor,,D,Edward FitzGerald,110
Knox,AAQ,PRECINCT BROWN,Central,Columbus,979,492,Governor/Lieutenant Governor,,R,John Kasich,355
Knox,AAQ,PRECINCT BROWN,Central,Columbus,979,492,Governor/Lieutenant Governor,,G,Anita Rios,18
Knox,AAQ,PRECINCT BROWN,Central,Columbus,979,492,Attorney General,,R,Mike DeWine,342
Knox,AAQ,PRECINCT BROWN,Central,Columbus,979,492,Attorney General,,D,David Pepper,138
Knox,AAQ,PRECINCT BROWN,Central,Columbus,979,492,Auditor of State,,L,Bob Bridges,34
Knox,AAQ,PRECINCT BROWN,Central,Columbus,979,492,Auditor of State,,D,John Patrick Carney,121
Knox,AAQ,PRECINCT BROWN,Central,Columbus,979,492,Auditor of State,,R,Dave Yost,325
