County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Muskingum,Central,Zanesville,"53,120","13,842",Governor,,D,Larry Ealy,563
Muskingum,Central,Zanesville,"53,120","13,842",Governor,,D,Ed FitzGerald,"1,876"
Muskingum,Central,Zanesville,"53,120","13,842",Attorney General,,D,David Pepper,"2,093"
Muskingum,Central,Zanesville,"53,120","13,842",Auditor of State,,D,John Patrick Carney,"2,103"
Muskingum,Central,Zanesville,"53,120","13,842",Secretary of State,,D,Nina Turner,"2,110"
Muskingum,Central,Zanesville,"53,120","13,842",Treasurer of State,,D,Connie Pillich,"2,063"
Muskingum,Central,Zanesville,"53,120","13,842",U.S. House of Representatives,06,D,Jennifer Garrison,516
Muskingum,Central,Zanesville,"53,120","13,842",U.S. House of Representatives,06,D,Gregory D. Howard,198
Muskingum,Central,Zanesville,"53,120","13,842",U.S. House of Representatives,12,D,David Arthur Tibbs,"1,472"
Muskingum,Central,Zanesville,"53,120","13,842",State House of Representatives,78,D,Laina Fetherolf Rogers,172
