County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Scioto,Southeast,Charleston,"46,945","7,962",Governor,,D,Larry Ealy,805
Scioto,Southeast,Charleston,"46,945","7,962",Governor,,D,Ed FitzGerald,"1,899"
Scioto,Southeast,Charleston,"46,945","7,962",Attorney General,,D,David Pepper,"2,262"
Scioto,Southeast,Charleston,"46,945","7,962",Auditor of State,,D,John Patrick Carney,"2,216"
Scioto,Southeast,Charleston,"46,945","7,962",Secretary of State,,D,Nina Turner,"2,253"
Scioto,Southeast,Charleston,"46,945","7,962",Treasurer of State,,D,Connie Pillich,"2,119"
Scioto,Southeast,Charleston,"46,945","7,962",U.S. House of Representatives,02,D,Ronny Richards,876
Scioto,Southeast,Charleston,"46,945","7,962",U.S. House of Representatives,02,D,John Sheil,106
Scioto,Southeast,Charleston,"46,945","7,962",U.S. House of Representatives,02,D,William R. Smith,392
Scioto,Southeast,Charleston,"46,945","7,962",U.S. House of Representatives,02,D,Marek Tyszkiewicz,197
Scioto,Southeast,Charleston,"46,945","7,962",U.S. House of Representatives,06,D,Jennifer Garrison,703
Scioto,Southeast,Charleston,"46,945","7,962",U.S. House of Representatives,06,D,Gregory D. Howard,433
Scioto,Southeast,Charleston,"46,945","7,962",State House of Representatives,90,D,Thomas Jefferson Davis,"2,168"
