County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Fairfield,Central,Columbus,"97,868","41,414",Governor,,D,Edward FitzGerald,"10,851"
Fairfield,Central,Columbus,"97,868","41,414",Governor,,R,John Kasich,"28,614"
Fairfield,Central,Columbus,"97,868","41,414",Governor,,G,Anita Rios,"1,089"
Fairfield,Central,Columbus,"97,868","41,414",Attorney General,,R,Mike DeWine,"28,266"
Fairfield,Central,Columbus,"97,868","41,414",Attorney General,,D,David Pepper,"12,418"
Fairfield,Central,Columbus,"97,868","41,414",Auditor of State,,L,Bob Bridges,"1,676"
Fairfield,Central,Columbus,"97,868","41,414",Auditor of State,,D,John Patrick Carney,"11,421"
Fairfield,Central,Columbus,"97,868","41,414",Auditor of State,,R,Dave Yost,"27,255"
Fairfield,Central,Columbus,"97,868","41,414",Secretary of State,,R,Jon Husted,"28,088"
Fairfield,Central,Columbus,"97,868","41,414",Secretary of State,,L,Kevin Knedler,"1,771"
Fairfield,Central,Columbus,"97,868","41,414",Secretary of State,,D,Nina Turner,"10,458"
Fairfield,Central,Columbus,"97,868","41,414",Treasurer of State,,R,Josh Mandel,"24,691"
Fairfield,Central,Columbus,"97,868","41,414",Treasurer of State,,D,Connie Pillich,"15,604"
Fairfield,Central,Columbus,"97,868","41,414",U.S. House of Representatives,15,R,Steve Stivers,"27,923"
Fairfield,Central,Columbus,"97,868","41,414",U.S. House of Representatives,15,D,Scott Wharton,"12,611"
Fairfield,Central,Columbus,"97,868","41,414",State House of Representatives,77,D,Hollie Ann Saunders,"9,885"
Fairfield,Central,Columbus,"97,868","41,414",State House of Representatives,77,R,Tim Schaffer,"21,345"
Fairfield,Central,Columbus,"97,868","41,414",State House of Representatives,78,D,Laina Fetherolf Rogers,"2,544"
Fairfield,Central,Columbus,"97,868","41,414",State House of Representatives,78,R,Ron Hood,"6,201"
