County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,Governor/Lieutenant Governor,,D,"Ealy, Larry",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",4
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,Attorney General,,D,"Pepper, David",5
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,Auditor of State,,D,"Carney, John Patrick",4
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,Secretary of State,,D,"Turner, Nina",5
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,Treasurer of State,,D,"Pillich, Connie",4
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,U.S. House of Representatives,01,D,"Kundrata, Fred",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,U.S. House of Representatives,01,D,"Prues, Jim",4
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,U.S. House of Representatives,02,D,"Richards, Ronny",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,U.S. House of Representatives,02,D,"Sheil, John",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,U.S. House of Representatives,02,D,"Smith, William R.",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,U.S. House of Representatives,02,D,"Tyszkiewicz, Marek",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,State Senate,07,D,"Allen, Jimmy",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,State Senate,09,D,"Beamon, Angela",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,State Senate,09,D,"Hye, Joe",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,State Senate,09,D,"Ingram, Catherine D.",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,State Senate,09,D,"Mallory, Dale",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,State Senate,09,D,"Sohi, Paul",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,State Senate,09,D,"Thomas, Cecil",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,State House of Representatives,28,D,"Kamrass, Micah",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,State House of Representatives,30,D,"Childers, Mark A.",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,State House of Representatives,31,D,"Driehaus, Denise",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,State House of Representatives,32,D,"Bryant, Christie",0
Hamilton,BKA,ADDYSTON A,Southwest,Cincinnati,518,28,State House of Representatives,33,D,"Reece, Alicia",0
Hamilton,AYP,AMBERLEY A,Southwest,Cincinnati,712,154,Governor/Lieutenant Governor,,D,"Ealy, Larry",8
Hamilton,AYP,AMBERLEY A,Southwest,Cincinnati,712,154,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",51
Hamilton,AYP,AMBERLEY A,Southwest,Cincinnati,712,154,Attorney General,,D,"Pepper, David",52
Hamilton,AYP,AMBERLEY A,Southwest,Cincinnati,712,154,Auditor of State,,D,"Carney, John Patrick",42
Hamilton,AYP,AMBERLEY A,Southwest,Cincinnati,712,154,Secretary of State,,D,"Turner, Nina",44
Hamilton,AYP,AMBERLEY A,Southwest,Cincinnati,712,154,Treasurer of State,,D,"Pillich, Connie",50
Hamilton,AYP,AMBERLEY A,Southwest,Cincinnati,712,154,U.S. House of Representatives,01,D,"Kundrata, Fred",0
Hamilton,AYP,AMBERLEY A,Southwest,Cincinnati,712,154,U.S. House of Representatives,01,D,"Prues, Jim",0
Hamilton,AYP,AMBERLEY A,Southwest,Cincinnati,712,154,U.S. House of Representatives,02,D,"Richards, Ronny",6
