County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Hancock,Northwest,Toledo,"49,736","9,956",Governor,,R,John Kasich,"6,759"
Hancock,Northwest,Toledo,"49,736","9,956",Attorney General,,R,Mike DeWine,"6,618"
Hancock,Northwest,Toledo,"49,736","9,956",Auditor of State,,R,Dave Yost,"6,137"
Hancock,Northwest,Toledo,"49,736","9,956",Secretary of State,,R,Jon Husted,"6,318"
Hancock,Northwest,Toledo,"49,736","9,956",Treasurer of State,,R,Josh Mandel,"6,317"
Hancock,Northwest,Toledo,"49,736","9,956",U.S. House of Representatives,05,R,Bob Latta,"6,625"
Hancock,Northwest,Toledo,"49,736","9,956",State Senate,01,R,Cliff Hite,"4,988"
Hancock,Northwest,Toledo,"49,736","9,956",State Senate,01,R,Milo Schaffner,670
Hancock,Northwest,Toledo,"49,736","9,956",State Senate,01,R,Corey Shankleton,"2,116"
Hancock,Northwest,Toledo,"49,736","9,956",State House of Representatives,83,R,Robert Cole Sprague,"6,455"
