County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Washington,Southeast,Charleston,"42,012","18,893",Governor,,D,Edward FitzGerald,"5,659"
Washington,Southeast,Charleston,"42,012","18,893",Governor,,R,John Kasich,"12,152"
Washington,Southeast,Charleston,"42,012","18,893",Governor,,G,Anita Rios,525
Washington,Southeast,Charleston,"42,012","18,893",Attorney General,,R,Mike DeWine,"11,949"
Washington,Southeast,Charleston,"42,012","18,893",Attorney General,,D,David Pepper,"6,350"
Washington,Southeast,Charleston,"42,012","18,893",Auditor of State,,L,Bob Bridges,958
Washington,Southeast,Charleston,"42,012","18,893",Auditor of State,,D,John Patrick Carney,"5,914"
Washington,Southeast,Charleston,"42,012","18,893",Auditor of State,,R,Dave Yost,"11,040"
Washington,Southeast,Charleston,"42,012","18,893",Secretary of State,,R,Jon Husted,"10,992"
Washington,Southeast,Charleston,"42,012","18,893",Secretary of State,,L,Kevin Knedler,870
Washington,Southeast,Charleston,"42,012","18,893",Secretary of State,,D,Nina Turner,"6,058"
Washington,Southeast,Charleston,"42,012","18,893",Treasurer of State,,R,Josh Mandel,"11,795"
Washington,Southeast,Charleston,"42,012","18,893",Treasurer of State,,D,Connie Pillich,"6,304"
Washington,Southeast,Charleston,"42,012","18,893",U.S. House of Representatives,06,D,Jennifer Garrison,"7,349"
Washington,Southeast,Charleston,"42,012","18,893",U.S. House of Representatives,06,R,Bill Johnson,"10,662"
Washington,Southeast,Charleston,"42,012","18,893",U.S. House of Representatives,06,G,Dennis Lambert,577
Washington,Southeast,Charleston,"42,012","18,893",State House of Representatives,94,R,Yolan G. Dennis,"5,763"
Washington,Southeast,Charleston,"42,012","18,893",State House of Representatives,94,D,Debbie Phillips,"2,893"
Washington,Southeast,Charleston,"42,012","18,893",State House of Representatives,95,D,Charlie Daniels,"4,160"
Washington,Southeast,Charleston,"42,012","18,893",State House of Representatives,95,R,Andy Thompson,"5,585"
