County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Hocking,AAL,PRECINCT BENTON,Central,Columbus,658,81,Governor/Lieutenant Governor,,D,"Ealy, Larry",5
Hocking,AAL,PRECINCT BENTON,Central,Columbus,658,81,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",35
Hocking,AAL,PRECINCT BENTON,Central,Columbus,658,81,Attorney General,,D,"Pepper, David",28
Hocking,AAL,PRECINCT BENTON,Central,Columbus,658,81,Auditor of State,,D,"Carney, John Patrick",28
Hocking,AAL,PRECINCT BENTON,Central,Columbus,658,81,Secretary of State,,D,"Turner, Nina",30
Hocking,AAL,PRECINCT BENTON,Central,Columbus,658,81,Treasurer of State,,D,"Pillich, Connie",30
Hocking,AAL,PRECINCT BENTON,Central,Columbus,658,81,U.S. House of Representatives,15,D,"Wharton, Scott",34
Hocking,AAL,PRECINCT BENTON,Central,Columbus,658,81,State House of Representatives,78,D,"Fetherolf Rogers, Laina",32
Hocking,ABD,PRECINCT CARBON HILL,Central,Columbus,549,40,Governor/Lieutenant Governor,,D,"Ealy, Larry",7
Hocking,ABD,PRECINCT CARBON HILL,Central,Columbus,549,40,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",12
Hocking,ABD,PRECINCT CARBON HILL,Central,Columbus,549,40,Attorney General,,D,"Pepper, David",17
Hocking,ABD,PRECINCT CARBON HILL,Central,Columbus,549,40,Auditor of State,,D,"Carney, John Patrick",18
Hocking,ABD,PRECINCT CARBON HILL,Central,Columbus,549,40,Secretary of State,,D,"Turner, Nina",18
Hocking,ABD,PRECINCT CARBON HILL,Central,Columbus,549,40,Treasurer of State,,D,"Pillich, Connie",17
Hocking,ABD,PRECINCT CARBON HILL,Central,Columbus,549,40,U.S. House of Representatives,15,D,"Wharton, Scott",18
Hocking,ABD,PRECINCT CARBON HILL,Central,Columbus,549,40,State House of Representatives,78,D,"Fetherolf Rogers, Laina",18
Hocking,AAM,PRECINCT FALLS 1,Central,Columbus,433,81,Governor/Lieutenant Governor,,D,"Ealy, Larry",7
Hocking,AAM,PRECINCT FALLS 1,Central,Columbus,433,81,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",34
Hocking,AAM,PRECINCT FALLS 1,Central,Columbus,433,81,Attorney General,,D,"Pepper, David",37
Hocking,AAM,PRECINCT FALLS 1,Central,Columbus,433,81,Auditor of State,,D,"Carney, John Patrick",38
Hocking,AAM,PRECINCT FALLS 1,Central,Columbus,433,81,Secretary of State,,D,"Turner, Nina",37
Hocking,AAM,PRECINCT FALLS 1,Central,Columbus,433,81,Treasurer of State,,D,"Pillich, Connie",35
Hocking,AAM,PRECINCT FALLS 1,Central,Columbus,433,81,U.S. House of Representatives,15,D,"Wharton, Scott",38
Hocking,AAM,PRECINCT FALLS 1,Central,Columbus,433,81,State House of Representatives,78,D,"Fetherolf Rogers, Laina",32
Hocking,AAN,PRECINCT FALLS 2,Central,Columbus,701,107,Governor/Lieutenant Governor,,D,"Ealy, Larry",16
Hocking,AAN,PRECINCT FALLS 2,Central,Columbus,701,107,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",30
Hocking,AAN,PRECINCT FALLS 2,Central,Columbus,701,107,Attorney General,,D,"Pepper, David",39
Hocking,AAN,PRECINCT FALLS 2,Central,Columbus,701,107,Auditor of State,,D,"Carney, John Patrick",38
Hocking,AAN,PRECINCT FALLS 2,Central,Columbus,701,107,Secretary of State,,D,"Turner, Nina",37
Hocking,AAN,PRECINCT FALLS 2,Central,Columbus,701,107,Treasurer of State,,D,"Pillich, Connie",39
Hocking,AAN,PRECINCT FALLS 2,Central,Columbus,701,107,U.S. House of Representatives,15,D,"Wharton, Scott",39
Hocking,AAN,PRECINCT FALLS 2,Central,Columbus,701,107,State House of Representatives,78,D,"Fetherolf Rogers, Laina",40
Hocking,AAO,PRECINCT FALLS 3,Central,Columbus,400,63,Governor/Lieutenant Governor,,D,"Ealy, Larry",3
Hocking,AAO,PRECINCT FALLS 3,Central,Columbus,400,63,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",24
Hocking,AAO,PRECINCT FALLS 3,Central,Columbus,400,63,Attorney General,,D,"Pepper, David",23
Hocking,AAO,PRECINCT FALLS 3,Central,Columbus,400,63,Auditor of State,,D,"Carney, John Patrick",23
Hocking,AAO,PRECINCT FALLS 3,Central,Columbus,400,63,Secretary of State,,D,"Turner, Nina",22
Hocking,AAO,PRECINCT FALLS 3,Central,Columbus,400,63,Treasurer of State,,D,"Pillich, Connie",22
Hocking,AAO,PRECINCT FALLS 3,Central,Columbus,400,63,U.S. House of Representatives,15,D,"Wharton, Scott",25
Hocking,AAO,PRECINCT FALLS 3,Central,Columbus,400,63,State House of Representatives,78,D,"Fetherolf Rogers, Laina",26
Hocking,AAP,PRECINCT FALLS 4,Central,Columbus,698,118,Governor/Lieutenant Governor,,D,"Ealy, Larry",13
Hocking,AAP,PRECINCT FALLS 4,Central,Columbus,698,118,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",38
Hocking,AAP,PRECINCT FALLS 4,Central,Columbus,698,118,Attorney General,,D,"Pepper, David",47
Hocking,AAP,PRECINCT FALLS 4,Central,Columbus,698,118,Auditor of State,,D,"Carney, John Patrick",49
Hocking,AAP,PRECINCT FALLS 4,Central,Columbus,698,118,Secretary of State,,D,"Turner, Nina",45
