County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Licking,Central,Columbus,"112,356","48,288",Governor,,D,Edward FitzGerald,"11,999"
Licking,Central,Columbus,"112,356","48,288",Governor,,R,John Kasich,"33,620"
Licking,Central,Columbus,"112,356","48,288",Governor,,G,Anita Rios,"1,516"
Licking,Central,Columbus,"112,356","48,288",Attorney General,,R,Mike DeWine,"32,792"
Licking,Central,Columbus,"112,356","48,288",Attorney General,,D,David Pepper,"14,388"
Licking,Central,Columbus,"112,356","48,288",Auditor of State,,L,Bob Bridges,"2,310"
Licking,Central,Columbus,"112,356","48,288",Auditor of State,,D,John Patrick Carney,"13,329"
Licking,Central,Columbus,"112,356","48,288",Auditor of State,,R,Dave Yost,"30,939"
Licking,Central,Columbus,"112,356","48,288",Secretary of State,,R,Jon Husted,"31,988"
Licking,Central,Columbus,"112,356","48,288",Secretary of State,,L,Kevin Knedler,"2,327"
Licking,Central,Columbus,"112,356","48,288",Secretary of State,,D,Nina Turner,"12,290"
Licking,Central,Columbus,"112,356","48,288",Treasurer of State,,R,Josh Mandel,"28,605"
Licking,Central,Columbus,"112,356","48,288",Treasurer of State,,D,Connie Pillich,"18,125"
Licking,Central,Columbus,"112,356","48,288",U.S. House of Representatives,12,G,Bob Hart,"1,852"
Licking,Central,Columbus,"112,356","48,288",U.S. House of Representatives,12,D,David Arthur Tibbs,"12,143"
Licking,Central,Columbus,"112,356","48,288",U.S. House of Representatives,12,R,Pat Tiberi,"33,095"
Licking,Central,Columbus,"112,356","48,288",State Senate,31,D,John Carlisle,"14,290"
Licking,Central,Columbus,"112,356","48,288",State Senate,31,R,Jay Hottinger,"32,507"
Licking,Central,Columbus,"112,356","48,288",State House of Representatives,71,D,Ann Rader,"10,546"
Licking,Central,Columbus,"112,356","48,288",State House of Representatives,71,R,Scott K. Ryan,"21,188"
Licking,Central,Columbus,"112,356","48,288",State House of Representatives,72,D,Janee L. Bowman,"3,997"
Licking,Central,Columbus,"112,356","48,288",State House of Representatives,72,R,Bill Hayes,"10,323"
