County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Seneca,Northwest,Toledo,"35,104","7,230",Governor,,R,John Kasich,"3,999"
Seneca,Northwest,Toledo,"35,104","7,230",Attorney General,,R,Mike DeWine,"4,013"
Seneca,Northwest,Toledo,"35,104","7,230",Auditor of State,,R,Dave Yost,"3,786"
Seneca,Northwest,Toledo,"35,104","7,230",Secretary of State,,R,Jon Husted,"3,800"
Seneca,Northwest,Toledo,"35,104","7,230",Treasurer of State,,R,Josh Mandel,"3,754"
Seneca,Northwest,Toledo,"35,104","7,230",U.S. House of Representatives,04,R,Jim Jordan,"3,757"
Seneca,Northwest,Toledo,"35,104","7,230",State House of Representatives,87,R,Jeff McClain,217
Seneca,Northwest,Toledo,"35,104","7,230",State House of Representatives,88,R,Rhonda Damschroder (WI)*,459
Seneca,Northwest,Toledo,"35,104","7,230",State House of Representatives,88,R,Richard A. Geyer (WI)*,335
Seneca,Northwest,Toledo,"35,104","7,230",State House of Representatives,88,R,William F. Reineke Jr. (WI)*,"2,285"
