County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Fulton,Northwest,Toledo,"28,784","5,303",Governor,,R,John Kasich,"2,673"
Fulton,Northwest,Toledo,"28,784","5,303",Attorney General,,R,Mike DeWine,"2,583"
Fulton,Northwest,Toledo,"28,784","5,303",Auditor of State,,R,Dave Yost,"2,400"
Fulton,Northwest,Toledo,"28,784","5,303",Secretary of State,,R,Jon Husted,"2,462"
Fulton,Northwest,Toledo,"28,784","5,303",Treasurer of State,,R,Josh Mandel,"2,444"
Fulton,Northwest,Toledo,"28,784","5,303",U.S. House of Representatives,05,R,Bob Latta,"2,688"
Fulton,Northwest,Toledo,"28,784","5,303",State Senate,01,R,Cliff Hite,637
Fulton,Northwest,Toledo,"28,784","5,303",State Senate,01,R,Milo Schaffner,252
Fulton,Northwest,Toledo,"28,784","5,303",State Senate,01,R,Corey Shankleton,178
Fulton,Northwest,Toledo,"28,784","5,303",State House of Representatives,47,R,Scott Allegrini,614
Fulton,Northwest,Toledo,"28,784","5,303",State House of Representatives,47,R,Barbara R. Sears,"1,021"
Fulton,Northwest,Toledo,"28,784","5,303",State House of Representatives,81,R,Robert McColley,745
Fulton,Northwest,Toledo,"28,784","5,303",State House of Representatives,81,R,Jason Rockey,328
