County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Brown,Southwest,Cincinnati,"27,309","3,896",Governor,,D,Larry Ealy,337
Brown,Southwest,Cincinnati,"27,309","3,896",Governor,,D,Ed FitzGerald,758
Brown,Southwest,Cincinnati,"27,309","3,896",Attorney General,,D,David Pepper,"1,048"
Brown,Southwest,Cincinnati,"27,309","3,896",Auditor of State,,D,John Patrick Carney,996
Brown,Southwest,Cincinnati,"27,309","3,896",Secretary of State,,D,Nina Turner,996
Brown,Southwest,Cincinnati,"27,309","3,896",Treasurer of State,,D,Connie Pillich,"1,001"
Brown,Southwest,Cincinnati,"27,309","3,896",U.S. House of Representatives,02,D,Ronny Richards,331
Brown,Southwest,Cincinnati,"27,309","3,896",U.S. House of Representatives,02,D,John Sheil,161
Brown,Southwest,Cincinnati,"27,309","3,896",U.S. House of Representatives,02,D,William R. Smith,290
Brown,Southwest,Cincinnati,"27,309","3,896",U.S. House of Representatives,02,D,Marek Tyszkiewicz,299
Brown,Southwest,Cincinnati,"27,309","3,896",State House of Representatives,66,D,Ken P. McNeely Jr.,976
