County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Geauga,Northeast,Cleveland,"64,170","31,737",Governor,,D,Edward FitzGerald,"6,579"
Geauga,Northeast,Cleveland,"64,170","31,737",Governor,,R,John Kasich,"23,072"
Geauga,Northeast,Cleveland,"64,170","31,737",Governor,,G,Anita Rios,"1,065"
Geauga,Northeast,Cleveland,"64,170","31,737",Attorney General,,R,Mike DeWine,"22,507"
Geauga,Northeast,Cleveland,"64,170","31,737",Attorney General,,D,David Pepper,"8,248"
Geauga,Northeast,Cleveland,"64,170","31,737",Auditor of State,,L,Bob Bridges,"1,319"
Geauga,Northeast,Cleveland,"64,170","31,737",Auditor of State,,D,John Patrick Carney,"8,357"
Geauga,Northeast,Cleveland,"64,170","31,737",Auditor of State,,R,Dave Yost,"20,351"
Geauga,Northeast,Cleveland,"64,170","31,737",Secretary of State,,R,Jon Husted,"20,838"
Geauga,Northeast,Cleveland,"64,170","31,737",Secretary of State,,L,Kevin Knedler,"1,322"
Geauga,Northeast,Cleveland,"64,170","31,737",Secretary of State,,D,Nina Turner,"8,005"
Geauga,Northeast,Cleveland,"64,170","31,737",Treasurer of State,,R,Josh Mandel,"19,798"
Geauga,Northeast,Cleveland,"64,170","31,737",Treasurer of State,,D,Connie Pillich,"10,829"
Geauga,Northeast,Cleveland,"64,170","31,737",U.S. House of Representatives,14,R,David P. Joyce,"22,203"
Geauga,Northeast,Cleveland,"64,170","31,737",U.S. House of Representatives,14,L,David Macko,"1,208"
Geauga,Northeast,Cleveland,"64,170","31,737",U.S. House of Representatives,14,D,Michael Wager,"7,282"
Geauga,Northeast,Cleveland,"64,170","31,737",State House of Representatives,76,D,Joseph Lanese,"7,382"
Geauga,Northeast,Cleveland,"64,170","31,737",State House of Representatives,76,R,Sarah LaTourette,"16,144"
Geauga,Northeast,Cleveland,"64,170","31,737",State House of Representatives,99,R,Nancy McArthur,"3,674"
Geauga,Northeast,Cleveland,"64,170","31,737",State House of Representatives,99,D,John Patterson,"2,491"
