County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Fairfield,Central,Columbus,"96,923","13,090",Governor,,R,John Kasich,"7,173"
Fairfield,Central,Columbus,"96,923","13,090",Attorney General,,R,Mike DeWine,"7,033"
Fairfield,Central,Columbus,"96,923","13,090",Auditor of State,,R,Dave Yost,"6,638"
Fairfield,Central,Columbus,"96,923","13,090",Secretary of State,,R,Jon Husted,"6,639"
Fairfield,Central,Columbus,"96,923","13,090",Treasurer of State,,R,Josh Mandel,"6,402"
Fairfield,Central,Columbus,"96,923","13,090",U.S. House of Representatives,15,R,Charles S. Chope,758
Fairfield,Central,Columbus,"96,923","13,090",U.S. House of Representatives,15,R,Steve Stivers,"6,919"
Fairfield,Central,Columbus,"96,923","13,090",State House of Representatives,77,R,Ned Naden Basinger,736
Fairfield,Central,Columbus,"96,923","13,090",State House of Representatives,77,R,Tim Schaffer,"4,971"
Fairfield,Central,Columbus,"96,923","13,090",State House of Representatives,78,R,Ron Hood,"1,508"
