County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Madison,Central,Columbus,"23,803","10,444",Governor,,D,Edward FitzGerald,"2,348"
Madison,Central,Columbus,"23,803","10,444",Governor,,R,John Kasich,"7,492"
Madison,Central,Columbus,"23,803","10,444",Governor,,G,Anita Rios,322
Madison,Central,Columbus,"23,803","10,444",Attorney General,,R,Mike DeWine,"7,412"
Madison,Central,Columbus,"23,803","10,444",Attorney General,,D,David Pepper,"2,765"
Madison,Central,Columbus,"23,803","10,444",Auditor of State,,L,Bob Bridges,482
Madison,Central,Columbus,"23,803","10,444",Auditor of State,,D,John Patrick Carney,"2,438"
Madison,Central,Columbus,"23,803","10,444",Auditor of State,,R,Dave Yost,"7,151"
Madison,Central,Columbus,"23,803","10,444",Secretary of State,,R,Jon Husted,"7,379"
Madison,Central,Columbus,"23,803","10,444",Secretary of State,,L,Kevin Knedler,454
Madison,Central,Columbus,"23,803","10,444",Secretary of State,,D,Nina Turner,"2,159"
Madison,Central,Columbus,"23,803","10,444",Treasurer of State,,R,Josh Mandel,"6,579"
Madison,Central,Columbus,"23,803","10,444",Treasurer of State,,D,Connie Pillich,"3,553"
Madison,Central,Columbus,"23,803","10,444",U.S. House of Representatives,15,R,Steve Stivers,"7,717"
Madison,Central,Columbus,"23,803","10,444",U.S. House of Representatives,15,D,Scott Wharton,"2,459"
Madison,Central,Columbus,"23,803","10,444",State House of Representatives,74,R,Robert D. Hackett,"7,806"
