County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Morgan,Central,Columbus,"8,703","4,007",Governor,,D,Edward FitzGerald,"1,189"
Morgan,Central,Columbus,"8,703","4,007",Governor,,R,John Kasich,"2,579"
Morgan,Central,Columbus,"8,703","4,007",Governor,,G,Anita Rios,123
Morgan,Central,Columbus,"8,703","4,007",Attorney General,,R,Mike DeWine,"2,589"
Morgan,Central,Columbus,"8,703","4,007",Attorney General,,D,David Pepper,"1,326"
Morgan,Central,Columbus,"8,703","4,007",Auditor of State,,L,Bob Bridges,162
Morgan,Central,Columbus,"8,703","4,007",Auditor of State,,D,John Patrick Carney,"1,246"
Morgan,Central,Columbus,"8,703","4,007",Auditor of State,,R,Dave Yost,"2,414"
Morgan,Central,Columbus,"8,703","4,007",Secretary of State,,R,Jon Husted,"2,532"
Morgan,Central,Columbus,"8,703","4,007",Secretary of State,,L,Kevin Knedler,169
Morgan,Central,Columbus,"8,703","4,007",Secretary of State,,D,Nina Turner,"1,144"
Morgan,Central,Columbus,"8,703","4,007",Treasurer of State,,R,Josh Mandel,"2,409"
Morgan,Central,Columbus,"8,703","4,007",Treasurer of State,,D,Connie Pillich,"1,460"
Morgan,Central,Columbus,"8,703","4,007",U.S. House of Representatives,15,R,Steve Stivers,"2,664"
Morgan,Central,Columbus,"8,703","4,007",U.S. House of Representatives,15,D,Scott Wharton,"1,197"
Morgan,Central,Columbus,"8,703","4,007",State House of Representatives,78,D,Laina Fetherolf Rogers,"1,233"
Morgan,Central,Columbus,"8,703","4,007",State House of Representatives,78,R,Ron Hood,"2,534"
