County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Fayette,Central,Columbus,"15,913","2,541",Governor,,R,John Kasich,"1,737"
Fayette,Central,Columbus,"15,913","2,541",Attorney General,,R,Mike DeWine,"1,767"
Fayette,Central,Columbus,"15,913","2,541",Auditor of State,,R,Dave Yost,"1,649"
Fayette,Central,Columbus,"15,913","2,541",Secretary of State,,R,Jon Husted,"1,655"
Fayette,Central,Columbus,"15,913","2,541",Treasurer of State,,R,Josh Mandel,"1,638"
Fayette,Central,Columbus,"15,913","2,541",U.S. House of Representatives,10,R,John D. Anderson,337
Fayette,Central,Columbus,"15,913","2,541",U.S. House of Representatives,10,R,Mike Turner,"1,068"
Fayette,Central,Columbus,"15,913","2,541",U.S. House of Representatives,15,R,Charles S. Chope,46
Fayette,Central,Columbus,"15,913","2,541",U.S. House of Representatives,15,R,Steve Stivers,329
Fayette,Central,Columbus,"15,913","2,541",State Senate,17,R,Bob Peterson,"1,671"
Fayette,Central,Columbus,"15,913","2,541",State House of Representatives,92,R,Gary Scherer,"1,155"
Fayette,Central,Columbus,"15,913","2,541",State House of Representatives,92,R,Kirk Stinson,522
