County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,Governor/Lieutenant Governor,,D,Edward FitzGerald,64
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,Governor/Lieutenant Governor,,R,John Kasich,110
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,Governor/Lieutenant Governor,,G,Anita Rios,6
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,Attorney General,,R,Mike DeWine,132
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,Attorney General,,D,David Pepper,40
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,Auditor of State,,L,Bob Bridges,5
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,Auditor of State,,D,John Patrick Carney,45
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,Auditor of State,,R,Dave Yost,116
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,Secretary of State,,R,Jon Husted,113
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,Secretary of State,,L,Kevin Knedler,8
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,Secretary of State,,D,Nina Turner,44
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,Treasurer of State,,R,Josh Mandel,128
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,Treasurer of State,,D,Connie Pillich,41
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,U.S. House of Representatives,06,D,Jennifer Garrison,43
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,U.S. House of Representatives,06,R,Bill Johnson,131
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,U.S. House of Representatives,06,G,Dennis Lambert,3
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,State Senate,17,R,Bob Peterson,130
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,State House of Representatives,90,D,Thomas Jefferson Davis,0
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,State House of Representatives,90,R,Terry A. Johnson,0
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,State House of Representatives,93,D,Josh Bailey,46
Lawrence,AAZ,PRECINCT AID 1,Southeast,Charleston,507,187,State House of Representatives,93,R,Ryan Smith,124
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,Governor/Lieutenant Governor,,D,Edward FitzGerald,24
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,Governor/Lieutenant Governor,,R,John Kasich,30
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,Governor/Lieutenant Governor,,G,Anita Rios,8
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,Attorney General,,R,Mike DeWine,39
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,Attorney General,,D,David Pepper,22
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,Auditor of State,,L,Bob Bridges,6
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,Auditor of State,,D,John Patrick Carney,24
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,Auditor of State,,R,Dave Yost,31
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,Secretary of State,,R,Jon Husted,30
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,Secretary of State,,L,Kevin Knedler,6
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,Secretary of State,,D,Nina Turner,25
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,Treasurer of State,,R,Josh Mandel,39
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,Treasurer of State,,D,Connie Pillich,22
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,U.S. House of Representatives,06,D,Jennifer Garrison,22
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,U.S. House of Representatives,06,R,Bill Johnson,35
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,U.S. House of Representatives,06,G,Dennis Lambert,4
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,State Senate,17,R,Bob Peterson,39
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,State House of Representatives,90,D,Thomas Jefferson Davis,0
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,State House of Representatives,90,R,Terry A. Johnson,0
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,State House of Representatives,93,D,Josh Bailey,26
Lawrence,ABA,PRECINCT AID 2,Southeast,Charleston,191,63,State House of Representatives,93,R,Ryan Smith,34
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,Governor/Lieutenant Governor,,D,Edward FitzGerald,20
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,Governor/Lieutenant Governor,,R,John Kasich,58
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,Governor/Lieutenant Governor,,G,Anita Rios,2
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,Attorney General,,R,Mike DeWine,59
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,Attorney General,,D,David Pepper,18
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,Auditor of State,,L,Bob Bridges,1
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,Auditor of State,,D,John Patrick Carney,29
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,Auditor of State,,R,Dave Yost,45
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,Secretary of State,,R,Jon Husted,46
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,Secretary of State,,L,Kevin Knedler,2
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,Secretary of State,,D,Nina Turner,28
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,Treasurer of State,,R,Josh Mandel,48
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,Treasurer of State,,D,Connie Pillich,28
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,U.S. House of Representatives,06,D,Jennifer Garrison,28
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,U.S. House of Representatives,06,R,Bill Johnson,47
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,U.S. House of Representatives,06,G,Dennis Lambert,1
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,State Senate,17,R,Bob Peterson,60
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,State House of Representatives,90,D,Thomas Jefferson Davis,0
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,State House of Representatives,90,R,Terry A. Johnson,0
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,State House of Representatives,93,D,Josh Bailey,25
Lawrence,ACC,PRECINCT ATHALIA,Southeast,Charleston,245,81,State House of Representatives,93,R,Ryan Smith,53
Lawrence,ACM,PRECINCT BRADRICK 1,Southeast,Charleston,640,144,Governor/Lieutenant Governor,,D,Edward FitzGerald,28
