County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Brown,Southwest,Cincinnati,"27,383","11,884",Governor,,D,Edward FitzGerald,"2,731"
Brown,Southwest,Cincinnati,"27,383","11,884",Governor,,R,John Kasich,"8,550"
Brown,Southwest,Cincinnati,"27,383","11,884",Governor,,G,Anita Rios,266
Brown,Southwest,Cincinnati,"27,383","11,884",Attorney General,,R,Mike DeWine,"7,756"
Brown,Southwest,Cincinnati,"27,383","11,884",Attorney General,,D,David Pepper,"3,840"
Brown,Southwest,Cincinnati,"27,383","11,884",Auditor of State,,L,Bob Bridges,634
Brown,Southwest,Cincinnati,"27,383","11,884",Auditor of State,,D,John Patrick Carney,"3,164"
Brown,Southwest,Cincinnati,"27,383","11,884",Auditor of State,,R,Dave Yost,"7,569"
Brown,Southwest,Cincinnati,"27,383","11,884",Secretary of State,,R,Jon Husted,"7,876"
Brown,Southwest,Cincinnati,"27,383","11,884",Secretary of State,,L,Kevin Knedler,581
Brown,Southwest,Cincinnati,"27,383","11,884",Secretary of State,,D,Nina Turner,"2,946"
Brown,Southwest,Cincinnati,"27,383","11,884",Treasurer of State,,R,Josh Mandel,"8,490"
Brown,Southwest,Cincinnati,"27,383","11,884",Treasurer of State,,D,Connie Pillich,"3,095"
Brown,Southwest,Cincinnati,"27,383","11,884",U.S. House of Representatives,02,D,Marek Tyszkiewicz,"2,992"
Brown,Southwest,Cincinnati,"27,383","11,884",U.S. House of Representatives,02,R,Brad Wenstrup,"8,460"
Brown,Southwest,Cincinnati,"27,383","11,884",State House of Representatives,66,R,Doug Green,"9,113"
Brown,Southwest,Cincinnati,"27,383","11,884",State House of Representatives,66,D,Ken P. McNeely Jr.,"2,527"
