County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Stark,Northeast,Cleveland,"249,586","34,806",Governor,,R,John Kasich,"16,136"
Stark,Northeast,Cleveland,"249,586","34,806",Attorney General,,R,Mike DeWine,"15,754"
Stark,Northeast,Cleveland,"249,586","34,806",Auditor of State,,R,Dave Yost,"14,507"
Stark,Northeast,Cleveland,"249,586","34,806",Secretary of State,,R,Jon Husted,"14,802"
Stark,Northeast,Cleveland,"249,586","34,806",Treasurer of State,,R,Josh Mandel,"14,772"
Stark,Northeast,Cleveland,"249,586","34,806",U.S. House of Representatives,07,R,Bob Gibbs,"8,717"
Stark,Northeast,Cleveland,"249,586","34,806",U.S. House of Representatives,13,R,Thomas Pekarek (WI)*,2
Stark,Northeast,Cleveland,"249,586","34,806",U.S. House of Representatives,16,R,Jim Renacci,"5,843"
Stark,Northeast,Cleveland,"249,586","34,806",State Senate,27,R,Caleb T. Davenport,565
Stark,Northeast,Cleveland,"249,586","34,806",State Senate,27,R,Frank LaRose,"1,235"
Stark,Northeast,Cleveland,"249,586","34,806",State Senate,29,R,Dennis R. Harbert,"2,998"
Stark,Northeast,Cleveland,"249,586","34,806",State Senate,29,R,Scott Oelslager,"12,374"
Stark,Northeast,Cleveland,"249,586","34,806",State House of Representatives,38,R,Marilyn Slaby,"1,420"
Stark,Northeast,Cleveland,"249,586","34,806",State House of Representatives,48,R,Kirk Schuring,"6,237"
Stark,Northeast,Cleveland,"249,586","34,806",State House of Representatives,49,R,Dallas Charton (WI)*,114
Stark,Northeast,Cleveland,"249,586","34,806",State House of Representatives,50,R,Christina M. Hagan,"4,639"
