County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Mercer,West,Dayton,"29,283","5,651",Governor,,R,John Kasich,"3,442"
Mercer,West,Dayton,"29,283","5,651",Attorney General,,R,Mike DeWine,"3,401"
Mercer,West,Dayton,"29,283","5,651",Auditor of State,,R,Dave Yost,"3,006"
Mercer,West,Dayton,"29,283","5,651",Secretary of State,,R,Jon Husted,"3,092"
Mercer,West,Dayton,"29,283","5,651",Treasurer of State,,R,Josh Mandel,"3,176"
Mercer,West,Dayton,"29,283","5,651",U.S. House of Representatives,04,R,Jim Jordan,274
Mercer,West,Dayton,"29,283","5,651",U.S. House of Representatives,05,R,Bob Latta,"1,311"
Mercer,West,Dayton,"29,283","5,651",U.S. House of Representatives,08,R,John A. Boehner,"1,572"
Mercer,West,Dayton,"29,283","5,651",U.S. House of Representatives,08,R,Eric Gurr,64
Mercer,West,Dayton,"29,283","5,651",U.S. House of Representatives,08,R,J.D. Winteregg,312
Mercer,West,Dayton,"29,283","5,651",State House of Representatives,84,R,Jim Buchy,"3,403"
