County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,Governor/Lieutenant Governor,,D,Edward FitzGerald,35
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,Governor/Lieutenant Governor,,R,John Kasich,159
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,Governor/Lieutenant Governor,,G,Anita Rios,4
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,Attorney General,,R,Mike DeWine,154
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,Attorney General,,D,David Pepper,42
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,Auditor of State,,L,Bob Bridges,13
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,Auditor of State,,D,John Patrick Carney,43
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,Auditor of State,,R,Dave Yost,138
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,Secretary of State,,R,Jon Husted,150
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,Secretary of State,,L,Kevin Knedler,11
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,Secretary of State,,D,Nina Turner,37
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,Treasurer of State,,R,Josh Mandel,143
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,Treasurer of State,,D,Connie Pillich,53
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,U.S. House of Representatives,04,D,Janet Garrett,44
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,U.S. House of Representatives,04,R,Jim Jordan,156
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,State Senate,01,R,Cliff Hite,155
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,State House of Representatives,83,L,Gregory A. Norris,48
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,State House of Representatives,83,I,Kevin Rettig,11
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,State House of Representatives,83,R,Robert Cole Sprague,125
Logan,ABK,PRECINCT BELLE CENTER,West,Dayton,528,203,State House of Representatives,85,R,Nino Vitale,0
Logan,AAQ,PRECINCT BLOOMFIELD,West,Dayton,316,194,Governor/Lieutenant Governor,,D,Edward FitzGerald,27
Logan,AAQ,PRECINCT BLOOMFIELD,West,Dayton,316,194,Governor/Lieutenant Governor,,R,John Kasich,155
Logan,AAQ,PRECINCT BLOOMFIELD,West,Dayton,316,194,Governor/Lieutenant Governor,,G,Anita Rios,5
Logan,AAQ,PRECINCT BLOOMFIELD,West,Dayton,316,194,Attorney General,,R,Mike DeWine,157
Logan,AAQ,PRECINCT BLOOMFIELD,West,Dayton,316,194,Attorney General,,D,David Pepper,28
Logan,AAQ,PRECINCT BLOOMFIELD,West,Dayton,316,194,Auditor of State,,L,Bob Bridges,5
