County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Putnam,Northwest,Toledo,"23,377","4,927",Governor,,R,John Kasich,"2,424"
Putnam,Northwest,Toledo,"23,377","4,927",Attorney General,,R,Mike DeWine,"2,405"
Putnam,Northwest,Toledo,"23,377","4,927",Auditor of State,,R,Dave Yost,"2,170"
Putnam,Northwest,Toledo,"23,377","4,927",Secretary of State,,R,Jon Husted,"2,238"
Putnam,Northwest,Toledo,"23,377","4,927",Treasurer of State,,R,Josh Mandel,"2,299"
Putnam,Northwest,Toledo,"23,377","4,927",U.S. House of Representatives,05,R,Bob Latta,"2,499"
Putnam,Northwest,Toledo,"23,377","4,927",State Senate,01,R,Cliff Hite,"1,328"
Putnam,Northwest,Toledo,"23,377","4,927",State Senate,01,R,Milo Schaffner,424
Putnam,Northwest,Toledo,"23,377","4,927",State Senate,01,R,Corey Shankleton,845
Putnam,Northwest,Toledo,"23,377","4,927",State House of Representatives,81,R,Robert McColley,"1,956"
Putnam,Northwest,Toledo,"23,377","4,927",State House of Representatives,81,R,Jason Rockey,692
