County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Belmont,Southeast,Wheeling,"49,836","6,652",Governor,,D,Larry Ealy,762
Belmont,Southeast,Wheeling,"49,836","6,652",Governor,,D,Ed FitzGerald,"2,914"
Belmont,Southeast,Wheeling,"49,836","6,652",Attorney General,,D,David Pepper,"3,045"
Belmont,Southeast,Wheeling,"49,836","6,652",Auditor of State,,D,John Patrick Carney,"3,075"
Belmont,Southeast,Wheeling,"49,836","6,652",Secretary of State,,D,Nina Turner,"3,020"
Belmont,Southeast,Wheeling,"49,836","6,652",Treasurer of State,,D,Connie Pillich,"2,991"
Belmont,Southeast,Wheeling,"49,836","6,652",U.S. House of Representatives,06,D,Jennifer Garrison,"2,902"
Belmont,Southeast,Wheeling,"49,836","6,652",U.S. House of Representatives,06,D,Gregory D. Howard,829
Belmont,Southeast,Wheeling,"49,836","6,652",State House of Representatives,95,D,Charlie Daniels,"1,201"
Belmont,Southeast,Wheeling,"49,836","6,652",State House of Representatives,96,D,Jack Cera,"2,335"
