County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Mahoning,Northeast,Youngstown,"166,792","34,613",Governor,,D,Larry Ealy,"3,878"
Mahoning,Northeast,Youngstown,"166,792","34,613",Governor,,D,Ed FitzGerald,"16,500"
Mahoning,Northeast,Youngstown,"166,792","34,613",Attorney General,,D,David Pepper,"15,173"
Mahoning,Northeast,Youngstown,"166,792","34,613",Auditor of State,,D,John Patrick Carney,"15,775"
Mahoning,Northeast,Youngstown,"166,792","34,613",Secretary of State,,D,Nina Turner,"15,639"
Mahoning,Northeast,Youngstown,"166,792","34,613",Treasurer of State,,D,Connie Pillich,"14,852"
Mahoning,Northeast,Youngstown,"166,792","34,613",U.S. House of Representatives,06,D,Jennifer Garrison,"2,411"
Mahoning,Northeast,Youngstown,"166,792","34,613",U.S. House of Representatives,06,D,Gregory D. Howard,864
Mahoning,Northeast,Youngstown,"166,792","34,613",U.S. House of Representatives,13,D,John Stephen Luchansky,"2,878"
Mahoning,Northeast,Youngstown,"166,792","34,613",U.S. House of Representatives,13,D,Tim Ryan,"16,965"
Mahoning,Northeast,Youngstown,"166,792","34,613",State Senate,33,D,Joseph L. Schiavoni,"19,015"
Mahoning,Northeast,Youngstown,"166,792","34,613",State House of Representatives,58,D,Michele Lepore-Hagan,"6,073"
Mahoning,Northeast,Youngstown,"166,792","34,613",State House of Representatives,58,D,Cynthia L. McWilson,"1,530"
Mahoning,Northeast,Youngstown,"166,792","34,613",State House of Representatives,58,D,Michael E. O'Hara,"1,881"
Mahoning,Northeast,Youngstown,"166,792","34,613",State House of Representatives,58,D,Janet Tarpley,"3,318"
Mahoning,Northeast,Youngstown,"166,792","34,613",State House of Representatives,59,D,Ronald V. Gerberry,"8,002"
