County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Adams,Southwest,Cincinnati,"17,446","2,742",Governor,,R,John Kasich,"1,635"
Adams,Southwest,Cincinnati,"17,446","2,742",Attorney General,,R,Mike DeWine,"1,608"
Adams,Southwest,Cincinnati,"17,446","2,742",Auditor of State,,R,Dave Yost,"1,430"
Adams,Southwest,Cincinnati,"17,446","2,742",Secretary of State,,R,Jon Husted,"1,434"
Adams,Southwest,Cincinnati,"17,446","2,742",Treasurer of State,,R,Josh Mandel,"1,489"
Adams,Southwest,Cincinnati,"17,446","2,742",U.S. House of Representatives,02,R,Brad Wenstrup,"1,589"
Adams,Southwest,Cincinnati,"17,446","2,742",State House of Representatives,90,R,Terry A. Johnson,"1,498"
