County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Henry,Northwest,Toledo,"19,320","8,059",Governor,,D,Edward FitzGerald,"1,717"
Henry,Northwest,Toledo,"19,320","8,059",Governor,,R,John Kasich,"5,948"
Henry,Northwest,Toledo,"19,320","8,059",Governor,,G,Anita Rios,195
Henry,Northwest,Toledo,"19,320","8,059",Attorney General,,R,Mike DeWine,"5,642"
Henry,Northwest,Toledo,"19,320","8,059",Attorney General,,D,David Pepper,"2,209"
Henry,Northwest,Toledo,"19,320","8,059",Auditor of State,,L,Bob Bridges,429
Henry,Northwest,Toledo,"19,320","8,059",Auditor of State,,D,John Patrick Carney,"1,857"
Henry,Northwest,Toledo,"19,320","8,059",Auditor of State,,R,Dave Yost,"5,374"
Henry,Northwest,Toledo,"19,320","8,059",Secretary of State,,R,Jon Husted,"5,884"
Henry,Northwest,Toledo,"19,320","8,059",Secretary of State,,L,Kevin Knedler,346
Henry,Northwest,Toledo,"19,320","8,059",Secretary of State,,D,Nina Turner,"1,527"
Henry,Northwest,Toledo,"19,320","8,059",Treasurer of State,,R,Josh Mandel,"5,269"
Henry,Northwest,Toledo,"19,320","8,059",Treasurer of State,,D,Connie Pillich,"2,560"
Henry,Northwest,Toledo,"19,320","8,059",U.S. House of Representatives,05,L,Eric Eberly,282
Henry,Northwest,Toledo,"19,320","8,059",U.S. House of Representatives,05,D,Robert Fry,"1,732"
Henry,Northwest,Toledo,"19,320","8,059",U.S. House of Representatives,05,R,Bob Latta,"5,912"
Henry,Northwest,Toledo,"19,320","8,059",State Senate,01,R,Cliff Hite,"6,161"
Henry,Northwest,Toledo,"19,320","8,059",State House of Representatives,81,D,John P. Lymanstall,"2,648"
Henry,Northwest,Toledo,"19,320","8,059",State House of Representatives,81,R,Robert McColley,"5,137"
