County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Greene,West,Dayton,"111,865","49,845",Governor,,D,Edward FitzGerald,"11,811"
Greene,West,Dayton,"111,865","49,845",Governor,,R,John Kasich,"35,734"
Greene,West,Dayton,"111,865","49,845",Governor,,G,Anita Rios,"1,354"
Greene,West,Dayton,"111,865","49,845",Attorney General,,R,Mike DeWine,"36,222"
Greene,West,Dayton,"111,865","49,845",Attorney General,,D,David Pepper,"12,844"
Greene,West,Dayton,"111,865","49,845",Auditor of State,,L,Bob Bridges,"2,447"
Greene,West,Dayton,"111,865","49,845",Auditor of State,,D,John Patrick Carney,"12,795"
Greene,West,Dayton,"111,865","49,845",Auditor of State,,R,Dave Yost,"32,990"
Greene,West,Dayton,"111,865","49,845",Secretary of State,,R,Jon Husted,"34,329"
Greene,West,Dayton,"111,865","49,845",Secretary of State,,L,Kevin Knedler,"2,198"
Greene,West,Dayton,"111,865","49,845",Secretary of State,,D,Nina Turner,"12,144"
Greene,West,Dayton,"111,865","49,845",Treasurer of State,,R,Josh Mandel,"31,868"
Greene,West,Dayton,"111,865","49,845",Treasurer of State,,D,Connie Pillich,"16,765"
Greene,West,Dayton,"111,865","49,845",U.S. House of Representatives,10,L,David A. Harlow,"1,822"
Greene,West,Dayton,"111,865","49,845",U.S. House of Representatives,10,D,Robert Klepinger,"11,846"
Greene,West,Dayton,"111,865","49,845",U.S. House of Representatives,10,R,Mike Turner,"35,262"
Greene,West,Dayton,"111,865","49,845",State House of Representatives,73,D,Dave Ogan,"10,066"
Greene,West,Dayton,"111,865","49,845",State House of Representatives,73,R,Rick Perales,"24,954"
Greene,West,Dayton,"111,865","49,845",State House of Representatives,74,R,Robert D. Hackett,"10,381"
