County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Franklin,Central,Columbus,"796,641","133,152",Governor,,R,John Kasich,"50,421"
Franklin,Central,Columbus,"796,641","133,152",Attorney General,,R,Mike DeWine,"48,211"
Franklin,Central,Columbus,"796,641","133,152",Auditor of State,,R,Dave Yost,"45,214"
Franklin,Central,Columbus,"796,641","133,152",Secretary of State,,R,Jon Husted,"45,211"
Franklin,Central,Columbus,"796,641","133,152",Treasurer of State,,R,Josh Mandel,"43,540"
Franklin,Central,Columbus,"796,641","133,152",U.S. House of Representatives,03,R,John Adams,"10,045"
Franklin,Central,Columbus,"796,641","133,152",U.S. House of Representatives,03,R,Eric T. Vennon,"7,032"
Franklin,Central,Columbus,"796,641","133,152",U.S. House of Representatives,12,R,Pat Tiberi,"13,359"
Franklin,Central,Columbus,"796,641","133,152",U.S. House of Representatives,15,R,Charles S. Chope,"1,491"
Franklin,Central,Columbus,"796,641","133,152",U.S. House of Representatives,15,R,Steve Stivers,"16,036"
Franklin,Central,Columbus,"796,641","133,152",State Senate,03,R,Kevin R. Bacon,"13,062"
Franklin,Central,Columbus,"796,641","133,152",State Senate,03,R,Kevin Solveson,"3,526"
Franklin,Central,Columbus,"796,641","133,152",State Senate,15,R,Joe Healy,"4,722"
Franklin,Central,Columbus,"796,641","133,152",State Senate,19,R,Kris Jordan,"3,302"
Franklin,Central,Columbus,"796,641","133,152",State House of Representatives,17,R,Michael Newbern,"2,086"
Franklin,Central,Columbus,"796,641","133,152",State House of Representatives,18,R,Robert W. Sharrah,"1,619"
Franklin,Central,Columbus,"796,641","133,152",State House of Representatives,19,R,Anne H. Gonzales,"5,531"
Franklin,Central,Columbus,"796,641","133,152",State House of Representatives,19,R,Meta R. Hahn,"2,097"
Franklin,Central,Columbus,"796,641","133,152",State House of Representatives,20,R,Daniel D. Mefford,"4,410"
Franklin,Central,Columbus,"796,641","133,152",State House of Representatives,21,R,Michael P. Duffey,"6,086"
Franklin,Central,Columbus,"796,641","133,152",State House of Representatives,22,R,Andrew C. Hall,"3,341"
Franklin,Central,Columbus,"796,641","133,152",State House of Representatives,23,R,Cheryl L. Grossman,"4,570"
Franklin,Central,Columbus,"796,641","133,152",State House of Representatives,24,R,Stephanie L. Kunze,"5,092"
Franklin,Central,Columbus,"796,641","133,152",State House of Representatives,24,R,Patrick W. Manley,"3,595"
Franklin,Central,Columbus,"796,641","133,152",State House of Representatives,25,R,Jim Burgess,638
Franklin,Central,Columbus,"796,641","133,152",State House of Representatives,25,R,Seth B. Golding,756
Franklin,Central,Columbus,"796,641","133,152",State House of Representatives,26,R,Dustin A. Pyles,"1,860"
