County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Montgomery,West,Dayton,"374,097","149,284",Governor,,D,Edward FitzGerald,"51,664"
Montgomery,West,Dayton,"374,097","149,284",Governor,,R,John Kasich,"90,683"
Montgomery,West,Dayton,"374,097","149,284",Governor,,G,Anita Rios,"3,483"
Montgomery,West,Dayton,"374,097","149,284",Attorney General,,R,Mike DeWine,"89,697"
Montgomery,West,Dayton,"374,097","149,284",Attorney General,,D,David Pepper,"56,098"
Montgomery,West,Dayton,"374,097","149,284",Auditor of State,,L,Bob Bridges,"6,541"
Montgomery,West,Dayton,"374,097","149,284",Auditor of State,,D,John Patrick Carney,"55,355"
Montgomery,West,Dayton,"374,097","149,284",Auditor of State,,R,Dave Yost,"81,646"
Montgomery,West,Dayton,"374,097","149,284",Secretary of State,,R,Jon Husted,"85,874"
Montgomery,West,Dayton,"374,097","149,284",Secretary of State,,L,Kevin Knedler,"6,198"
Montgomery,West,Dayton,"374,097","149,284",Secretary of State,,D,Nina Turner,"53,070"
Montgomery,West,Dayton,"374,097","149,284",Treasurer of State,,R,Josh Mandel,"78,195"
Montgomery,West,Dayton,"374,097","149,284",Treasurer of State,,D,Connie Pillich,"66,717"
Montgomery,West,Dayton,"374,097","149,284",U.S. House of Representatives,10,L,David A. Harlow,"4,591"
Montgomery,West,Dayton,"374,097","149,284",U.S. House of Representatives,10,D,Robert Klepinger,"50,289"
Montgomery,West,Dayton,"374,097","149,284",U.S. House of Representatives,10,R,Mike Turner,"91,973"
Montgomery,West,Dayton,"374,097","149,284",State Senate,05,R,Bill Beagle,"14,599"
Montgomery,West,Dayton,"374,097","149,284",State Senate,05,D,Dee Gillis,"27,752"
Montgomery,West,Dayton,"374,097","149,284",State House of Representatives,39,R,Jeffrey Dalton,"3,891"
Montgomery,West,Dayton,"374,097","149,284",State House of Representatives,39,I,William Pace,895
Montgomery,West,Dayton,"374,097","149,284",State House of Representatives,39,D,Fred Strahorn,"16,344"
Montgomery,West,Dayton,"374,097","149,284",State House of Representatives,40,R,Mike Henne,"21,314"
Montgomery,West,Dayton,"374,097","149,284",State House of Representatives,40,D,David L. Richards,"11,271"
Montgomery,West,Dayton,"374,097","149,284",State House of Representatives,41,R,Jim Butler,"24,300"
Montgomery,West,Dayton,"374,097","149,284",State House of Representatives,41,D,Wayne E. Small,"11,490"
Montgomery,West,Dayton,"374,097","149,284",State House of Representatives,42,R,Niraj J. Antani,"20,440"
Montgomery,West,Dayton,"374,097","149,284",State House of Representatives,42,D,Patrick A. Merris,"11,248"
Montgomery,West,Dayton,"374,097","149,284",State House of Representatives,43,R,Jeff Rezabek,"9,762"
Montgomery,West,Dayton,"374,097","149,284",State House of Representatives,43,D,Roland Winburn,"11,284"
