County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Marion,Central,Columbus,"39,399","10,057",Governor,,D,Larry Ealy,615
Marion,Central,Columbus,"39,399","10,057",Governor,,D,Ed FitzGerald,"2,101"
Marion,Central,Columbus,"39,399","10,057",Attorney General,,D,David Pepper,"2,374"
Marion,Central,Columbus,"39,399","10,057",Auditor of State,,D,John Patrick Carney,"2,365"
Marion,Central,Columbus,"39,399","10,057",Secretary of State,,D,Nina Turner,"2,369"
Marion,Central,Columbus,"39,399","10,057",Treasurer of State,,D,Connie Pillich,"2,317"
Marion,Central,Columbus,"39,399","10,057",U.S. House of Representatives,04,D,Janet Garrett (WI)*,107
Marion,Central,Columbus,"39,399","10,057",U.S. House of Representatives,12,D,David Arthur Tibbs,397
Marion,Central,Columbus,"39,399","10,057",State House of Representatives,86,D,John Allen Babik,"1,803"
Marion,Central,Columbus,"39,399","10,057",State House of Representatives,87,D,Jeffrey A. Lehart,363
