County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Cuyahoga,Northeast,Cleveland,"883,492","186,239",Governor,,D,Larry Ealy,"12,316"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",Governor,,D,Ed FitzGerald,"91,480"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",Attorney General,,D,David Pepper,"76,596"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",Auditor of State,,D,John Patrick Carney,"76,416"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",Secretary of State,,D,Nina Turner,"85,968"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",Treasurer of State,,D,Connie Pillich,"72,107"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",U.S. House of Representatives,09,D,Marcy Kaptur,"16,097"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",U.S. House of Representatives,11,D,Marcia L. Fudge,"50,768"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",U.S. House of Representatives,14,D,Michael Wager,"4,742"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",U.S. House of Representatives,16,D,Pete Crossland,"7,608"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",U.S. House of Representatives,16,D,James Donenwirth,"5,688"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State Senate,21,D,Willie Lewis Britt,"1,350"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State Senate,21,D,Gerald Henley,"2,762"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State Senate,21,D,Sandra Williams,"22,113"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State Senate,23,D,Michael J. Skindell,"17,573"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State Senate,25,D,Thaddeus J. Jackson,"6,779"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State Senate,25,D,Ed Jerse,"4,269"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State Senate,25,D,Kenny Yuko,"11,947"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,06,D,Anthony Fossaceca,"6,033"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,07,D,Matt Patten,"6,348"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,08,D,Sylvia James,"3,533"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,08,D,Kent Smith,"6,348"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,09,D,Janine Boyd,"8,561"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,09,D,Sean P. Malone,"4,501"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,10,D,Eugene R. Miller,"2,701"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,10,D,Bill Patmon,"4,632"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,11,D,Harry F. Banks,"1,412"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,11,D,Michael Dudley Sr.,477
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,11,D,Michael J. Houser,895
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,11,D,Stephanie Howse,"3,767"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,11,D,Tony Perry,238
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,11,D,Gigi Traore,488
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,12,D,John E. Barnes Jr.,"6,593"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,12,D,Jill Miller Zimon,"5,628"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,13,D,Nickie J. Antonio,"5,273"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,14,D,Steve Holecko,"3,683"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,14,D,Mike Piepsny,"1,999"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,14,D,Martin J. Sweeney,"4,085"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,15,D,Nicholas J. Celebrezze,"5,827"
Cuyahoga,Northeast,Cleveland,"883,492","186,239",State House of Representatives,16,D,Todd LeVeck,"5,955"
