County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Highland,AAQ,PRECINCT BRUSHCREEK N,Southwest,Cincinnati,826,250,Governor/Lieutenant Governor,,R,"Kasich, John",165
Highland,AAQ,PRECINCT BRUSHCREEK N,Southwest,Cincinnati,826,250,Attorney General,,R,"DeWine, Mike",169
Highland,AAQ,PRECINCT BRUSHCREEK N,Southwest,Cincinnati,826,250,Auditor of State,,R,"Yost, Dave",147
Highland,AAQ,PRECINCT BRUSHCREEK N,Southwest,Cincinnati,826,250,Secretary of State,,R,"Husted, Jon",143
Highland,AAQ,PRECINCT BRUSHCREEK N,Southwest,Cincinnati,826,250,Treasurer of State,,R,"Mandel, Josh",156
Highland,AAQ,PRECINCT BRUSHCREEK N,Southwest,Cincinnati,826,250,U.S. House of Representatives,02,R,"Wenstrup, Brad",168
Highland,AAQ,PRECINCT BRUSHCREEK N,Southwest,Cincinnati,826,250,State Senate,17,R,"Peterson, Bob",155
Highland,AAQ,PRECINCT BRUSHCREEK N,Southwest,Cincinnati,826,250,State House of Representatives,91,R,"Cole, Barb",68
Highland,AAQ,PRECINCT BRUSHCREEK N,Southwest,Cincinnati,826,250,State House of Representatives,91,R,"Rosenberger, Cliff",123
Highland,AAS,PRECINCT CLAY,Southwest,Cincinnati,978,243,Governor/Lieutenant Governor,,R,"Kasich, John",173
Highland,AAS,PRECINCT CLAY,Southwest,Cincinnati,978,243,Attorney General,,R,"DeWine, Mike",176
Highland,AAS,PRECINCT CLAY,Southwest,Cincinnati,978,243,Auditor of State,,R,"Yost, Dave",149
Highland,AAS,PRECINCT CLAY,Southwest,Cincinnati,978,243,Secretary of State,,R,"Husted, Jon",149
Highland,AAS,PRECINCT CLAY,Southwest,Cincinnati,978,243,Treasurer of State,,R,"Mandel, Josh",159
Highland,AAS,PRECINCT CLAY,Southwest,Cincinnati,978,243,U.S. House of Representatives,02,R,"Wenstrup, Brad",166
Highland,AAS,PRECINCT CLAY,Southwest,Cincinnati,978,243,State Senate,17,R,"Peterson, Bob",135
Highland,AAS,PRECINCT CLAY,Southwest,Cincinnati,978,243,State House of Representatives,91,R,"Cole, Barb",69
Highland,AAS,PRECINCT CLAY,Southwest,Cincinnati,978,243,State House of Representatives,91,R,"Rosenberger, Cliff",127
Highland,AAT,PRECINCT CONCORD,Southwest,Cincinnati,839,310,Governor/Lieutenant Governor,,R,"Kasich, John",207
Highland,AAT,PRECINCT CONCORD,Southwest,Cincinnati,839,310,Attorney General,,R,"DeWine, Mike",201
Highland,AAT,PRECINCT CONCORD,Southwest,Cincinnati,839,310,Auditor of State,,R,"Yost, Dave",181
Highland,AAT,PRECINCT CONCORD,Southwest,Cincinnati,839,310,Secretary of State,,R,"Husted, Jon",188
Highland,AAT,PRECINCT CONCORD,Southwest,Cincinnati,839,310,Treasurer of State,,R,"Mandel, Josh",191
Highland,AAT,PRECINCT CONCORD,Southwest,Cincinnati,839,310,U.S. House of Representatives,02,R,"Wenstrup, Brad",205
Highland,AAT,PRECINCT CONCORD,Southwest,Cincinnati,839,310,State Senate,17,R,"Peterson, Bob",182
Highland,AAT,PRECINCT CONCORD,Southwest,Cincinnati,839,310,State House of Representatives,91,R,"Cole, Barb",120
Highland,AAT,PRECINCT CONCORD,Southwest,Cincinnati,839,310,State House of Representatives,91,R,"Rosenberger, Cliff",144
Highland,AAU,PRECINCT DODSON,Southwest,Cincinnati,704,222,Governor/Lieutenant Governor,,R,"Kasich, John",150
Highland,AAU,PRECINCT DODSON,Southwest,Cincinnati,704,222,Attorney General,,R,"DeWine, Mike",160
Highland,AAU,PRECINCT DODSON,Southwest,Cincinnati,704,222,Auditor of State,,R,"Yost, Dave",133
Highland,AAU,PRECINCT DODSON,Southwest,Cincinnati,704,222,Secretary of State,,R,"Husted, Jon",135
Highland,AAU,PRECINCT DODSON,Southwest,Cincinnati,704,222,Treasurer of State,,R,"Mandel, Josh",145
Highland,AAU,PRECINCT DODSON,Southwest,Cincinnati,704,222,U.S. House of Representatives,02,R,"Wenstrup, Brad",151
Highland,AAU,PRECINCT DODSON,Southwest,Cincinnati,704,222,State Senate,17,R,"Peterson, Bob",133
Highland,AAU,PRECINCT DODSON,Southwest,Cincinnati,704,222,State House of Representatives,91,R,"Cole, Barb",64
Highland,AAU,PRECINCT DODSON,Southwest,Cincinnati,704,222,State House of Representatives,91,R,"Rosenberger, Cliff",112
Highland,AAX,PRECINCT FAIRFIELD E,Southwest,Cincinnati,890,247,Governor/Lieutenant Governor,,R,"Kasich, John",172
Highland,AAX,PRECINCT FAIRFIELD E,Southwest,Cincinnati,890,247,Attorney General,,R,"DeWine, Mike",173
Highland,AAX,PRECINCT FAIRFIELD E,Southwest,Cincinnati,890,247,Auditor of State,,R,"Yost, Dave",157
Highland,AAX,PRECINCT FAIRFIELD E,Southwest,Cincinnati,890,247,Secretary of State,,R,"Husted, Jon",156
Highland,AAX,PRECINCT FAIRFIELD E,Southwest,Cincinnati,890,247,Treasurer of State,,R,"Mandel, Josh",155
Highland,AAX,PRECINCT FAIRFIELD E,Southwest,Cincinnati,890,247,U.S. House of Representatives,02,R,"Wenstrup, Brad",154
Highland,AAX,PRECINCT FAIRFIELD E,Southwest,Cincinnati,890,247,State Senate,17,R,"Peterson, Bob",142
Highland,AAX,PRECINCT FAIRFIELD E,Southwest,Cincinnati,890,247,State House of Representatives,91,R,"Cole, Barb",71
Highland,AAX,PRECINCT FAIRFIELD E,Southwest,Cincinnati,890,247,State House of Representatives,91,R,"Rosenberger, Cliff",129
Highland,AAY,PRECINCT FAIRFIELD W,Southwest,Cincinnati,499,136,Governor/Lieutenant Governor,,R,"Kasich, John",98
Highland,AAY,PRECINCT FAIRFIELD W,Southwest,Cincinnati,499,136,Attorney General,,R,"DeWine, Mike",99
Highland,AAY,PRECINCT FAIRFIELD W,Southwest,Cincinnati,499,136,Auditor of State,,R,"Yost, Dave",86
Highland,AAY,PRECINCT FAIRFIELD W,Southwest,Cincinnati,499,136,Secretary of State,,R,"Husted, Jon",86
Highland,AAY,PRECINCT FAIRFIELD W,Southwest,Cincinnati,499,136,Treasurer of State,,R,"Mandel, Josh",92
Highland,AAY,PRECINCT FAIRFIELD W,Southwest,Cincinnati,499,136,U.S. House of Representatives,02,R,"Wenstrup, Brad",89
Highland,AAY,PRECINCT FAIRFIELD W,Southwest,Cincinnati,499,136,State Senate,17,R,"Peterson, Bob",89
Highland,AAY,PRECINCT FAIRFIELD W,Southwest,Cincinnati,499,136,State House of Representatives,91,R,"Cole, Barb",51
Highland,AAY,PRECINCT FAIRFIELD W,Southwest,Cincinnati,499,136,State House of Representatives,91,R,"Rosenberger, Cliff",58
Highland,AAB,PRECINCT GREENFIELD 1 NE,Southwest,Cincinnati,1162,202,Governor/Lieutenant Governor,,R,"Kasich, John",136
Highland,AAB,PRECINCT GREENFIELD 1 NE,Southwest,Cincinnati,1162,202,Attorney General,,R,"DeWine, Mike",143
Highland,AAB,PRECINCT GREENFIELD 1 NE,Southwest,Cincinnati,1162,202,Auditor of State,,R,"Yost, Dave",129
Highland,AAB,PRECINCT GREENFIELD 1 NE,Southwest,Cincinnati,1162,202,Secretary of State,,R,"Husted, Jon",124
Highland,AAB,PRECINCT GREENFIELD 1 NE,Southwest,Cincinnati,1162,202,Treasurer of State,,R,"Mandel, Josh",132
Highland,AAB,PRECINCT GREENFIELD 1 NE,Southwest,Cincinnati,1162,202,U.S. House of Representatives,02,R,"Wenstrup, Brad",129
Highland,AAB,PRECINCT GREENFIELD 1 NE,Southwest,Cincinnati,1162,202,State Senate,17,R,"Peterson, Bob",121
Highland,AAB,PRECINCT GREENFIELD 1 NE,Southwest,Cincinnati,1162,202,State House of Representatives,91,R,"Cole, Barb",66
Highland,AAB,PRECINCT GREENFIELD 1 NE,Southwest,Cincinnati,1162,202,State House of Representatives,91,R,"Rosenberger, Cliff",81
Highland,AAF,PRECINCT GREENFIELD 3 SW,Southwest,Cincinnati,1130,181,Governor/Lieutenant Governor,,R,"Kasich, John",98
Highland,AAF,PRECINCT GREENFIELD 3 SW,Southwest,Cincinnati,1130,181,Attorney General,,R,"DeWine, Mike",106
Highland,AAF,PRECINCT GREENFIELD 3 SW,Southwest,Cincinnati,1130,181,Auditor of State,,R,"Yost, Dave",90
Highland,AAF,PRECINCT GREENFIELD 3 SW,Southwest,Cincinnati,1130,181,Secretary of State,,R,"Husted, Jon",89
Highland,AAF,PRECINCT GREENFIELD 3 SW,Southwest,Cincinnati,1130,181,Treasurer of State,,R,"Mandel, Josh",90
Highland,AAF,PRECINCT GREENFIELD 3 SW,Southwest,Cincinnati,1130,181,U.S. House of Representatives,02,R,"Wenstrup, Brad",100
Highland,AAF,PRECINCT GREENFIELD 3 SW,Southwest,Cincinnati,1130,181,State Senate,17,R,"Peterson, Bob",87
Highland,AAF,PRECINCT GREENFIELD 3 SW,Southwest,Cincinnati,1130,181,State House of Representatives,91,R,"Cole, Barb",47
Highland,AAF,PRECINCT GREENFIELD 3 SW,Southwest,Cincinnati,1130,181,State House of Representatives,91,R,"Rosenberger, Cliff",71
Highland,ABB,PRECINCT HAMER,Southwest,Cincinnati,470,204,Governor/Lieutenant Governor,,R,"Kasich, John",138
Highland,ABB,PRECINCT HAMER,Southwest,Cincinnati,470,204,Attorney General,,R,"DeWine, Mike",148
Highland,ABB,PRECINCT HAMER,Southwest,Cincinnati,470,204,Auditor of State,,R,"Yost, Dave",120
Highland,ABB,PRECINCT HAMER,Southwest,Cincinnati,470,204,Secretary of State,,R,"Husted, Jon",124
Highland,ABB,PRECINCT HAMER,Southwest,Cincinnati,470,204,Treasurer of State,,R,"Mandel, Josh",126
Highland,ABB,PRECINCT HAMER,Southwest,Cincinnati,470,204,U.S. House of Representatives,02,R,"Wenstrup, Brad",136
Highland,ABB,PRECINCT HAMER,Southwest,Cincinnati,470,204,State Senate,17,R,"Peterson, Bob",125
Highland,ABB,PRECINCT HAMER,Southwest,Cincinnati,470,204,State House of Representatives,91,R,"Cole, Barb",63
Highland,ABB,PRECINCT HAMER,Southwest,Cincinnati,470,204,State House of Representatives,91,R,"Rosenberger, Cliff",96
Highland,AAI,PRECINCT HILLSBORO 1 NE,Southwest,Cincinnati,822,264,Governor/Lieutenant Governor,,R,"Kasich, John",172
Highland,AAI,PRECINCT HILLSBORO 1 NE,Southwest,Cincinnati,822,264,Attorney General,,R,"DeWine, Mike",168
Highland,AAI,PRECINCT HILLSBORO 1 NE,Southwest,Cincinnati,822,264,Auditor of State,,R,"Yost, Dave",150
Highland,AAI,PRECINCT HILLSBORO 1 NE,Southwest,Cincinnati,822,264,Secretary of State,,R,"Husted, Jon",153
Highland,AAI,PRECINCT HILLSBORO 1 NE,Southwest,Cincinnati,822,264,Treasurer of State,,R,"Mandel, Josh",154
Highland,AAI,PRECINCT HILLSBORO 1 NE,Southwest,Cincinnati,822,264,U.S. House of Representatives,02,R,"Wenstrup, Brad",177
Highland,AAI,PRECINCT HILLSBORO 1 NE,Southwest,Cincinnati,822,264,State Senate,17,R,"Peterson, Bob",155
Highland,AAI,PRECINCT HILLSBORO 1 NE,Southwest,Cincinnati,822,264,State House of Representatives,91,R,"Cole, Barb",96
Highland,AAI,PRECINCT HILLSBORO 1 NE,Southwest,Cincinnati,822,264,State House of Representatives,91,R,"Rosenberger, Cliff",118
Highland,AAJ,PRECINCT HILLSBORO 2 NWA,Southwest,Cincinnati,1266,262,Governor/Lieutenant Governor,,R,"Kasich, John",175
Highland,AAJ,PRECINCT HILLSBORO 2 NWA,Southwest,Cincinnati,1266,262,Attorney General,,R,"DeWine, Mike",177
Highland,AAJ,PRECINCT HILLSBORO 2 NWA,Southwest,Cincinnati,1266,262,Auditor of State,,R,"Yost, Dave",159
Highland,AAJ,PRECINCT HILLSBORO 2 NWA,Southwest,Cincinnati,1266,262,Secretary of State,,R,"Husted, Jon",159
Highland,AAJ,PRECINCT HILLSBORO 2 NWA,Southwest,Cincinnati,1266,262,Treasurer of State,,R,"Mandel, Josh",174
Highland,AAJ,PRECINCT HILLSBORO 2 NWA,Southwest,Cincinnati,1266,262,U.S. House of Representatives,02,R,"Wenstrup, Brad",168
Highland,AAJ,PRECINCT HILLSBORO 2 NWA,Southwest,Cincinnati,1266,262,State Senate,17,R,"Peterson, Bob",155
Highland,AAJ,PRECINCT HILLSBORO 2 NWA,Southwest,Cincinnati,1266,262,State House of Representatives,91,R,"Cole, Barb",87
Highland,AAJ,PRECINCT HILLSBORO 2 NWA,Southwest,Cincinnati,1266,262,State House of Representatives,91,R,"Rosenberger, Cliff",113
Highland,AAL,PRECINCT HILLSBORO 3 SE,Southwest,Cincinnati,826,196,Governor/Lieutenant Governor,,R,"Kasich, John",130
Highland,AAL,PRECINCT HILLSBORO 3 SE,Southwest,Cincinnati,826,196,Attorney General,,R,"DeWine, Mike",137
Highland,AAL,PRECINCT HILLSBORO 3 SE,Southwest,Cincinnati,826,196,Auditor of State,,R,"Yost, Dave",109
Highland,AAL,PRECINCT HILLSBORO 3 SE,Southwest,Cincinnati,826,196,Secretary of State,,R,"Husted, Jon",107
Highland,AAL,PRECINCT HILLSBORO 3 SE,Southwest,Cincinnati,826,196,Treasurer of State,,R,"Mandel, Josh",107
Highland,AAL,PRECINCT HILLSBORO 3 SE,Southwest,Cincinnati,826,196,U.S. House of Representatives,02,R,"Wenstrup, Brad",120
Highland,AAL,PRECINCT HILLSBORO 3 SE,Southwest,Cincinnati,826,196,State Senate,17,R,"Peterson, Bob",106
Highland,AAL,PRECINCT HILLSBORO 3 SE,Southwest,Cincinnati,826,196,State House of Representatives,91,R,"Cole, Barb",58
Highland,AAL,PRECINCT HILLSBORO 3 SE,Southwest,Cincinnati,826,196,State House of Representatives,91,R,"Rosenberger, Cliff",92
Highland,AAN,PRECINCT HILLSBORO 4 SWA,Southwest,Cincinnati,619,195,Governor/Lieutenant Governor,,R,"Kasich, John",129
Highland,AAN,PRECINCT HILLSBORO 4 SWA,Southwest,Cincinnati,619,195,Attorney General,,R,"DeWine, Mike",134
Highland,AAN,PRECINCT HILLSBORO 4 SWA,Southwest,Cincinnati,619,195,Auditor of State,,R,"Yost, Dave",117
Highland,AAN,PRECINCT HILLSBORO 4 SWA,Southwest,Cincinnati,619,195,Secretary of State,,R,"Husted, Jon",119
Highland,AAN,PRECINCT HILLSBORO 4 SWA,Southwest,Cincinnati,619,195,Treasurer of State,,R,"Mandel, Josh",118
Highland,AAN,PRECINCT HILLSBORO 4 SWA,Southwest,Cincinnati,619,195,U.S. House of Representatives,02,R,"Wenstrup, Brad",131
Highland,AAN,PRECINCT HILLSBORO 4 SWA,Southwest,Cincinnati,619,195,State Senate,17,R,"Peterson, Bob",113
Highland,AAN,PRECINCT HILLSBORO 4 SWA,Southwest,Cincinnati,619,195,State House of Representatives,91,R,"Cole, Barb",59
Highland,AAN,PRECINCT HILLSBORO 4 SWA,Southwest,Cincinnati,619,195,State House of Representatives,91,R,"Rosenberger, Cliff",101
Highland,AAO,PRECINCT HILLSBORO 4 SWB,Southwest,Cincinnati,472,203,Governor/Lieutenant Governor,,R,"Kasich, John",128
Highland,AAO,PRECINCT HILLSBORO 4 SWB,Southwest,Cincinnati,472,203,Attorney General,,R,"DeWine, Mike",131
Highland,AAO,PRECINCT HILLSBORO 4 SWB,Southwest,Cincinnati,472,203,Auditor of State,,R,"Yost, Dave",113
Highland,AAO,PRECINCT HILLSBORO 4 SWB,Southwest,Cincinnati,472,203,Secretary of State,,R,"Husted, Jon",112
Highland,AAO,PRECINCT HILLSBORO 4 SWB,Southwest,Cincinnati,472,203,Treasurer of State,,R,"Mandel, Josh",117
Highland,AAO,PRECINCT HILLSBORO 4 SWB,Southwest,Cincinnati,472,203,U.S. House of Representatives,02,R,"Wenstrup, Brad",135
Highland,AAO,PRECINCT HILLSBORO 4 SWB,Southwest,Cincinnati,472,203,State Senate,17,R,"Peterson, Bob",106
