County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Jackson,Southeast,Charleston,"21,430","7,269",Governor,,D,Edward FitzGerald,"2,217"
Jackson,Southeast,Charleston,"21,430","7,269",Governor,,R,John Kasich,"4,579"
Jackson,Southeast,Charleston,"21,430","7,269",Governor,,G,Anita Rios,224
Jackson,Southeast,Charleston,"21,430","7,269",Attorney General,,R,Mike DeWine,"4,748"
Jackson,Southeast,Charleston,"21,430","7,269",Attorney General,,D,David Pepper,"2,282"
Jackson,Southeast,Charleston,"21,430","7,269",Auditor of State,,L,Bob Bridges,401
Jackson,Southeast,Charleston,"21,430","7,269",Auditor of State,,D,John Patrick Carney,"2,233"
Jackson,Southeast,Charleston,"21,430","7,269",Auditor of State,,R,Dave Yost,"4,264"
Jackson,Southeast,Charleston,"21,430","7,269",Secretary of State,,R,Jon Husted,"4,452"
Jackson,Southeast,Charleston,"21,430","7,269",Secretary of State,,L,Kevin Knedler,336
Jackson,Southeast,Charleston,"21,430","7,269",Secretary of State,,D,Nina Turner,"2,129"
Jackson,Southeast,Charleston,"21,430","7,269",Treasurer of State,,R,Josh Mandel,"4,601"
Jackson,Southeast,Charleston,"21,430","7,269",Treasurer of State,,D,Connie Pillich,"2,371"
Jackson,Southeast,Charleston,"21,430","7,269",U.S. House of Representatives,06,D,Jennifer Garrison,"2,314"
Jackson,Southeast,Charleston,"21,430","7,269",U.S. House of Representatives,06,R,Bill Johnson,"4,466"
Jackson,Southeast,Charleston,"21,430","7,269",U.S. House of Representatives,06,G,Dennis Lambert,215
Jackson,Southeast,Charleston,"21,430","7,269",State Senate,17,R,Bob Peterson,"5,084"
Jackson,Southeast,Charleston,"21,430","7,269",State House of Representatives,93,D,Josh Bailey,"2,150"
Jackson,Southeast,Charleston,"21,430","7,269",State House of Representatives,93,R,Ryan Smith,"4,870"
