County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Defiance,AAH,PRECINCT DEFIANCE CITY 2-C,Northwest,Toledo,755,142,Treasurer of State,,D,"Pillich, Connie",31
Defiance,AAH,PRECINCT DEFIANCE CITY 2-C,Northwest,Toledo,755,142,U.S. House of Representatives,05,D,"Fry, Robert",32
Defiance,AAI,PRECINCT DEFIANCE CITY 2-D,Northwest,Toledo,1140,364,Governor/Lieutenant Governor,,D,"Ealy, Larry",12
Defiance,AAI,PRECINCT DEFIANCE CITY 2-D,Northwest,Toledo,1140,364,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",80
Defiance,AAI,PRECINCT DEFIANCE CITY 2-D,Northwest,Toledo,1140,364,Attorney General,,D,"Pepper, David",74
Defiance,AAI,PRECINCT DEFIANCE CITY 2-D,Northwest,Toledo,1140,364,Auditor of State,,D,"Carney, John Patrick",74
Defiance,AAI,PRECINCT DEFIANCE CITY 2-D,Northwest,Toledo,1140,364,Secretary of State,,D,"Turner, Nina",73
Defiance,AAI,PRECINCT DEFIANCE CITY 2-D,Northwest,Toledo,1140,364,Treasurer of State,,D,"Pillich, Connie",73
Defiance,AAI,PRECINCT DEFIANCE CITY 2-D,Northwest,Toledo,1140,364,U.S. House of Representatives,05,D,"Fry, Robert",74
Defiance,AAL,PRECINCT DEFIANCE CITY 3-B,Northwest,Toledo,921,246,Governor/Lieutenant Governor,,D,"Ealy, Larry",19
Defiance,AAL,PRECINCT DEFIANCE CITY 3-B,Northwest,Toledo,921,246,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",51
Defiance,AAL,PRECINCT DEFIANCE CITY 3-B,Northwest,Toledo,921,246,Attorney General,,D,"Pepper, David",63
Defiance,AAL,PRECINCT DEFIANCE CITY 3-B,Northwest,Toledo,921,246,Auditor of State,,D,"Carney, John Patrick",57
Defiance,AAL,PRECINCT DEFIANCE CITY 3-B,Northwest,Toledo,921,246,Secretary of State,,D,"Turner, Nina",60
