County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Mercer,AAK,BLACKCREEK TOWNSHIP,West,Dayton,402,65,Governor/Lieutenant Governor,,D,"Ealy, Larry",8
Mercer,AAK,BLACKCREEK TOWNSHIP,West,Dayton,402,65,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",8
Mercer,AAK,BLACKCREEK TOWNSHIP,West,Dayton,402,65,Attorney General,,D,"Pepper, David",14
Mercer,AAK,BLACKCREEK TOWNSHIP,West,Dayton,402,65,Auditor of State,,D,"Carney, John Patrick",14
Mercer,AAK,BLACKCREEK TOWNSHIP,West,Dayton,402,65,Secretary of State,,D,"Turner, Nina",14
Mercer,AAK,BLACKCREEK TOWNSHIP,West,Dayton,402,65,Treasurer of State,,D,"Pillich, Connie",15
Mercer,AAK,BLACKCREEK TOWNSHIP,West,Dayton,402,65,U.S. House of Representatives,05,D,"Fry, Robert",14
Mercer,AAK,BLACKCREEK TOWNSHIP,West,Dayton,402,65,U.S. House of Representatives,08,D,"Guyette, Matthew J.",0
Mercer,AAK,BLACKCREEK TOWNSHIP,West,Dayton,402,65,U.S. House of Representatives,08,D,"Poetter, Tom",0
Mercer,AAL,BUTLER EAST,West,Dayton,664,174,Governor/Lieutenant Governor,,D,"Ealy, Larry",5
Mercer,AAL,BUTLER EAST,West,Dayton,664,174,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",8
Mercer,AAL,BUTLER EAST,West,Dayton,664,174,Attorney General,,D,"Pepper, David",11
Mercer,AAL,BUTLER EAST,West,Dayton,664,174,Auditor of State,,D,"Carney, John Patrick",12
Mercer,AAL,BUTLER EAST,West,Dayton,664,174,Secretary of State,,D,"Turner, Nina",11
Mercer,AAL,BUTLER EAST,West,Dayton,664,174,Treasurer of State,,D,"Pillich, Connie",12
Mercer,AAL,BUTLER EAST,West,Dayton,664,174,U.S. House of Representatives,05,D,"Fry, Robert",0
Mercer,AAL,BUTLER EAST,West,Dayton,664,174,U.S. House of Representatives,08,D,"Guyette, Matthew J.",6
Mercer,AAL,BUTLER EAST,West,Dayton,664,174,U.S. House of Representatives,08,D,"Poetter, Tom",6
Mercer,AAM,BUTLER WEST,West,Dayton,774,162,Governor/Lieutenant Governor,,D,"Ealy, Larry",4
Mercer,AAM,BUTLER WEST,West,Dayton,774,162,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",22
Mercer,AAM,BUTLER WEST,West,Dayton,774,162,Attorney General,,D,"Pepper, David",25
Mercer,AAM,BUTLER WEST,West,Dayton,774,162,Auditor of State,,D,"Carney, John Patrick",25
Mercer,AAM,BUTLER WEST,West,Dayton,774,162,Secretary of State,,D,"Turner, Nina",27
Mercer,AAM,BUTLER WEST,West,Dayton,774,162,Treasurer of State,,D,"Pillich, Connie",24
Mercer,AAM,BUTLER WEST,West,Dayton,774,162,U.S. House of Representatives,05,D,"Fry, Robert",6
Mercer,AAM,BUTLER WEST,West,Dayton,774,162,U.S. House of Representatives,08,D,"Guyette, Matthew J.",6
Mercer,AAM,BUTLER WEST,West,Dayton,774,162,U.S. House of Representatives,08,D,"Poetter, Tom",13
Mercer,AAA,CELINA A,West,Dayton,1062,208,Governor/Lieutenant Governor,,D,"Ealy, Larry",7
Mercer,AAA,CELINA A,West,Dayton,1062,208,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",34
Mercer,AAA,CELINA A,West,Dayton,1062,208,Attorney General,,D,"Pepper, David",32
Mercer,AAA,CELINA A,West,Dayton,1062,208,Auditor of State,,D,"Carney, John Patrick",32
Mercer,AAA,CELINA A,West,Dayton,1062,208,Secretary of State,,D,"Turner, Nina",33
Mercer,AAA,CELINA A,West,Dayton,1062,208,Treasurer of State,,D,"Pillich, Connie",34
Mercer,AAA,CELINA A,West,Dayton,1062,208,U.S. House of Representatives,05,D,"Fry, Robert",32
Mercer,AAA,CELINA A,West,Dayton,1062,208,U.S. House of Representatives,08,D,"Guyette, Matthew J.",0
Mercer,AAA,CELINA A,West,Dayton,1062,208,U.S. House of Representatives,08,D,"Poetter, Tom",0
Mercer,AAD,CELINA B,West,Dayton,945,168,Governor/Lieutenant Governor,,D,"Ealy, Larry",11
Mercer,AAD,CELINA B,West,Dayton,945,168,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",25
Mercer,AAD,CELINA B,West,Dayton,945,168,Attorney General,,D,"Pepper, David",38
Mercer,AAD,CELINA B,West,Dayton,945,168,Auditor of State,,D,"Carney, John Patrick",36
Mercer,AAD,CELINA B,West,Dayton,945,168,Secretary of State,,D,"Turner, Nina",37
Mercer,AAD,CELINA B,West,Dayton,945,168,Treasurer of State,,D,"Pillich, Connie",37
Mercer,AAD,CELINA B,West,Dayton,945,168,U.S. House of Representatives,05,D,"Fry, Robert",35
Mercer,AAD,CELINA B,West,Dayton,945,168,U.S. House of Representatives,08,D,"Guyette, Matthew J.",0
Mercer,AAD,CELINA B,West,Dayton,945,168,U.S. House of Representatives,08,D,"Poetter, Tom",0
Mercer,AAE,CELINA C,West,Dayton,849,179,Governor/Lieutenant Governor,,D,"Ealy, Larry",7
Mercer,AAE,CELINA C,West,Dayton,849,179,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",21
Mercer,AAE,CELINA C,West,Dayton,849,179,Attorney General,,D,"Pepper, David",27
Mercer,AAE,CELINA C,West,Dayton,849,179,Auditor of State,,D,"Carney, John Patrick",27
Mercer,AAE,CELINA C,West,Dayton,849,179,Secretary of State,,D,"Turner, Nina",28
Mercer,AAE,CELINA C,West,Dayton,849,179,Treasurer of State,,D,"Pillich, Connie",27
Mercer,AAE,CELINA C,West,Dayton,849,179,U.S. House of Representatives,05,D,"Fry, Robert",26
Mercer,AAE,CELINA C,West,Dayton,849,179,U.S. House of Representatives,08,D,"Guyette, Matthew J.",0
Mercer,AAE,CELINA C,West,Dayton,849,179,U.S. House of Representatives,08,D,"Poetter, Tom",0
Mercer,AAF,CELINA D,West,Dayton,1044,113,Governor/Lieutenant Governor,,D,"Ealy, Larry",5
Mercer,AAF,CELINA D,West,Dayton,1044,113,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",19
Mercer,AAF,CELINA D,West,Dayton,1044,113,Attorney General,,D,"Pepper, David",22
Mercer,AAF,CELINA D,West,Dayton,1044,113,Auditor of State,,D,"Carney, John Patrick",22
Mercer,AAF,CELINA D,West,Dayton,1044,113,Secretary of State,,D,"Turner, Nina",23
Mercer,AAF,CELINA D,West,Dayton,1044,113,Treasurer of State,,D,"Pillich, Connie",21
Mercer,AAF,CELINA D,West,Dayton,1044,113,U.S. House of Representatives,05,D,"Fry, Robert",22
Mercer,AAF,CELINA D,West,Dayton,1044,113,U.S. House of Representatives,08,D,"Guyette, Matthew J.",0
Mercer,AAF,CELINA D,West,Dayton,1044,113,U.S. House of Representatives,08,D,"Poetter, Tom",0
Mercer,AAG,CELINA E,West,Dayton,830,87,Governor/Lieutenant Governor,,D,"Ealy, Larry",10
Mercer,AAG,CELINA E,West,Dayton,830,87,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",18
Mercer,AAG,CELINA E,West,Dayton,830,87,Attorney General,,D,"Pepper, David",25
Mercer,AAG,CELINA E,West,Dayton,830,87,Auditor of State,,D,"Carney, John Patrick",25
Mercer,AAG,CELINA E,West,Dayton,830,87,Secretary of State,,D,"Turner, Nina",24
Mercer,AAG,CELINA E,West,Dayton,830,87,Treasurer of State,,D,"Pillich, Connie",24
Mercer,AAG,CELINA E,West,Dayton,830,87,U.S. House of Representatives,05,D,"Fry, Robert",24
Mercer,AAG,CELINA E,West,Dayton,830,87,U.S. House of Representatives,08,D,"Guyette, Matthew J.",0
Mercer,AAG,CELINA E,West,Dayton,830,87,U.S. House of Representatives,08,D,"Poetter, Tom",0
Mercer,AAH,CELINA F,West,Dayton,913,97,Governor/Lieutenant Governor,,D,"Ealy, Larry",11
Mercer,AAH,CELINA F,West,Dayton,913,97,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",23
Mercer,AAH,CELINA F,West,Dayton,913,97,Attorney General,,D,"Pepper, David",30
Mercer,AAH,CELINA F,West,Dayton,913,97,Auditor of State,,D,"Carney, John Patrick",29
Mercer,AAH,CELINA F,West,Dayton,913,97,Secretary of State,,D,"Turner, Nina",29
Mercer,AAH,CELINA F,West,Dayton,913,97,Treasurer of State,,D,"Pillich, Connie",29
Mercer,AAH,CELINA F,West,Dayton,913,97,U.S. House of Representatives,05,D,"Fry, Robert",30
Mercer,AAH,CELINA F,West,Dayton,913,97,U.S. House of Representatives,08,D,"Guyette, Matthew J.",0
Mercer,AAH,CELINA F,West,Dayton,913,97,U.S. House of Representatives,08,D,"Poetter, Tom",0
Mercer,AAI,CELINA G,West,Dayton,978,110,Governor/Lieutenant Governor,,D,"Ealy, Larry",11
Mercer,AAI,CELINA G,West,Dayton,978,110,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",13
Mercer,AAI,CELINA G,West,Dayton,978,110,Attorney General,,D,"Pepper, David",23
Mercer,AAI,CELINA G,West,Dayton,978,110,Auditor of State,,D,"Carney, John Patrick",24
Mercer,AAI,CELINA G,West,Dayton,978,110,Secretary of State,,D,"Turner, Nina",24
Mercer,AAI,CELINA G,West,Dayton,978,110,Treasurer of State,,D,"Pillich, Connie",23
Mercer,AAI,CELINA G,West,Dayton,978,110,U.S. House of Representatives,05,D,"Fry, Robert",22
Mercer,AAI,CELINA G,West,Dayton,978,110,U.S. House of Representatives,08,D,"Guyette, Matthew J.",0
Mercer,AAI,CELINA G,West,Dayton,978,110,U.S. House of Representatives,08,D,"Poetter, Tom",0
Mercer,AAJ,CELINA H,West,Dayton,651,143,Governor/Lieutenant Governor,,D,"Ealy, Larry",7
Mercer,AAJ,CELINA H,West,Dayton,651,143,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",28
Mercer,AAJ,CELINA H,West,Dayton,651,143,Attorney General,,D,"Pepper, David",30
Mercer,AAJ,CELINA H,West,Dayton,651,143,Auditor of State,,D,"Carney, John Patrick",30
Mercer,AAJ,CELINA H,West,Dayton,651,143,Secretary of State,,D,"Turner, Nina",29
Mercer,AAJ,CELINA H,West,Dayton,651,143,Treasurer of State,,D,"Pillich, Connie",29
Mercer,AAJ,CELINA H,West,Dayton,651,143,U.S. House of Representatives,05,D,"Fry, Robert",31
Mercer,AAJ,CELINA H,West,Dayton,651,143,U.S. House of Representatives,08,D,"Guyette, Matthew J.",0
Mercer,AAJ,CELINA H,West,Dayton,651,143,U.S. House of Representatives,08,D,"Poetter, Tom",0
Mercer,AAS,CENTER TOWNSHIP,West,Dayton,782,113,Governor/Lieutenant Governor,,D,"Ealy, Larry",6
Mercer,AAS,CENTER TOWNSHIP,West,Dayton,782,113,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",16
Mercer,AAS,CENTER TOWNSHIP,West,Dayton,782,113,Attorney General,,D,"Pepper, David",19
Mercer,AAS,CENTER TOWNSHIP,West,Dayton,782,113,Auditor of State,,D,"Carney, John Patrick",18
Mercer,AAS,CENTER TOWNSHIP,West,Dayton,782,113,Secretary of State,,D,"Turner, Nina",21
Mercer,AAS,CENTER TOWNSHIP,West,Dayton,782,113,Treasurer of State,,D,"Pillich, Connie",20
Mercer,AAS,CENTER TOWNSHIP,West,Dayton,782,113,U.S. House of Representatives,05,D,"Fry, Robert",17
Mercer,AAS,CENTER TOWNSHIP,West,Dayton,782,113,U.S. House of Representatives,08,D,"Guyette, Matthew J.",0
Mercer,AAS,CENTER TOWNSHIP,West,Dayton,782,113,U.S. House of Representatives,08,D,"Poetter, Tom",0
Mercer,AAN,COLDWATER CENTRAL,West,Dayton,807,184,Governor/Lieutenant Governor,,D,"Ealy, Larry",11
Mercer,AAN,COLDWATER CENTRAL,West,Dayton,807,184,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",16
Mercer,AAN,COLDWATER CENTRAL,West,Dayton,807,184,Attorney General,,D,"Pepper, David",27
Mercer,AAN,COLDWATER CENTRAL,West,Dayton,807,184,Auditor of State,,D,"Carney, John Patrick",27
Mercer,AAN,COLDWATER CENTRAL,West,Dayton,807,184,Secretary of State,,D,"Turner, Nina",29
Mercer,AAN,COLDWATER CENTRAL,West,Dayton,807,184,Treasurer of State,,D,"Pillich, Connie",28
Mercer,AAN,COLDWATER CENTRAL,West,Dayton,807,184,U.S. House of Representatives,05,D,"Fry, Robert",0
Mercer,AAN,COLDWATER CENTRAL,West,Dayton,807,184,U.S. House of Representatives,08,D,"Guyette, Matthew J.",11
Mercer,AAN,COLDWATER CENTRAL,West,Dayton,807,184,U.S. House of Representatives,08,D,"Poetter, Tom",17
Mercer,AAO,COLDWATER NORTHEAST,West,Dayton,660,143,Governor/Lieutenant Governor,,D,"Ealy, Larry",9
Mercer,AAO,COLDWATER NORTHEAST,West,Dayton,660,143,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",22
Mercer,AAO,COLDWATER NORTHEAST,West,Dayton,660,143,Attorney General,,D,"Pepper, David",32
Mercer,AAO,COLDWATER NORTHEAST,West,Dayton,660,143,Auditor of State,,D,"Carney, John Patrick",32
Mercer,AAO,COLDWATER NORTHEAST,West,Dayton,660,143,Secretary of State,,D,"Turner, Nina",28
Mercer,AAO,COLDWATER NORTHEAST,West,Dayton,660,143,Treasurer of State,,D,"Pillich, Connie",30
Mercer,AAO,COLDWATER NORTHEAST,West,Dayton,660,143,U.S. House of Representatives,05,D,"Fry, Robert",0
Mercer,AAO,COLDWATER NORTHEAST,West,Dayton,660,143,U.S. House of Representatives,08,D,"Guyette, Matthew J.",12
Mercer,AAO,COLDWATER NORTHEAST,West,Dayton,660,143,U.S. House of Representatives,08,D,"Poetter, Tom",18
Mercer,AAQ,COLDWATER SOUTHEAST,West,Dayton,834,145,Governor/Lieutenant Governor,,D,"Ealy, Larry",11
Mercer,AAQ,COLDWATER SOUTHEAST,West,Dayton,834,145,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",17
Mercer,AAQ,COLDWATER SOUTHEAST,West,Dayton,834,145,Attorney General,,D,"Pepper, David",24
Mercer,AAQ,COLDWATER SOUTHEAST,West,Dayton,834,145,Auditor of State,,D,"Carney, John Patrick",25
Mercer,AAQ,COLDWATER SOUTHEAST,West,Dayton,834,145,Secretary of State,,D,"Turner, Nina",25
Mercer,AAQ,COLDWATER SOUTHEAST,West,Dayton,834,145,Treasurer of State,,D,"Pillich, Connie",24
Mercer,AAQ,COLDWATER SOUTHEAST,West,Dayton,834,145,U.S. House of Representatives,05,D,"Fry, Robert",0
Mercer,AAQ,COLDWATER SOUTHEAST,West,Dayton,834,145,U.S. House of Representatives,08,D,"Guyette, Matthew J.",11
Mercer,AAQ,COLDWATER SOUTHEAST,West,Dayton,834,145,U.S. House of Representatives,08,D,"Poetter, Tom",15
Mercer,ABT,COLDWATER WEST,West,Dayton,890,218,Governor/Lieutenant Governor,,D,"Ealy, Larry",9
Mercer,ABT,COLDWATER WEST,West,Dayton,890,218,Governor/Lieutenant Governor,,D,"FitzGerald, Edward",25
