County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Gallia,Southeast,Charleston,"18,968","7,606",Governor,,D,Edward FitzGerald,"2,088"
Gallia,Southeast,Charleston,"18,968","7,606",Governor,,R,John Kasich,"5,047"
Gallia,Southeast,Charleston,"18,968","7,606",Governor,,G,Anita Rios,210
Gallia,Southeast,Charleston,"18,968","7,606",Attorney General,,R,Mike DeWine,"5,370"
Gallia,Southeast,Charleston,"18,968","7,606",Attorney General,,D,David Pepper,"1,955"
Gallia,Southeast,Charleston,"18,968","7,606",Auditor of State,,L,Bob Bridges,380
Gallia,Southeast,Charleston,"18,968","7,606",Auditor of State,,D,John Patrick Carney,"2,122"
Gallia,Southeast,Charleston,"18,968","7,606",Auditor of State,,R,Dave Yost,"4,670"
Gallia,Southeast,Charleston,"18,968","7,606",Secretary of State,,R,Jon Husted,"4,757"
Gallia,Southeast,Charleston,"18,968","7,606",Secretary of State,,L,Kevin Knedler,325
Gallia,Southeast,Charleston,"18,968","7,606",Secretary of State,,D,Nina Turner,"2,109"
Gallia,Southeast,Charleston,"18,968","7,606",Treasurer of State,,R,Josh Mandel,"5,086"
Gallia,Southeast,Charleston,"18,968","7,606",Treasurer of State,,D,Connie Pillich,"2,150"
Gallia,Southeast,Charleston,"18,968","7,606",U.S. House of Representatives,06,D,Jennifer Garrison,"2,267"
Gallia,Southeast,Charleston,"18,968","7,606",U.S. House of Representatives,06,R,Bill Johnson,"4,916"
Gallia,Southeast,Charleston,"18,968","7,606",U.S. House of Representatives,06,G,Dennis Lambert,199
Gallia,Southeast,Charleston,"18,968","7,606",State Senate,17,R,Bob Peterson,"5,457"
Gallia,Southeast,Charleston,"18,968","7,606",State House of Representatives,93,D,Josh Bailey,"1,598"
Gallia,Southeast,Charleston,"18,968","7,606",State House of Representatives,93,R,Ryan Smith,"5,815"
