County,Precinct Code,Precinct Name,Region,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,Governor/Lieutenant Governor,,D,Edward FitzGerald,70
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,Governor/Lieutenant Governor,,R,John Kasich,233
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,Governor/Lieutenant Governor,,G,Anita Rios,12
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,Attorney General,,R,Mike DeWine,228
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,Attorney General,,D,David Pepper,90
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,Auditor of State,,L,Bob Bridges,25
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,Auditor of State,,D,John Patrick Carney,85
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,Auditor of State,,R,Dave Yost,204
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,Secretary of State,,R,Jon Husted,213
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,Secretary of State,,L,Kevin Knedler,24
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,Secretary of State,,D,Nina Turner,81
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,Treasurer of State,,R,Josh Mandel,210
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,Treasurer of State,,D,Connie Pillich,104
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,U.S. House of Representatives,07,R,Bob Gibbs,256
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,State Senate,31,D,John Carlisle,87
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,State Senate,31,R,Jay Hottinger,220
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,State House of Representatives,72,D,Janee L. Bowman,89
Coshocton,AAP,PRECINCT BEDFORD,Central,Columbus,832,329,State House of Representatives,72,R,Bill Hayes,219
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,Governor/Lieutenant Governor,,D,Edward FitzGerald,87
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,Governor/Lieutenant Governor,,R,John Kasich,287
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,Governor/Lieutenant Governor,,G,Anita Rios,8
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,Attorney General,,R,Mike DeWine,279
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,Attorney General,,D,David Pepper,113
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,Auditor of State,,L,Bob Bridges,15
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,Auditor of State,,D,John Patrick Carney,102
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,Auditor of State,,R,Dave Yost,264
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,Secretary of State,,R,Jon Husted,285
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,Secretary of State,,L,Kevin Knedler,13
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,Secretary of State,,D,Nina Turner,84
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,Treasurer of State,,R,Josh Mandel,272
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,Treasurer of State,,D,Connie Pillich,115
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,U.S. House of Representatives,07,R,Bob Gibbs,316
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,State Senate,31,D,John Carlisle,117
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,State Senate,31,R,Jay Hottinger,261
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,State House of Representatives,72,D,Janee L. Bowman,105
Coshocton,AAQ,PRECINCT BETHLEHEM,Central,Columbus,748,399,State House of Representatives,72,R,Bill Hayes,265
Coshocton,AAR,PRECINCT CLARK,Central,Columbus,820,344,Governor/Lieutenant Governor,,D,Edward FitzGerald,61
Coshocton,AAR,PRECINCT CLARK,Central,Columbus,820,344,Governor/Lieutenant Governor,,R,John Kasich,252
Coshocton,AAR,PRECINCT CLARK,Central,Columbus,820,344,Governor/Lieutenant Governor,,G,Anita Rios,13
Coshocton,AAR,PRECINCT CLARK,Central,Columbus,820,344,Attorney General,,R,Mike DeWine,247
Coshocton,AAR,PRECINCT CLARK,Central,Columbus,820,344,Attorney General,,D,David Pepper,79
Coshocton,AAR,PRECINCT CLARK,Central,Columbus,820,344,Auditor of State,,L,Bob Bridges,23
Coshocton,AAR,PRECINCT CLARK,Central,Columbus,820,344,Auditor of State,,D,John Patrick Carney,79
Coshocton,AAR,PRECINCT CLARK,Central,Columbus,820,344,Auditor of State,,R,Dave Yost,222
Coshocton,AAR,PRECINCT CLARK,Central,Columbus,820,344,Secretary of State,,R,Jon Husted,239
Coshocton,AAR,PRECINCT CLARK,Central,Columbus,820,344,Secretary of State,,L,Kevin Knedler,18
Coshocton,AAR,PRECINCT CLARK,Central,Columbus,820,344,Secretary of State,,D,Nina Turner,67
Coshocton,AAR,PRECINCT CLARK,Central,Columbus,820,344,Treasurer of State,,R,Josh Mandel,232
Coshocton,AAR,PRECINCT CLARK,Central,Columbus,820,344,Treasurer of State,,D,Connie Pillich,94
