County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Vinton,Southeast,Charleston,"8,395","1,143",Governor,,R,John Kasich,537
Vinton,Southeast,Charleston,"8,395","1,143",Attorney General,,R,Mike DeWine,546
Vinton,Southeast,Charleston,"8,395","1,143",Auditor of State,,R,Dave Yost,501
Vinton,Southeast,Charleston,"8,395","1,143",Secretary of State,,R,Jon Husted,495
Vinton,Southeast,Charleston,"8,395","1,143",Treasurer of State,,R,Josh Mandel,509
Vinton,Southeast,Charleston,"8,395","1,143",U.S. House of Representatives,15,R,Charles S. Chope,81
Vinton,Southeast,Charleston,"8,395","1,143",U.S. House of Representatives,15,R,Steve Stivers,485
Vinton,Southeast,Charleston,"8,395","1,143",State Senate,17,R,Bob Peterson,316
Vinton,Southeast,Charleston,"8,395","1,143",State House of Representatives,93,R,Ryan Smith,340
Vinton,Southeast,Charleston,"8,395","1,143",State House of Representatives,94,R,Yolan G. Dennis,75
Vinton,Southeast,Charleston,"8,395","1,143",State House of Representatives,94,R,Daniel W. Lantz,106
