County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Clark,West,Dayton,"88,219","39,329",Governor,,D,Edward FitzGerald,"11,957"
Clark,West,Dayton,"88,219","39,329",Governor,,R,John Kasich,"25,640"
Clark,West,Dayton,"88,219","39,329",Governor,,G,Anita Rios,917
Clark,West,Dayton,"88,219","39,329",Attorney General,,R,Mike DeWine,"25,991"
Clark,West,Dayton,"88,219","39,329",Attorney General,,D,David Pepper,"12,619"
Clark,West,Dayton,"88,219","39,329",Auditor of State,,L,Bob Bridges,"1,829"
Clark,West,Dayton,"88,219","39,329",Auditor of State,,D,John Patrick Carney,"13,163"
Clark,West,Dayton,"88,219","39,329",Auditor of State,,R,Dave Yost,"22,919"
Clark,West,Dayton,"88,219","39,329",Secretary of State,,R,Jon Husted,"24,927"
Clark,West,Dayton,"88,219","39,329",Secretary of State,,L,Kevin Knedler,"1,805"
Clark,West,Dayton,"88,219","39,329",Secretary of State,,D,Nina Turner,"11,643"
Clark,West,Dayton,"88,219","39,329",Treasurer of State,,R,Josh Mandel,"22,396"
Clark,West,Dayton,"88,219","39,329",Treasurer of State,,D,Connie Pillich,"16,004"
Clark,West,Dayton,"88,219","39,329",U.S. House of Representatives,08,R,John A. Boehner,"23,140"
Clark,West,Dayton,"88,219","39,329",U.S. House of Representatives,08,C,James J. Condit Jr.,"1,892"
Clark,West,Dayton,"88,219","39,329",U.S. House of Representatives,08,D,Tom Poetter,"13,360"
Clark,West,Dayton,"88,219","39,329",State House of Representatives,74,R,Robert D. Hackett,"5,183"
Clark,West,Dayton,"88,219","39,329",State House of Representatives,79,D,Darrell Jackson,"12,388"
Clark,West,Dayton,"88,219","39,329",State House of Representatives,79,R,Kyle Koehler,"19,157"
