County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Erie,Northeast,Cleveland,"52,905","9,813",Governor,,R,John Kasich,"3,299"
Erie,Northeast,Cleveland,"52,905","9,813",Attorney General,,R,Mike DeWine,"3,134"
Erie,Northeast,Cleveland,"52,905","9,813",Auditor of State,,R,Dave Yost,"2,903"
Erie,Northeast,Cleveland,"52,905","9,813",Secretary of State,,R,Jon Husted,"2,961"
Erie,Northeast,Cleveland,"52,905","9,813",Treasurer of State,,R,Josh Mandel,"2,993"
Erie,Northeast,Cleveland,"52,905","9,813",U.S. House of Representatives,04,R,Jim Jordan,513
Erie,Northeast,Cleveland,"52,905","9,813",U.S. House of Representatives,09,R,Robert C. Horrocks Jr.,533
Erie,Northeast,Cleveland,"52,905","9,813",U.S. House of Representatives,09,R,Richard May,"1,727"
Erie,Northeast,Cleveland,"52,905","9,813",State House of Representatives,89,R,Steven W. Kraus,"2,713"
