County,Region,Media Market,Total Registered Voters,Total Votes Cast,office,district,party,candidate,votes
Defiance,Northwest,Toledo,"25,303","6,661",Governor,,R,John Kasich,"3,465"
Defiance,Northwest,Toledo,"25,303","6,661",Attorney General,,R,Mike DeWine,"3,362"
Defiance,Northwest,Toledo,"25,303","6,661",Auditor of State,,R,Dave Yost,"3,073"
Defiance,Northwest,Toledo,"25,303","6,661",Secretary of State,,R,Jon Husted,"3,192"
Defiance,Northwest,Toledo,"25,303","6,661",Treasurer of State,,R,Josh Mandel,"3,205"
Defiance,Northwest,Toledo,"25,303","6,661",U.S. House of Representatives,05,R,Bob Latta,"3,551"
Defiance,Northwest,Toledo,"25,303","6,661",State Senate,01,R,Cliff Hite,"2,112"
Defiance,Northwest,Toledo,"25,303","6,661",State Senate,01,R,Milo Schaffner,711
Defiance,Northwest,Toledo,"25,303","6,661",State Senate,01,R,Corey Shankleton,612
Defiance,Northwest,Toledo,"25,303","6,661",State House of Representatives,82,R,Tony Burkley,"2,513"
Defiance,Northwest,Toledo,"25,303","6,661",State House of Representatives,82,R,Brett W. Eley,610
