County Name,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Montgomery,West,Dayton,"358,809","150,118",President (at-large),,D,Hillary Clinton,"34,149"
Montgomery,West,Dayton,"358,809","150,118",President (at-large),,D,"Roque ""Rocky"" De La Fuente",259
Montgomery,West,Dayton,"358,809","150,118",President (at-large),,D,Bernie Sanders,"23,542"
Montgomery,West,Dayton,"358,809","150,118",U.S. Senator,,D,Kelli Prather,"7,872"
Montgomery,West,Dayton,"358,809","150,118",U.S. Senator,,D,P.G. Sittenfeld,"8,091"
Montgomery,West,Dayton,"358,809","150,118",U.S. Senator,,D,Ted Strickland,"36,935"
Montgomery,West,Dayton,"358,809","150,118",Representative to Congress,10,D,Robert Klepinger,"41,294"
Montgomery,West,Dayton,"358,809","150,118",State Senator,06,D,Lu Dale,"19,175"
Montgomery,West,Dayton,"358,809","150,118",State Representative,39,D,Fred Strahorn,"11,224"
Montgomery,West,Dayton,"358,809","150,118",State Representative,40,D,David L. Richards,"6,428"
Montgomery,West,Dayton,"358,809","150,118",State Representative,41,D,James M. Calhoun,"7,622"
Montgomery,West,Dayton,"358,809","150,118",State Representative,42,D,Pat Merris,"5,532"
Montgomery,West,Dayton,"358,809","150,118",State Representative,43,D,David B. Sparks,"6,212"
