County Name,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Fulton,Northwest,Toledo,"28,191","12,998",President (at-large),,R,Jeb Bush,34
Fulton,Northwest,Toledo,"28,191","12,998",President (at-large),,R,Ben Carson,80
Fulton,Northwest,Toledo,"28,191","12,998",President (at-large),,R,Chris Christie,12
Fulton,Northwest,Toledo,"28,191","12,998",President (at-large),,R,Ted Cruz,"1,703"
Fulton,Northwest,Toledo,"28,191","12,998",President (at-large),,R,Carly Fiorina,7
Fulton,Northwest,Toledo,"28,191","12,998",President (at-large),,R,Mike Huckabee,28
Fulton,Northwest,Toledo,"28,191","12,998",President (at-large),,R,John R. Kasich,"4,618"
Fulton,Northwest,Toledo,"28,191","12,998",President (at-large),,R,Marco Rubio,207
Fulton,Northwest,Toledo,"28,191","12,998",President (at-large),,R,Rick Santorum,9
Fulton,Northwest,Toledo,"28,191","12,998",President (at-large),,R,Donald J. Trump,"2,986"
Fulton,Northwest,Toledo,"28,191","12,998",President (district),05,R,Jeb Bush,52
Fulton,Northwest,Toledo,"28,191","12,998",President (district),05,R,Ben Carson,170
Fulton,Northwest,Toledo,"28,191","12,998",President (district),05,R,Chris Christie,26
Fulton,Northwest,Toledo,"28,191","12,998",President (district),05,R,Ted Cruz,"1,685"
Fulton,Northwest,Toledo,"28,191","12,998",President (district),05,R,Carly Fiorina,31
Fulton,Northwest,Toledo,"28,191","12,998",President (district),05,R,John R. Kasich,"4,288"
Fulton,Northwest,Toledo,"28,191","12,998",President (district),05,R,Marco Rubio,274
Fulton,Northwest,Toledo,"28,191","12,998",President (district),05,R,Rick Santorum,18
Fulton,Northwest,Toledo,"28,191","12,998",President (district),05,R,Donald J. Trump,"2,685"
Fulton,Northwest,Toledo,"28,191","12,998",U.S. Senator,,R,Don Elijah Eckhart,"1,172"
Fulton,Northwest,Toledo,"28,191","12,998",U.S. Senator,,R,Rob Portman,"5,769"
Fulton,Northwest,Toledo,"28,191","12,998",Representative to Congress,05,R,Bob Latta,"7,975"
Fulton,Northwest,Toledo,"28,191","12,998",State Senator,02,R,Randy Gardner,"4,714"
Fulton,Northwest,Toledo,"28,191","12,998",State Representative,47,R,Vicki L. Donovan-Lyle,"1,414"
Fulton,Northwest,Toledo,"28,191","12,998",State Representative,47,R,Kevin G. Haddad,689
Fulton,Northwest,Toledo,"28,191","12,998",State Representative,47,R,Derek Merrin,"2,473"
Fulton,Northwest,Toledo,"28,191","12,998",State Representative,81,R,Robert McColley,"1,878"
