county,candidate,party,office,district,votes
Adams,Tom Connors,,U.S. Senate,,165
Adams,Joseph R. DeMare,Green,U.S. Senate,,133
Adams,Rob Portman,Republican,U.S. Senate,,8489
Adams,Scott Rupert,,U.S. Senate,,157
Adams,James Stahl,,U.S. Senate,,0
Adams,Ted Strickland,Democratic,U.S. Senate,,2181
Allen,Tom Connors,,U.S. Senate,,768
Allen,Joseph R. DeMare,Green,U.S. Senate,,538
Allen,Rob Portman,Republican,U.S. Senate,,32085
Allen,Scott Rupert,,U.S. Senate,,756
Allen,James Stahl,,U.S. Senate,,0
Allen,Ted Strickland,Democratic,U.S. Senate,,10900
Ashland,Tom Connors,,U.S. Senate,,620
Ashland,Joseph R. DeMare,Green,U.S. Senate,,367
Ashland,Rob Portman,Republican,U.S. Senate,,17410
Ashland,Scott Rupert,,U.S. Senate,,464
Ashland,James Stahl,,U.S. Senate,,0
Ashland,Ted Strickland,Democratic,U.S. Senate,,5083
Ashtabula,Tom Connors,,U.S. Senate,,1113
Ashtabula,Joseph R. DeMare,Green,U.S. Senate,,918
Ashtabula,Rob Portman,Republican,U.S. Senate,,23443
Ashtabula,Scott Rupert,,U.S. Senate,,822
Ashtabula,James Stahl,,U.S. Senate,,0
Ashtabula,Ted Strickland,Democratic,U.S. Senate,,14097
Athens,Tom Connors,,U.S. Senate,,423
Athens,Joseph R. DeMare,Green,U.S. Senate,,797
Athens,Rob Portman,Republican,U.S. Senate,,11247
Athens,Scott Rupert,,U.S. Senate,,399
Athens,James Stahl,,U.S. Senate,,0
Athens,Ted Strickland,Democratic,U.S. Senate,,15077
Auglaize,Tom Connors,,U.S. Senate,,322
Auglaize,Joseph R. DeMare,Green,U.S. Senate,,228
Auglaize,Rob Portman,Republican,U.S. Senate,,19414
Auglaize,Scott Rupert,,U.S. Senate,,366
Auglaize,James Stahl,,U.S. Senate,,0
Auglaize,Ted Strickland,Democratic,U.S. Senate,,3044
Belmont,Tom Connors,,U.S. Senate,,676
Belmont,Joseph R. DeMare,Green,U.S. Senate,,360
Belmont,Rob Portman,Republican,U.S. Senate,,19712
Belmont,Scott Rupert,,U.S. Senate,,572
Belmont,James Stahl,,U.S. Senate,,0
Belmont,Ted Strickland,Democratic,U.S. Senate,,9305
Brown,Tom Connors,,U.S. Senate,,358
Brown,Joseph R. DeMare,Green,U.S. Senate,,233
Brown,Rob Portman,Republican,U.S. Senate,,14824
Brown,Scott Rupert,,U.S. Senate,,269
Brown,James Stahl,,U.S. Senate,,0
Brown,Ted Strickland,Democratic,U.S. Senate,,3490
Butler,Tom Connors,,U.S. Senate,,2275
Butler,Joseph R. DeMare,Green,U.S. Senate,,2306
Butler,Rob Portman,Republican,U.S. Senate,,117597
Butler,Scott Rupert,,U.S. Senate,,2286
Butler,James Stahl,,U.S. Senate,,1
Butler,Ted Strickland,Democratic,U.S. Senate,,45307
Carroll,Tom Connors,,U.S. Senate,,360
Carroll,Joseph R. DeMare,Green,U.S. Senate,,206
Carroll,Rob Portman,Republican,U.S. Senate,,9011
Carroll,Scott Rupert,,U.S. Senate,,324
Carroll,James Stahl,,U.S. Senate,,0
Carroll,Ted Strickland,Democratic,U.S. Senate,,2851
Champaign,Tom Connors,,U.S. Senate,,327
Champaign,Joseph R. DeMare,Green,U.S. Senate,,243
Champaign,Rob Portman,Republican,U.S. Senate,,13100
Champaign,Scott Rupert,,U.S. Senate,,489
Champaign,James Stahl,,U.S. Senate,,0
Champaign,Ted Strickland,Democratic,U.S. Senate,,3796
Clark,Tom Connors,,U.S. Senate,,1041
Clark,Joseph R. DeMare,Green,U.S. Senate,,936
Clark,Rob Portman,Republican,U.S. Senate,,39651
Clark,Scott Rupert,,U.S. Senate,,954
Clark,James Stahl,,U.S. Senate,,1
Clark,Ted Strickland,Democratic,U.S. Senate,,18384
Clermont,Tom Connors,,U.S. Senate,,1445
Clermont,Joseph R. DeMare,Green,U.S. Senate,,1479
Clermont,Rob Portman,Republican,U.S. Senate,,74623
Clermont,Scott Rupert,,U.S. Senate,,1482
Clermont,James Stahl,,U.S. Senate,,0
Clermont,Ted Strickland,Democratic,U.S. Senate,,19062
Clinton,Tom Connors,,U.S. Senate,,278
Clinton,Joseph R. DeMare,Green,U.S. Senate,,197
Clinton,Rob Portman,Republican,U.S. Senate,,14311
Clinton,Scott Rupert,,U.S. Senate,,261
Clinton,James Stahl,,U.S. Senate,,0
Clinton,Ted Strickland,Democratic,U.S. Senate,,3342
Columbiana,Tom Connors,,U.S. Senate,,1055
Columbiana,Joseph R. DeMare,Green,U.S. Senate,,709
Columbiana,Rob Portman,Republican,U.S. Senate,,30416
Columbiana,Scott Rupert,,U.S. Senate,,1009
Columbiana,James Stahl,,U.S. Senate,,0
Columbiana,Ted Strickland,Democratic,U.S. Senate,,11609
Coshocton,Tom Connors,,U.S. Senate,,388
Coshocton,Joseph R. DeMare,Green,U.S. Senate,,205
Coshocton,Rob Portman,Republican,U.S. Senate,,10923
Coshocton,Scott Rupert,,U.S. Senate,,259
Coshocton,James Stahl,,U.S. Senate,,0
Coshocton,Ted Strickland,Democratic,U.S. Senate,,3565
Crawford,Tom Connors,,U.S. Senate,,490
Crawford,Joseph R. DeMare,Green,U.S. Senate,,253
Crawford,Rob Portman,Republican,U.S. Senate,,13741
Crawford,Scott Rupert,,U.S. Senate,,352
Crawford,James Stahl,,U.S. Senate,,0
Crawford,Ted Strickland,Democratic,U.S. Senate,,4113
Cuyahoga,Tom Connors,,U.S. Senate,,10938
Cuyahoga,Joseph R. DeMare,Green,U.S. Senate,,10671
Cuyahoga,Rob Portman,Republican,U.S. Senate,,222125
Cuyahoga,Scott Rupert,,U.S. Senate,,6955
Cuyahoga,James Stahl,,U.S. Senate,,7
Cuyahoga,Ted Strickland,Democratic,U.S. Senate,,327680
Darke,Tom Connors,,U.S. Senate,,362
Darke,Joseph R. DeMare,Green,U.S. Senate,,273
Darke,Rob Portman,Republican,U.S. Senate,,20524
