County Name,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Fayette,Central,Columbus,"15,749","6,620",President (at-large),,R,Jeb Bush,13
Fayette,Central,Columbus,"15,749","6,620",President (at-large),,R,Ben Carson,48
Fayette,Central,Columbus,"15,749","6,620",President (at-large),,R,Chris Christie,7
Fayette,Central,Columbus,"15,749","6,620",President (at-large),,R,Ted Cruz,603
Fayette,Central,Columbus,"15,749","6,620",President (at-large),,R,Carly Fiorina,4
Fayette,Central,Columbus,"15,749","6,620",President (at-large),,R,Mike Huckabee,23
Fayette,Central,Columbus,"15,749","6,620",President (at-large),,R,John R. Kasich,"2,424"
Fayette,Central,Columbus,"15,749","6,620",President (at-large),,R,Marco Rubio,92
Fayette,Central,Columbus,"15,749","6,620",President (at-large),,R,Rick Santorum,6
Fayette,Central,Columbus,"15,749","6,620",President (at-large),,R,Donald J. Trump,"1,938"
Fayette,Central,Columbus,"15,749","6,620",President (district),10,R,Jeb Bush,24
Fayette,Central,Columbus,"15,749","6,620",President (district),10,R,Ben Carson,52
Fayette,Central,Columbus,"15,749","6,620",President (district),10,R,Chris Christie,8
Fayette,Central,Columbus,"15,749","6,620",President (district),10,R,Ted Cruz,469
Fayette,Central,Columbus,"15,749","6,620",President (district),10,R,Carly Fiorina,3
Fayette,Central,Columbus,"15,749","6,620",President (district),10,R,Mike Huckabee,24
Fayette,Central,Columbus,"15,749","6,620",President (district),10,R,John R. Kasich,"1,902"
Fayette,Central,Columbus,"15,749","6,620",President (district),10,R,Marco Rubio,96
Fayette,Central,Columbus,"15,749","6,620",President (district),10,R,Donald J. Trump,"1,454"
Fayette,Central,Columbus,"15,749","6,620",President (district),15,R,Jeb Bush,7
Fayette,Central,Columbus,"15,749","6,620",President (district),15,R,Ben Carson,13
Fayette,Central,Columbus,"15,749","6,620",President (district),15,R,Chris Christie,3
Fayette,Central,Columbus,"15,749","6,620",President (district),15,R,Ted Cruz,159
Fayette,Central,Columbus,"15,749","6,620",President (district),15,R,Carly Fiorina,1
Fayette,Central,Columbus,"15,749","6,620",President (district),15,R,Mike Huckabee,8
Fayette,Central,Columbus,"15,749","6,620",President (district),15,R,John R. Kasich,497
Fayette,Central,Columbus,"15,749","6,620",President (district),15,R,Marco Rubio,15
Fayette,Central,Columbus,"15,749","6,620",President (district),15,R,Rick Santorum,2
Fayette,Central,Columbus,"15,749","6,620",President (district),15,R,Donald J. Trump,452
Fayette,Central,Columbus,"15,749","6,620",U.S. Senator,,R,Don Elijah Eckhart,705
Fayette,Central,Columbus,"15,749","6,620",U.S. Senator,,R,Rob Portman,"3,965"
Fayette,Central,Columbus,"15,749","6,620",Representative to Congress,10,R,Mike Turner,"3,128"
Fayette,Central,Columbus,"15,749","6,620",Representative to Congress,15,R,Steve Stivers,901
Fayette,Central,Columbus,"15,749","6,620",State Representative,92,R,Gary K. Scherer,"3,702"
