County Name,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Allen,West,Lima,"66,846","27,924",President (at-large),,D,Hillary Clinton,"3,751"
Allen,West,Lima,"66,846","27,924",President (at-large),,D,"Roque ""Rocky"" De La Fuente",89
Allen,West,Lima,"66,846","27,924",President (at-large),,D,Bernie Sanders,"2,832"
Allen,West,Lima,"66,846","27,924",U.S. Senator,,D,Kelli Prather,"1,044"
Allen,West,Lima,"66,846","27,924",U.S. Senator,,D,P.G. Sittenfeld,360
Allen,West,Lima,"66,846","27,924",U.S. Senator,,D,Ted Strickland,"4,959"
Allen,West,Lima,"66,846","27,924",Representative to Congress,04,D,Norbert G. Dennerll Jr.,403
Allen,West,Lima,"66,846","27,924",Representative to Congress,04,D,Janet Garrett,"4,013"
Allen,West,Lima,"66,846","27,924",Representative to Congress,04,D,Daniel Johnson,"1,386"
