County Name,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Trumbull,Northeast,Youngstown,"136,915","64,653",President (at-large),,R,Jeb Bush,71
Trumbull,Northeast,Youngstown,"136,915","64,653",President (at-large),,R,Ben Carson,210
Trumbull,Northeast,Youngstown,"136,915","64,653",President (at-large),,R,Chris Christie,47
Trumbull,Northeast,Youngstown,"136,915","64,653",President (at-large),,R,Ted Cruz,"2,750"
Trumbull,Northeast,Youngstown,"136,915","64,653",President (at-large),,R,Carly Fiorina,36
Trumbull,Northeast,Youngstown,"136,915","64,653",President (at-large),,R,Mike Huckabee,67
Trumbull,Northeast,Youngstown,"136,915","64,653",President (at-large),,R,John R. Kasich,"9,902"
Trumbull,Northeast,Youngstown,"136,915","64,653",President (at-large),,R,Marco Rubio,668
Trumbull,Northeast,Youngstown,"136,915","64,653",President (at-large),,R,Rick Santorum,32
Trumbull,Northeast,Youngstown,"136,915","64,653",President (at-large),,R,Donald J. Trump,"15,400"
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),13,R,Jeb Bush,94
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),13,R,Ben Carson,401
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),13,R,Chris Christie,130
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),13,R,Ted Cruz,"2,268"
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),13,R,Carly Fiorina,80
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),13,R,John R. Kasich,"8,152"
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),13,R,Marco Rubio,660
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),13,R,Rick Santorum,50
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),13,R,Donald J. Trump,"12,457"
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),14,R,Jeb Bush,22
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),14,R,Ben Carson,75
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),14,R,Chris Christie,20
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),14,R,Ted Cruz,477
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),14,R,Carly Fiorina,14
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),14,R,Mike Huckabee,42
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),14,R,John R. Kasich,"1,290"
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),14,R,Marco Rubio,99
Trumbull,Northeast,Youngstown,"136,915","64,653",President (district),14,R,Donald J. Trump,"1,836"
Trumbull,Northeast,Youngstown,"136,915","64,653",U.S. Senator,,R,Don Elijah Eckhart,"4,943"
Trumbull,Northeast,Youngstown,"136,915","64,653",U.S. Senator,,R,Rob Portman,"18,564"
Trumbull,Northeast,Youngstown,"136,915","64,653",Representative to Congress,13,R,Richard A. Morckel,"14,656"
Trumbull,Northeast,Youngstown,"136,915","64,653",Representative to Congress,14,R,David P. Joyce,"1,492"
Trumbull,Northeast,Youngstown,"136,915","64,653",Representative to Congress,14,R,Matt Lynch,"1,737"
Trumbull,Northeast,Youngstown,"136,915","64,653",State Senator,32,R,Robert J. Allen,"9,024"
Trumbull,Northeast,Youngstown,"136,915","64,653",State Representative,63,R,Devon A. Stanley,"9,328"
Trumbull,Northeast,Youngstown,"136,915","64,653",State Representative,64,R,Richard Hlaudy,"3,601"
Trumbull,Northeast,Youngstown,"136,915","64,653",State Representative,64,R,Martha Yoder,"6,252"
