county,candidate,party,office,district,votes
Wayne,Stephen R. Spoonamore,,State House,1,15195
Wayne,Scott Wiggam,Republican,State House,1,31342
Richland,Brittany Bowman,Democratic,State House,2,15725
Richland,Timothy Peter Grady,,State House,2,20
Richland,Mark J. Romanchuk,Republican,State House,2,36186
Wood,Theresa Gavarone,Republican,State House,3,35795
Wood,Kelly Wicks,Democratic,State House,3,25131
Allen,Bob Cupp,Republican,State House,4,34564
Columbiana,John R. Dyce,Democratic,State House,5,12949
Columbiana,Tim Ginter,Republican,State House,5,31874
Cuyahoga,Marlene Anielski,Republican,State House,6,39887
Cuyahoga,Phillip Robinson,Democratic,State House,6,25405
Cuyahoga,Thomas F. Patton,Republican,State House,7,39725
Cuyahoga,Cassandra McDonald,Republican,State House,8,10280
Cuyahoga,Kent Smith,Democratic,State House,8,40634
Cuyahoga,Janine Boyd,Democratic,State House,9,48085
Cuyahoga,Joe Miller,Republican,State House,9,8870
Cuyahoga,Bill Patmon,Democratic,State House,10,29633
Cuyahoga,Stephanie Howse,Democratic,State House,11,31600
Cuyahoga,Shalira Taylor,Republican,State House,11,5263
Cuyahoga,John E. Barnes Jr.,Democratic,State House,12,39258
Cuyahoga,Nickie J. Antonio,Democratic,State House,13,28336
Cuyahoga,Martin J. Sweeney,Democratic,State House,14,29380
Cuyahoga,Nicholas J. Celebrezze,Democratic,State House,15,24881
Cuyahoga,Tommy Greene,Democratic,State House,16,26475
Cuyahoga,Dave Greenspan,Republican,State House,16,34124
Franklin,Keith Hatton,,State House,17,9
Franklin,Adam Miller,Democratic,State House,17,19039
Franklin,John Rush,Republican,State House,17,15953
Franklin,M. Deborah Tunstall,,State House,17,7
Franklin,Kristin Boggs,Democratic,State House,18,36519
Franklin,Constance A. Gadell Newton,Green,State House,18,3857
Franklin,David Todd,Republican,State House,18,15551
Franklin,Anne Gonzales,Republican,State House,19,37312
Franklin,Michael Johnston,Democratic,State House,19,27131
Franklin,Heather Bishoff,Democratic,State House,20,29458
Franklin,Lisa Schacht,Republican,State House,20,25431
Franklin,Mike Duffey,Republican,State House,21,38044
Franklin,Ryan Koch,Democratic,State House,21,26252
Franklin,Linda L. Jarrett,Republican,State House,22,16467
Franklin,David Leland,Democratic,State House,22,34895
Franklin,Laura Lanese,Republican,State House,23,30847
Franklin,Lee Schreiner,Democratic,State House,23,22662
Franklin,Jim Hughes,Republican,State House,24,39485
Franklin,Kristopher Keller,Democratic,State House,24,25683
Franklin,Napoleon A. Bell II,,State House,25,6853
Franklin,Jeff Brown,,State House,25,2
Franklin,Seth Golding,Republican,State House,25,7100
Franklin,Bernadine Kennedy Kent,Democratic,State House,25,33826
Franklin,Kenneth H. Collins,Republican,State House,26,10314
Franklin,Hearcel F. Craig,Democratic,State House,26,40268
Hamilton,Tom Brinkman Jr.,Republican,State House,27,40556
Hamilton,Joe Otis,Democratic,State House,27,22447
Hamilton,Jonathan Dever,Republican,State House,28,36098
Hamilton,Jessica Miranda,Democratic,State House,28,26808
Hamilton,Louis W. Blessing III,Republican,State House,29,37138
Hamilton,Mark A. Childers,Democratic,State House,30,14975
Hamilton,Bill Seitz,Republican,State House,30,40718
Hamilton,Brigid Kelly,Democratic,State House,31,34581
Hamilton,Mary Yeager,Republican,State House,31,16231
Hamilton,Catherine Ingram,Democratic,State House,32,37595
Hamilton,Matthew H. Wahlert,Republican,State House,32,11308
Hamilton,David Miller,Republican,State House,33,14396
Hamilton,Alicia Reece,Democratic,State House,33,40005
Summit,Gene Littlefield,Republican,State House,34,10420
Summit,Emilia Sykes,Democratic,State House,34,35154
Summit,Aimee N. Cooper,Republican,State House,35,13796
Summit,Greta Johnson,Democratic,State House,35,22997
Summit,Anthony DeVitis,Republican,State House,36,34718
Summit,Bobby McDowall,Democratic,State House,36,19935
Summit,Kristina Daley Roegner,Republican,State House,37,35503
Summit,Casey Weinstein,Democratic,State House,37,26675
Stark,Judith Lynn Lee,Democratic,State House,38,4789
Stark,Marilyn Slaby,Republican,State House,38,9528
Summit,Judith Lynn Lee,Democratic,State House,38,15833
Summit,Marilyn Slaby,Republican,State House,38,25751
Montgomery,Fred Strahorn,Democratic,State House,39,27558
Montgomery,Michael E. Henne,Republican,State House,40,33750
Montgomery,David L. Richards,Democratic,State House,40,18887
Montgomery,Jim Butler,Republican,State House,41,37157
Montgomery,Jimmy Calhoun,Democratic,State House,41,21680
Montgomery,Niraj Antani,Republican,State House,42,33997
Montgomery,Pat A. Merris,Democratic,State House,42,19939
Montgomery,Jeff Rezabek,Republican,State House,43,16684
Montgomery,David Sparks,Democratic,State House,43,18121
Preble,Jeff Rezabek,Republican,State House,43,15930
Preble,David Sparks,Democratic,State House,43,3739
Lucas,Michael D. Ashford,Democratic,State House,44,34113
Lucas,John Insco,Republican,State House,44,7440
Lucas,Teresa Fedor,Democratic,State House,45,27449
Lucas,James S. Nowak,Republican,State House,45,15901
Lucas,Michael P. Sheehy,Democratic,State House,46,28932
Lucas,Diana M. Skaff,Republican,State House,46,21149
Fulton,Lauri Cooper,Democratic,State House,47,3765
Fulton,Derek Merrin,Republican,State House,47,9474
Lucas,Lauri Cooper,Democratic,State House,47,19684
Lucas,Derek Merrin,Republican,State House,47,26972
Stark,Kirk Schuring,Republican,State House,48,45725
Stark,Dan F. McMasters,Republican,State House,49,18512
Stark,Thomas E. West,Democratic,State House,49,24064
Stark,Christina M. Hagan,Republican,State House,50,37782
Stark,John L. Juergensen,Democratic,State House,50,14103
Butler,Johnny H. Hamilton,Democratic,State House,51,15509
Butler,Wes Retherford,Republican,State House,51,29286
Butler,Margaret K. Conditt,Republican,State House,52,47448
Butler,Candice Keller,Republican,State House,53,33020
Butler,Suzi Rubin,Democratic,State House,53,17627
Butler,Rick Smith,Democratic,State House,54,2202
Butler,Paul Zeltwanger,Republican,State House,54,2787
Warren,Rick Smith,Democratic,State House,54,15369
Warren,Paul Zeltwanger,Republican,State House,54,34711
Lorain,Kelly Kraus Mencke,Democratic,State House,55,20077
Lorain,Nathan H. Manning,Republican,State House,55,30937
Lorain,Dan Ramos,Democratic,State House,56,31025
Lorain,Jessie Mae Tower,Republican,State House,56,17608
Huron,Tom Dunlap,Democratic,State House,57,8981
Huron,Dick Stein,Republican,State House,57,15341
Lorain,Tom Dunlap,Democratic,State House,57,11636
Lorain,Dick Stein,Republican,State House,57,18198
Mahoning,Michele Lepore-Hagan,Democratic,State House,58,28828
Mahoning,Andrea Mahone,,State House,58,8531
Mahoning,Corrine Sanderson,Republican,State House,58,11001
Mahoning,John A. Boccieri,Democratic,State House,59,36661
Mahoning,Don Manning,Republican,State House,59,26068
Lake,John M. Rogers,Democratic,State House,60,26143
Lake,Robert Rule,Republican,State House,60,21550
Lake,Rick Walker,Democratic,State House,61,20862
Lake,Ron Young,Republican,State House,61,38530
Warren,Scott Lipps,Republican,State House,62,48427
Warren,Samuel P. Ronan,Democratic,State House,62,13184
Trumbull,Glenn W. Holmes,Democratic,State House,63,29798
Trumbull,Devon A. Stanley,Republican,State House,63,20068
Ashtabula,Michael J. O'Brien,Democratic,State House,64,1434
Ashtabula,Martha Yoder,Republican,State House,64,2513
Trumbull,Michael J. O'Brien,Democratic,State House,64,23145
Trumbull,Martha Yoder,Republican,State House,64,17254
Clermont,John Becker,Republican,State House,65,44166
Clermont,Jerod L. Weber,Democratic,State House,65,16156
Brown,Doug Green,Republican,State House,66,15765
Brown,Ken P. McNeely Jr.,Democratic,State House,66,3454
Clermont,Doug Green,Republican,State House,66,25607
Clermont,Ken P. McNeely Jr.,Democratic,State House,66,7904
Delaware,Janet Breneman,Democratic,State House,67,22588
Delaware,Andrew O. Brenner,Republican,State House,67,42377
Delaware,Rick Carfagna,Republican,State House,68,23262
Delaware,Douglas P. Crowl,,State House,68,12
Delaware,John Russell,Democratic,State House,68,10590
Knox,Rick Carfagna,Republican,State House,68,18059
Knox,Douglas P. Crowl,,State House,68,8
Knox,John Russell,Democratic,State House,68,9248
Medina,Steve Hambley,Republican,State House,69,40972
Medina,Frank A. Zona,Democratic,State House,69,18639
Ashland,Luke T. Brewer,,State House,70,4829
Ashland,Darrell D. Kick,Republican,State House,70,16627
Holmes,Luke T. Brewer,,State House,70,1292
Holmes,Darrell D. Kick,Republican,State House,70,2933
Medina,Luke T. Brewer,,State House,70,7390
Medina,Darrell D. Kick,Republican,State House,70,14871
Licking,Joseph S. Begeny,Democratic,State House,71,17513
Licking,Scott K. Ryan,Republican,State House,71,37067
Coshocton,John J. Carlisle,Democratic,State House,72,4145
Coshocton,Larry Householder,Republican,State House,72,10528
Licking,John J. Carlisle,Democratic,State House,72,6225
Licking,Larry Householder,Republican,State House,72,17846
Perry,John J. Carlisle,Democratic,State House,72,4705
Perry,Larry Householder,Republican,State House,72,9885
Greene,Brian K. Housh,Democratic,State House,73,18832
Greene,Rick Perales,Republican,State House,73,37323
Clark,Bill Dean,Republican,State House,74,6299
Clark,Barb Niemeyer,Democratic,State House,74,3666
Greene,Bill Dean,Republican,State House,74,15458
Greene,Barb Niemeyer,Democratic,State House,74,7026
Madison,Bill Dean,Republican,State House,74,10801
Madison,Barb Niemeyer,Democratic,State House,74,5497
Portage,Kathleen Clyde,Democratic,State House,75,27784
Portage,Jim Lutz,Republican,State House,75,22842
Geauga,Sarah LaTourette,Republican,State House,76,26461
Geauga,Terri McIntee,Democratic,State House,76,11505
Portage,Sarah LaTourette,Republican,State House,76,13356
Portage,Terri McIntee,Democratic,State House,76,6544
Fairfield,Bradley S. Nicodemus,Democratic,State House,77,16935
Fairfield,Tim Schaffer,Republican,State House,77,36674
Athens,Ron Hood,Republican,State House,78,830
Fairfield,Ron Hood,Republican,State House,78,10974
Hocking,Ron Hood,Republican,State House,78,8341
Morgan,Ron Hood,Republican,State House,78,4322
Muskingum,Ron Hood,Republican,State House,78,2188
Pickaway,Ron Hood,Republican,State House,78,11100
Clark,Kyle Koehler,Republican,State House,79,29687
Clark,Alex Wendt,Democratic,State House,79,19360
Darke,Stephen A. Huffman,Republican,State House,80,7539
Miami,Stephen A. Huffman,Republican,State House,80,40712
Fulton,Robert McColley,Republican,State House,81,4944
Henry,Robert McColley,Republican,State House,81,11013
Putnam,Robert McColley,Republican,State House,81,14380
Williams,Robert McColley,Republican,State House,81,12086
Auglaize,Craig Riedel,Republican,State House,82,8406
Defiance,Craig Riedel,Republican,State House,82,13524
Paulding,Craig Riedel,Republican,State House,82,6578
Van Wert,Craig Riedel,Republican,State House,82,10949
Hancock,Mary E. Harshfield,Democratic,State House,83,8701
Hancock,Robert Cole Sprague,Republican,State House,83,25567
Hardin,Mary E. Harshfield,Democratic,State House,83,2961
Hardin,Robert Cole Sprague,Republican,State House,83,8518
Logan,Mary E. Harshfield,Democratic,State House,83,602
Logan,Robert Cole Sprague,Republican,State House,83,2217
Auglaize,Keith Faber,Republican,State House,84,10327
Auglaize,Ed Huff Jr.,Democratic,State House,84,1798
Darke,Keith Faber,Republican,State House,84,11911
Darke,Ed Huff Jr.,Democratic,State House,84,3319
Mercer,Keith Faber,Republican,State House,84,17859
Mercer,Ed Huff Jr.,Democratic,State House,84,3183
Shelby,Keith Faber,Republican,State House,84,8094
Shelby,Ed Huff Jr.,Democratic,State House,84,1307
Champaign,Nino Vitale,Republican,State House,85,12774
Logan,Nino Vitale,Republican,State House,85,14117
Shelby,Nino Vitale,Republican,State House,85,10525
Marion,Scott Crider,Democratic,State House,86,7673
Marion,Dorothy Pelanda,Republican,State House,86,13714
Union,Scott Crider,Democratic,State House,86,5938
Union,Dorothy Pelanda,Republican,State House,86,19971
Crawford,Wes Goodman,Republican,State House,87,13906
Marion,Wes Goodman,Republican,State House,87,2571
Morrow,Wes Goodman,Republican,State House,87,11635
Seneca,Wes Goodman,Republican,State House,87,1367
Wyandot,Wes Goodman,Republican,State House,87,7382
Sandusky,Bill Reineke,Republican,State House,88,19337
Seneca,Bill Reineke,Republican,State House,88,17133
Erie,Steven M. Arndt,Republican,State House,89,20613
Erie,Lawrence D. Hartlaub,Democratic,State House,89,14911
Ottawa,Steven M. Arndt,Republican,State House,89,14108
Ottawa,Lawrence D. Hartlaub,Democratic,State House,89,7553
Adams,Terry A. Johnson,Republican,State House,90,8466
Lawrence,Terry A. Johnson,Republican,State House,90,4186
Scioto,Terry A. Johnson,Republican,State House,90,23970
Clinton,Cliff Rosenberger,Republican,State House,91,14916
Highland,Cliff Rosenberger,Republican,State House,91,13776
Pike,Cliff Rosenberger,Republican,State House,91,7473
Ross,Cliff Rosenberger,Republican,State House,91,1950
Fayette,Gary K. Scherer,Republican,State House,92,8171
Pickaway,Gary K. Scherer,Republican,State House,92,7030
Ross,Gary K. Scherer,Republican,State House,92,18802
Gallia,Ryan Smith,Republican,State House,93,10741
Jackson,Ryan Smith,Republican,State House,93,10147
Lawrence,Ryan Smith,Republican,State House,93,14853
Vinton,Ryan Smith,Republican,State House,93,2457
Athens,Jay Edwards,Republican,State House,94,11980
Athens,Sarah H. Grace,Democratic,State House,94,14010
Meigs,Jay Edwards,Republican,State House,94,7122
Meigs,Sarah H. Grace,Democratic,State House,94,2464
Vinton,Jay Edwards,Republican,State House,94,1237
Vinton,Sarah H. Grace,Democratic,State House,94,661
Washington,Jay Edwards,Republican,State House,94,9533
Washington,Sarah H. Grace,Democratic,State House,94,4667
Belmont,Ginny Favede,Democratic,State House,95,7103
