County Name,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Jackson,Southeast,Charleston,"20,963","8,010",President (at-large),,R,Jeb Bush,28
Jackson,Southeast,Charleston,"20,963","8,010",President (at-large),,R,Ben Carson,85
Jackson,Southeast,Charleston,"20,963","8,010",President (at-large),,R,Chris Christie,20
Jackson,Southeast,Charleston,"20,963","8,010",President (at-large),,R,Ted Cruz,686
Jackson,Southeast,Charleston,"20,963","8,010",President (at-large),,R,Carly Fiorina,4
Jackson,Southeast,Charleston,"20,963","8,010",President (at-large),,R,Mike Huckabee,32
Jackson,Southeast,Charleston,"20,963","8,010",President (at-large),,R,John R. Kasich,"1,988"
Jackson,Southeast,Charleston,"20,963","8,010",President (at-large),,R,Marco Rubio,168
Jackson,Southeast,Charleston,"20,963","8,010",President (at-large),,R,Rick Santorum,5
Jackson,Southeast,Charleston,"20,963","8,010",President (at-large),,R,Donald J. Trump,"3,079"
Jackson,Southeast,Charleston,"20,963","8,010",President (district),06,R,Jeb Bush,46
Jackson,Southeast,Charleston,"20,963","8,010",President (district),06,R,Ben Carson,116
Jackson,Southeast,Charleston,"20,963","8,010",President (district),06,R,Chris Christie,21
Jackson,Southeast,Charleston,"20,963","8,010",President (district),06,R,Ted Cruz,696
Jackson,Southeast,Charleston,"20,963","8,010",President (district),06,R,Carly Fiorina,16
Jackson,Southeast,Charleston,"20,963","8,010",President (district),06,R,Mike Huckabee,56
Jackson,Southeast,Charleston,"20,963","8,010",President (district),06,R,John R. Kasich,"1,891"
Jackson,Southeast,Charleston,"20,963","8,010",President (district),06,R,Marco Rubio,193
Jackson,Southeast,Charleston,"20,963","8,010",President (district),06,R,Rick Santorum,9
Jackson,Southeast,Charleston,"20,963","8,010",President (district),06,R,Donald J. Trump,"2,937"
Jackson,Southeast,Charleston,"20,963","8,010",U.S. Senator,,R,Don Elijah Eckhart,833
Jackson,Southeast,Charleston,"20,963","8,010",U.S. Senator,,R,Rob Portman,"4,185"
Jackson,Southeast,Charleston,"20,963","8,010",Representative to Congress,06,R,Bill Johnson,"4,361"
Jackson,Southeast,Charleston,"20,963","8,010",State Representative,93,R,Ryan Smith,"4,583"
