County Name,Precinct Name,Precinct Code,Region Name,Media Market,Registered Voters,Total Voters,office,district,party,candidate,votes
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (at-large),,R,Jeb Bush,3
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (at-large),,R,Ben Carson,3
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (at-large),,R,Chris Christie,0
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (at-large),,R,Ted Cruz,59
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (at-large),,R,Carly Fiorina,1
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (at-large),,R,Mike Huckabee,0
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (at-large),,R,John R. Kasich,154
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (at-large),,R,Marco Rubio,8
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (at-large),,R,Rick Santorum,0
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (at-large),,R,Donald J. Trump,88
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (district),16,R,Jeb Bush,2
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (district),16,R,Ben Carson,5
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (district),16,R,Chris Christie,3
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (district),16,R,Ted Cruz,56
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (district),16,R,Carly Fiorina,2
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (district),16,R,John R. Kasich,135
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (district),16,R,Marco Rubio,14
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (district),16,R,Rick Santorum,0
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,President (district),16,R,Donald J. Trump,77
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,U.S. Senator,,R,Don Elijah Eckhart,41
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,U.S. Senator,,R,Rob Portman,187
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,Representative to Congress,16,R,Jim Renacci,241
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,State Representative,01,R,David C. Kiefer,90
Wayne,ORRVILLE CITY 1,AAA,Northeast,Cleveland,"1,170",466,State Representative,01,R,Scott Wiggam,166
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (at-large),,R,Jeb Bush,0
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (at-large),,R,Ben Carson,2
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (at-large),,R,Chris Christie,0
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (at-large),,R,Ted Cruz,36
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (at-large),,R,Carly Fiorina,1
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (at-large),,R,Mike Huckabee,3
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (at-large),,R,John R. Kasich,117
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (at-large),,R,Marco Rubio,5
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (at-large),,R,Rick Santorum,0
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (at-large),,R,Donald J. Trump,83
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (district),16,R,Jeb Bush,2
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (district),16,R,Ben Carson,5
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (district),16,R,Chris Christie,0
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (district),16,R,Ted Cruz,38
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (district),16,R,Carly Fiorina,1
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (district),16,R,John R. Kasich,109
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (district),16,R,Marco Rubio,6
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (district),16,R,Rick Santorum,1
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,President (district),16,R,Donald J. Trump,74
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,U.S. Senator,,R,Don Elijah Eckhart,40
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,U.S. Senator,,R,Rob Portman,131
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,Representative to Congress,16,R,Jim Renacci,201
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,State Representative,01,R,David C. Kiefer,78
Wayne,ORRVILLE CITY 2,AAC,Northeast,Cleveland,"1,105",381,State Representative,01,R,Scott Wiggam,121
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (at-large),,R,Jeb Bush,3
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (at-large),,R,Ben Carson,14
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (at-large),,R,Chris Christie,1
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (at-large),,R,Ted Cruz,75
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (at-large),,R,Carly Fiorina,0
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (at-large),,R,Mike Huckabee,1
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (at-large),,R,John R. Kasich,244
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (at-large),,R,Marco Rubio,13
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (at-large),,R,Rick Santorum,1
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (at-large),,R,Donald J. Trump,111
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (district),16,R,Jeb Bush,5
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (district),16,R,Ben Carson,20
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (district),16,R,Chris Christie,2
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (district),16,R,Ted Cruz,65
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (district),16,R,Carly Fiorina,2
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (district),16,R,John R. Kasich,228
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (district),16,R,Marco Rubio,18
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (district),16,R,Rick Santorum,1
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,President (district),16,R,Donald J. Trump,101
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,U.S. Senator,,R,Don Elijah Eckhart,70
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,U.S. Senator,,R,Rob Portman,244
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,Representative to Congress,16,R,Jim Renacci,394
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,State Representative,01,R,David C. Kiefer,148
Wayne,ORRVILLE CITY 3,AAE,Northeast,Cleveland,"1,388",635,State Representative,01,R,Scott Wiggam,248
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (at-large),,R,Jeb Bush,1
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (at-large),,R,Ben Carson,1
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (at-large),,R,Chris Christie,1
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (at-large),,R,Ted Cruz,29
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (at-large),,R,Carly Fiorina,0
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (at-large),,R,Mike Huckabee,1
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (at-large),,R,John R. Kasich,156
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (at-large),,R,Marco Rubio,5
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (at-large),,R,Rick Santorum,0
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (at-large),,R,Donald J. Trump,79
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (district),16,R,Jeb Bush,2
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (district),16,R,Ben Carson,4
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (district),16,R,Chris Christie,2
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (district),16,R,Ted Cruz,28
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (district),16,R,Carly Fiorina,0
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (district),16,R,John R. Kasich,142
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (district),16,R,Marco Rubio,5
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (district),16,R,Rick Santorum,0
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,President (district),16,R,Donald J. Trump,75
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,U.S. Senator,,R,Don Elijah Eckhart,23
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,U.S. Senator,,R,Rob Portman,152
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,Representative to Congress,16,R,Jim Renacci,219
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,State Representative,01,R,David C. Kiefer,75
Wayne,ORRVILLE CITY 4-A,AAG,Northeast,Cleveland,764,351,State Representative,01,R,Scott Wiggam,136
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (at-large),,R,Jeb Bush,1
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (at-large),,R,Ben Carson,1
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (at-large),,R,Chris Christie,2
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (at-large),,R,Ted Cruz,28
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (at-large),,R,Carly Fiorina,0
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (at-large),,R,Mike Huckabee,2
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (at-large),,R,John R. Kasich,131
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (at-large),,R,Marco Rubio,3
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (at-large),,R,Rick Santorum,0
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (at-large),,R,Donald J. Trump,50
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (district),16,R,Jeb Bush,1
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (district),16,R,Ben Carson,3
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (district),16,R,Chris Christie,0
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (district),16,R,Ted Cruz,26
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (district),16,R,Carly Fiorina,0
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (district),16,R,John R. Kasich,123
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (district),16,R,Marco Rubio,6
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (district),16,R,Rick Santorum,1
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,President (district),16,R,Donald J. Trump,46
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,U.S. Senator,,R,Don Elijah Eckhart,30
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,U.S. Senator,,R,Rob Portman,117
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,Representative to Congress,16,R,Jim Renacci,173
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,State Representative,01,R,David C. Kiefer,78
Wayne,ORRVILLE CITY 4-B,AAH,Northeast,Cleveland,670,337,State Representative,01,R,Scott Wiggam,111
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (at-large),,R,Jeb Bush,1
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (at-large),,R,Ben Carson,1
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (at-large),,R,Chris Christie,1
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (at-large),,R,Ted Cruz,25
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (at-large),,R,Carly Fiorina,0
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (at-large),,R,Mike Huckabee,1
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (at-large),,R,John R. Kasich,52
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (at-large),,R,Marco Rubio,2
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (at-large),,R,Rick Santorum,0
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (at-large),,R,Donald J. Trump,65
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (district),16,R,Jeb Bush,1
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (district),16,R,Ben Carson,3
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (district),16,R,Chris Christie,2
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (district),16,R,Ted Cruz,24
Wayne,RITTMAN CITY 1,AAJ,Northeast,Cleveland,918,252,President (district),16,R,Carly Fiorina,0
